active_params_M,panel,token,expert,num_experts_E,topk_k,moe_layer
8,full MoE  (top-k),24,10,64,6,6
8,full MoE  (top-k),24,31,64,6,6
8,full MoE  (top-k),24,40,64,6,6
8,full MoE  (top-k),24,47,64,6,6
8,full MoE  (top-k),24,49,64,6,6
8,full MoE  (top-k),24,57,64,6,6
8,full MoE  (top-k),25,24,64,6,6
8,full MoE  (top-k),25,26,64,6,6
8,full MoE  (top-k),25,37,64,6,6
8,full MoE  (top-k),25,56,64,6,6
8,full MoE  (top-k),25,61,64,6,6
8,full MoE  (top-k),25,62,64,6,6
8,full MoE  (top-k),26,10,64,6,6
8,full MoE  (top-k),26,19,64,6,6
8,full MoE  (top-k),26,38,64,6,6
8,full MoE  (top-k),26,39,64,6,6
8,full MoE  (top-k),26,56,64,6,6
8,full MoE  (top-k),26,62,64,6,6
8,full MoE  (top-k),27,2,64,6,6
8,full MoE  (top-k),27,3,64,6,6
8,full MoE  (top-k),27,23,64,6,6
8,full MoE  (top-k),27,49,64,6,6
8,full MoE  (top-k),27,60,64,6,6
8,full MoE  (top-k),27,61,64,6,6
8,full MoE  (top-k),28,5,64,6,6
8,full MoE  (top-k),28,9,64,6,6
8,full MoE  (top-k),28,20,64,6,6
8,full MoE  (top-k),28,44,64,6,6
8,full MoE  (top-k),28,48,64,6,6
8,full MoE  (top-k),28,61,64,6,6
8,full MoE  (top-k),29,5,64,6,6
8,full MoE  (top-k),29,31,64,6,6
8,full MoE  (top-k),29,32,64,6,6
8,full MoE  (top-k),29,57,64,6,6
8,full MoE  (top-k),29,59,64,6,6
8,full MoE  (top-k),29,60,64,6,6
8,full MoE  (top-k),30,11,64,6,6
8,full MoE  (top-k),30,24,64,6,6
8,full MoE  (top-k),30,25,64,6,6
8,full MoE  (top-k),30,49,64,6,6
8,full MoE  (top-k),30,61,64,6,6
8,full MoE  (top-k),30,63,64,6,6
8,full MoE  (top-k),31,7,64,6,6
8,full MoE  (top-k),31,21,64,6,6
8,full MoE  (top-k),31,23,64,6,6
8,full MoE  (top-k),31,32,64,6,6
8,full MoE  (top-k),31,47,64,6,6
8,full MoE  (top-k),31,61,64,6,6
8,full MoE  (top-k),32,4,64,6,6
8,full MoE  (top-k),32,31,64,6,6
8,full MoE  (top-k),32,32,64,6,6
8,full MoE  (top-k),32,41,64,6,6
8,full MoE  (top-k),32,50,64,6,6
8,full MoE  (top-k),32,59,64,6,6
8,full MoE  (top-k),33,1,64,6,6
8,full MoE  (top-k),33,24,64,6,6
8,full MoE  (top-k),33,25,64,6,6
8,full MoE  (top-k),33,49,64,6,6
8,full MoE  (top-k),33,58,64,6,6
8,full MoE  (top-k),33,63,64,6,6
8,full MoE  (top-k),34,1,64,6,6
8,full MoE  (top-k),34,25,64,6,6
8,full MoE  (top-k),34,30,64,6,6
8,full MoE  (top-k),34,49,64,6,6
8,full MoE  (top-k),34,58,64,6,6
8,full MoE  (top-k),34,63,64,6,6
8,full MoE  (top-k),35,6,64,6,6
8,full MoE  (top-k),35,9,64,6,6
8,full MoE  (top-k),35,20,64,6,6
8,full MoE  (top-k),35,47,64,6,6
8,full MoE  (top-k),35,48,64,6,6
8,full MoE  (top-k),35,58,64,6,6
8,full MoE  (top-k),36,24,64,6,6
8,full MoE  (top-k),36,30,64,6,6
8,full MoE  (top-k),36,49,64,6,6
8,full MoE  (top-k),36,56,64,6,6
8,full MoE  (top-k),36,61,64,6,6
8,full MoE  (top-k),36,63,64,6,6
8,full MoE  (top-k),37,10,64,6,6
8,full MoE  (top-k),37,19,64,6,6
8,full MoE  (top-k),37,38,64,6,6
8,full MoE  (top-k),37,42,64,6,6
8,full MoE  (top-k),37,56,64,6,6
8,full MoE  (top-k),37,62,64,6,6
8,full MoE  (top-k),38,6,64,6,6
8,full MoE  (top-k),38,8,64,6,6
8,full MoE  (top-k),38,12,64,6,6
8,full MoE  (top-k),38,38,64,6,6
8,full MoE  (top-k),38,44,64,6,6
8,full MoE  (top-k),38,45,64,6,6
8,full MoE  (top-k),39,6,64,6,6
8,full MoE  (top-k),39,20,64,6,6
8,full MoE  (top-k),39,41,64,6,6
8,full MoE  (top-k),39,42,64,6,6
8,full MoE  (top-k),39,51,64,6,6
8,full MoE  (top-k),39,54,64,6,6
8,full MoE  (top-k),40,1,64,6,6
8,full MoE  (top-k),40,25,64,6,6
8,full MoE  (top-k),40,30,64,6,6
8,full MoE  (top-k),40,36,64,6,6
8,full MoE  (top-k),40,58,64,6,6
8,full MoE  (top-k),40,63,64,6,6
8,full MoE  (top-k),41,0,64,6,6
8,full MoE  (top-k),41,4,64,6,6
8,full MoE  (top-k),41,31,64,6,6
8,full MoE  (top-k),41,32,64,6,6
8,full MoE  (top-k),41,51,64,6,6
8,full MoE  (top-k),41,59,64,6,6
8,full MoE  (top-k),42,11,64,6,6
8,full MoE  (top-k),42,24,64,6,6
8,full MoE  (top-k),42,25,64,6,6
8,full MoE  (top-k),42,49,64,6,6
8,full MoE  (top-k),42,61,64,6,6
8,full MoE  (top-k),42,63,64,6,6
8,full MoE  (top-k),43,32,64,6,6
8,full MoE  (top-k),43,42,64,6,6
8,full MoE  (top-k),43,49,64,6,6
8,full MoE  (top-k),43,50,64,6,6
8,full MoE  (top-k),43,59,64,6,6
8,full MoE  (top-k),43,60,64,6,6
8,full MoE  (top-k),44,1,64,6,6
8,full MoE  (top-k),44,2,64,6,6
8,full MoE  (top-k),44,25,64,6,6
8,full MoE  (top-k),44,30,64,6,6
8,full MoE  (top-k),44,58,64,6,6
8,full MoE  (top-k),44,63,64,6,6
8,full MoE  (top-k),45,0,64,6,6
8,full MoE  (top-k),45,10,64,6,6
8,full MoE  (top-k),45,31,64,6,6
8,full MoE  (top-k),45,32,64,6,6
8,full MoE  (top-k),45,41,64,6,6
8,full MoE  (top-k),45,59,64,6,6
8,full MoE  (top-k),46,24,64,6,6
8,full MoE  (top-k),46,25,64,6,6
8,full MoE  (top-k),46,49,64,6,6
8,full MoE  (top-k),46,58,64,6,6
8,full MoE  (top-k),46,61,64,6,6
8,full MoE  (top-k),46,63,64,6,6
8,full MoE  (top-k),47,10,64,6,6
8,full MoE  (top-k),47,26,64,6,6
8,full MoE  (top-k),47,38,64,6,6
8,full MoE  (top-k),47,49,64,6,6
8,full MoE  (top-k),47,56,64,6,6
8,full MoE  (top-k),47,62,64,6,6
8,full MoE  (top-k),48,6,64,6,6
8,full MoE  (top-k),48,12,64,6,6
8,full MoE  (top-k),48,36,64,6,6
8,full MoE  (top-k),48,38,64,6,6
8,full MoE  (top-k),48,44,64,6,6
8,full MoE  (top-k),48,45,64,6,6
8,full MoE  (top-k),49,10,64,6,6
8,full MoE  (top-k),49,31,64,6,6
8,full MoE  (top-k),49,41,64,6,6
8,full MoE  (top-k),49,50,64,6,6
8,full MoE  (top-k),49,51,64,6,6
8,full MoE  (top-k),49,59,64,6,6
8,full MoE  (top-k),50,1,64,6,6
8,full MoE  (top-k),50,25,64,6,6
8,full MoE  (top-k),50,30,64,6,6
8,full MoE  (top-k),50,36,64,6,6
8,full MoE  (top-k),50,39,64,6,6
8,full MoE  (top-k),50,63,64,6,6
8,full MoE  (top-k),51,6,64,6,6
8,full MoE  (top-k),51,12,64,6,6
8,full MoE  (top-k),51,27,64,6,6
8,full MoE  (top-k),51,38,64,6,6
8,full MoE  (top-k),51,44,64,6,6
8,full MoE  (top-k),51,45,64,6,6
8,full MoE  (top-k),52,10,64,6,6
8,full MoE  (top-k),52,20,64,6,6
8,full MoE  (top-k),52,32,64,6,6
8,full MoE  (top-k),52,41,64,6,6
8,full MoE  (top-k),52,46,64,6,6
8,full MoE  (top-k),52,54,64,6,6
8,full MoE  (top-k),53,11,64,6,6
8,full MoE  (top-k),53,24,64,6,6
8,full MoE  (top-k),53,25,64,6,6
8,full MoE  (top-k),53,39,64,6,6
8,full MoE  (top-k),53,49,64,6,6
8,full MoE  (top-k),53,61,64,6,6
8,full MoE  (top-k),54,9,64,6,6
8,full MoE  (top-k),54,20,64,6,6
8,full MoE  (top-k),54,32,64,6,6
8,full MoE  (top-k),54,47,64,6,6
8,full MoE  (top-k),54,48,64,6,6
8,full MoE  (top-k),54,61,64,6,6
8,full MoE  (top-k),55,2,64,6,6
8,full MoE  (top-k),55,3,64,6,6
8,full MoE  (top-k),55,11,64,6,6
8,full MoE  (top-k),55,25,64,6,6
8,full MoE  (top-k),55,30,64,6,6
8,full MoE  (top-k),55,63,64,6,6
8,full MoE  (top-k),56,3,64,6,6
8,full MoE  (top-k),56,15,64,6,6
8,full MoE  (top-k),56,31,64,6,6
8,full MoE  (top-k),56,50,64,6,6
8,full MoE  (top-k),56,57,64,6,6
8,full MoE  (top-k),56,60,64,6,6
8,full MoE  (top-k),57,2,64,6,6
8,full MoE  (top-k),57,24,64,6,6
8,full MoE  (top-k),57,26,64,6,6
8,full MoE  (top-k),57,37,64,6,6
8,full MoE  (top-k),57,56,64,6,6
8,full MoE  (top-k),57,61,64,6,6
8,full MoE  (top-k),58,2,64,6,6
8,full MoE  (top-k),58,10,64,6,6
8,full MoE  (top-k),58,19,64,6,6
8,full MoE  (top-k),58,38,64,6,6
8,full MoE  (top-k),58,56,64,6,6
8,full MoE  (top-k),58,62,64,6,6
8,full MoE  (top-k),59,2,64,6,6
8,full MoE  (top-k),59,24,64,6,6
8,full MoE  (top-k),59,26,64,6,6
8,full MoE  (top-k),59,36,64,6,6
8,full MoE  (top-k),59,56,64,6,6
8,full MoE  (top-k),59,62,64,6,6
8,full MoE  (top-k),60,8,64,6,6
8,full MoE  (top-k),60,10,64,6,6
8,full MoE  (top-k),60,12,64,6,6
8,full MoE  (top-k),60,38,64,6,6
8,full MoE  (top-k),60,44,64,6,6
8,full MoE  (top-k),60,45,64,6,6
8,full MoE  (top-k),61,31,64,6,6
8,full MoE  (top-k),61,41,64,6,6
8,full MoE  (top-k),61,42,64,6,6
8,full MoE  (top-k),61,50,64,6,6
8,full MoE  (top-k),61,59,64,6,6
8,full MoE  (top-k),61,61,64,6,6
8,full MoE  (top-k),62,16,64,6,6
8,full MoE  (top-k),62,22,64,6,6
8,full MoE  (top-k),62,24,64,6,6
8,full MoE  (top-k),62,35,64,6,6
8,full MoE  (top-k),62,39,64,6,6
8,full MoE  (top-k),62,52,64,6,6
8,full MoE  (top-k),63,16,64,6,6
8,full MoE  (top-k),63,35,64,6,6
8,full MoE  (top-k),63,42,64,6,6
8,full MoE  (top-k),63,49,64,6,6
8,full MoE  (top-k),63,52,64,6,6
8,full MoE  (top-k),63,60,64,6,6
8,full MoE  (top-k),64,2,64,6,6
8,full MoE  (top-k),64,11,64,6,6
8,full MoE  (top-k),64,24,64,6,6
8,full MoE  (top-k),64,26,64,6,6
8,full MoE  (top-k),64,49,64,6,6
8,full MoE  (top-k),64,61,64,6,6
8,full MoE  (top-k),65,18,64,6,6
8,full MoE  (top-k),65,21,64,6,6
8,full MoE  (top-k),65,27,64,6,6
8,full MoE  (top-k),65,30,64,6,6
8,full MoE  (top-k),65,44,64,6,6
8,full MoE  (top-k),65,61,64,6,6
8,full MoE  (top-k),66,3,64,6,6
8,full MoE  (top-k),66,7,64,6,6
8,full MoE  (top-k),66,30,64,6,6
8,full MoE  (top-k),66,37,64,6,6
8,full MoE  (top-k),66,54,64,6,6
8,full MoE  (top-k),66,60,64,6,6
8,full MoE  (top-k),67,6,64,6,6
8,full MoE  (top-k),67,27,64,6,6
8,full MoE  (top-k),67,37,64,6,6
8,full MoE  (top-k),67,38,64,6,6
8,full MoE  (top-k),67,54,64,6,6
8,full MoE  (top-k),67,62,64,6,6
8,full MoE  (top-k),68,7,64,6,6
8,full MoE  (top-k),68,14,64,6,6
8,full MoE  (top-k),68,21,64,6,6
8,full MoE  (top-k),68,23,64,6,6
8,full MoE  (top-k),68,37,64,6,6
8,full MoE  (top-k),68,48,64,6,6
8,full MoE  (top-k),69,5,64,6,6
8,full MoE  (top-k),69,7,64,6,6
8,full MoE  (top-k),69,17,64,6,6
8,full MoE  (top-k),69,46,64,6,6
8,full MoE  (top-k),69,48,64,6,6
8,full MoE  (top-k),69,60,64,6,6
8,full MoE  (top-k),70,2,64,6,6
8,full MoE  (top-k),70,10,64,6,6
8,full MoE  (top-k),70,24,64,6,6
8,full MoE  (top-k),70,49,64,6,6
8,full MoE  (top-k),70,56,64,6,6
8,full MoE  (top-k),70,62,64,6,6
8,full MoE  (top-k),71,10,64,6,6
8,full MoE  (top-k),71,19,64,6,6
8,full MoE  (top-k),71,24,64,6,6
8,full MoE  (top-k),71,39,64,6,6
8,full MoE  (top-k),71,56,64,6,6
8,full MoE  (top-k),71,62,64,6,6
8,full MoE  (top-k),72,2,64,6,6
8,full MoE  (top-k),72,3,64,6,6
8,full MoE  (top-k),72,30,64,6,6
8,full MoE  (top-k),72,49,64,6,6
8,full MoE  (top-k),72,60,64,6,6
8,full MoE  (top-k),72,61,64,6,6
8,full MoE  (top-k),73,2,64,6,6
8,full MoE  (top-k),73,3,64,6,6
8,full MoE  (top-k),73,7,64,6,6
8,full MoE  (top-k),73,14,64,6,6
8,full MoE  (top-k),73,33,64,6,6
8,full MoE  (top-k),73,37,64,6,6
8,full MoE  (top-k),74,2,64,6,6
8,full MoE  (top-k),74,3,64,6,6
8,full MoE  (top-k),74,7,64,6,6
8,full MoE  (top-k),74,23,64,6,6
8,full MoE  (top-k),74,33,64,6,6
8,full MoE  (top-k),74,37,64,6,6
8,full MoE  (top-k),75,2,64,6,6
8,full MoE  (top-k),75,3,64,6,6
8,full MoE  (top-k),75,7,64,6,6
8,full MoE  (top-k),75,23,64,6,6
8,full MoE  (top-k),75,54,64,6,6
8,full MoE  (top-k),75,61,64,6,6
8,full MoE  (top-k),76,2,64,6,6
8,full MoE  (top-k),76,3,64,6,6
8,full MoE  (top-k),76,7,64,6,6
8,full MoE  (top-k),76,14,64,6,6
8,full MoE  (top-k),76,23,64,6,6
8,full MoE  (top-k),76,54,64,6,6
8,full MoE  (top-k),77,6,64,6,6
8,full MoE  (top-k),77,12,64,6,6
8,full MoE  (top-k),77,27,64,6,6
8,full MoE  (top-k),77,42,64,6,6
8,full MoE  (top-k),77,44,64,6,6
8,full MoE  (top-k),77,45,64,6,6
8,full MoE  (top-k),78,1,64,6,6
8,full MoE  (top-k),78,9,64,6,6
8,full MoE  (top-k),78,11,64,6,6
8,full MoE  (top-k),78,20,64,6,6
8,full MoE  (top-k),78,48,64,6,6
8,full MoE  (top-k),78,63,64,6,6
8,full MoE  (top-k),79,5,64,6,6
8,full MoE  (top-k),79,40,64,6,6
8,full MoE  (top-k),79,46,64,6,6
8,full MoE  (top-k),79,47,64,6,6
8,full MoE  (top-k),79,48,64,6,6
8,full MoE  (top-k),79,57,64,6,6
8,full MoE  (top-k),80,10,64,6,6
8,full MoE  (top-k),80,19,64,6,6
8,full MoE  (top-k),80,38,64,6,6
8,full MoE  (top-k),80,42,64,6,6
8,full MoE  (top-k),80,56,64,6,6
8,full MoE  (top-k),80,62,64,6,6
8,full MoE  (top-k),81,9,64,6,6
8,full MoE  (top-k),81,13,64,6,6
8,full MoE  (top-k),81,28,64,6,6
8,full MoE  (top-k),81,36,64,6,6
8,full MoE  (top-k),81,44,64,6,6
8,full MoE  (top-k),81,61,64,6,6
8,full MoE  (top-k),82,16,64,6,6
8,full MoE  (top-k),82,22,64,6,6
8,full MoE  (top-k),82,23,64,6,6
8,full MoE  (top-k),82,25,64,6,6
8,full MoE  (top-k),82,35,64,6,6
8,full MoE  (top-k),82,49,64,6,6
8,full MoE  (top-k),83,10,64,6,6
8,full MoE  (top-k),83,32,64,6,6
8,full MoE  (top-k),83,46,64,6,6
8,full MoE  (top-k),83,49,64,6,6
8,full MoE  (top-k),83,60,64,6,6
8,full MoE  (top-k),83,62,64,6,6
8,full MoE  (top-k),84,1,64,6,6
8,full MoE  (top-k),84,13,64,6,6
8,full MoE  (top-k),84,23,64,6,6
8,full MoE  (top-k),84,28,64,6,6
8,full MoE  (top-k),84,30,64,6,6
8,full MoE  (top-k),84,61,64,6,6
8,full MoE  (top-k),85,6,64,6,6
8,full MoE  (top-k),85,12,64,6,6
8,full MoE  (top-k),85,27,64,6,6
8,full MoE  (top-k),85,42,64,6,6
8,full MoE  (top-k),85,44,64,6,6
8,full MoE  (top-k),85,45,64,6,6
8,full MoE  (top-k),86,0,64,6,6
8,full MoE  (top-k),86,4,64,6,6
8,full MoE  (top-k),86,10,64,6,6
8,full MoE  (top-k),86,20,64,6,6
8,full MoE  (top-k),86,31,64,6,6
8,full MoE  (top-k),86,51,64,6,6
8,full MoE  (top-k),87,1,64,6,6
8,full MoE  (top-k),87,25,64,6,6
8,full MoE  (top-k),87,30,64,6,6
8,full MoE  (top-k),87,55,64,6,6
8,full MoE  (top-k),87,58,64,6,6
8,full MoE  (top-k),87,63,64,6,6
8,full MoE  (top-k),88,6,64,6,6
8,full MoE  (top-k),88,12,64,6,6
8,full MoE  (top-k),88,32,64,6,6
8,full MoE  (top-k),88,42,64,6,6
8,full MoE  (top-k),88,45,64,6,6
8,full MoE  (top-k),88,59,64,6,6
8,full MoE  (top-k),89,0,64,6,6
8,full MoE  (top-k),89,10,64,6,6
8,full MoE  (top-k),89,20,64,6,6
8,full MoE  (top-k),89,31,64,6,6
8,full MoE  (top-k),89,46,64,6,6
8,full MoE  (top-k),89,60,64,6,6
8,full MoE  (top-k),90,24,64,6,6
8,full MoE  (top-k),90,26,64,6,6
8,full MoE  (top-k),90,37,64,6,6
8,full MoE  (top-k),90,56,64,6,6
8,full MoE  (top-k),90,61,64,6,6
8,full MoE  (top-k),90,62,64,6,6
8,full MoE  (top-k),91,10,64,6,6
8,full MoE  (top-k),91,19,64,6,6
8,full MoE  (top-k),91,38,64,6,6
8,full MoE  (top-k),91,42,64,6,6
8,full MoE  (top-k),91,56,64,6,6
8,full MoE  (top-k),91,62,64,6,6
8,full MoE  (top-k),92,24,64,6,6
8,full MoE  (top-k),92,30,64,6,6
8,full MoE  (top-k),92,49,64,6,6
8,full MoE  (top-k),92,56,64,6,6
8,full MoE  (top-k),92,61,64,6,6
8,full MoE  (top-k),92,63,64,6,6
8,full MoE  (top-k),93,8,64,6,6
8,full MoE  (top-k),93,14,64,6,6
8,full MoE  (top-k),93,21,64,6,6
8,full MoE  (top-k),93,23,64,6,6
8,full MoE  (top-k),93,47,64,6,6
8,full MoE  (top-k),93,61,64,6,6
8,full MoE  (top-k),94,5,64,6,6
8,full MoE  (top-k),94,40,64,6,6
8,full MoE  (top-k),94,47,64,6,6
8,full MoE  (top-k),94,48,64,6,6
8,full MoE  (top-k),94,49,64,6,6
8,full MoE  (top-k),94,60,64,6,6
8,full MoE  (top-k),95,27,64,6,6
8,full MoE  (top-k),95,30,64,6,6
8,full MoE  (top-k),95,35,64,6,6
