run,layer,component,expert,matrix,l2,maxabs,kurtosis
g1_moe,1,routed,0,fc2,3.07779,0.0717773,0.428629
g1_moe,1,routed,1,fc2,3.05019,0.074707,0.536478
g1_moe,1,routed,2,fc2,2.8921,0.0800781,0.628685
g1_moe,1,routed,3,fc2,2.76475,0.0649414,0.570983
g1_moe,1,routed,4,fc2,2.91753,0.0810547,0.479286
g1_moe,1,routed,5,fc2,3.34789,0.0917969,0.41673
g1_moe,1,routed,6,fc2,2.68925,0.0629883,0.405285
g1_moe,1,routed,7,fc2,3.04688,0.0751953,0.527027
g1_moe,1,routed,8,fc2,3.53676,0.090332,0.39316
g1_moe,1,routed,9,fc2,2.84573,0.0639648,0.471287
g1_moe,1,routed,10,fc2,3.2991,0.0712891,0.320317
g1_moe,1,routed,11,fc2,2.83668,0.0693359,0.541546
g1_moe,1,routed,12,fc2,2.98494,0.0708008,0.379282
g1_moe,1,routed,13,fc2,2.99647,0.0834961,0.564866
g1_moe,1,routed,14,fc2,3.00876,0.0678711,0.348484
g1_moe,1,routed,15,fc2,2.84946,0.0737305,0.468001
g1_moe,1,routed,16,fc2,3.1165,0.0922852,0.644622
g1_moe,1,routed,17,fc2,3.08638,0.0854492,0.735803
g1_moe,1,routed,18,fc2,2.93921,0.0683594,0.376081
g1_moe,1,routed,19,fc2,3.36992,0.0844727,0.352424
g1_moe,1,routed,20,fc2,3.31666,0.0742188,0.390169
g1_moe,1,routed,21,fc2,3.25189,0.0717773,0.441292
g1_moe,1,routed,22,fc2,2.70454,0.074707,0.527669
g1_moe,1,routed,23,fc2,2.99484,0.0703125,0.424315
g1_moe,1,routed,24,fc2,3.28712,0.0771484,0.473271
g1_moe,1,routed,25,fc2,2.85295,0.0776367,0.441925
g1_moe,1,routed,26,fc2,2.87024,0.0844727,0.739535
g1_moe,1,routed,27,fc2,3.24422,0.0834961,0.662284
g1_moe,1,routed,28,fc2,2.98295,0.0800781,0.437977
g1_moe,1,routed,29,fc2,3.41108,0.0864258,0.559979
g1_moe,1,routed,30,fc2,2.81934,0.0737305,0.486479
g1_moe,1,routed,31,fc2,2.81018,0.0634766,0.479377
g1_moe,1,routed,32,fc2,2.89133,0.0727539,0.528889
g1_moe,1,routed,33,fc2,3.02719,0.0761719,0.44552
g1_moe,1,routed,34,fc2,2.94963,0.0708008,0.551594
g1_moe,1,routed,35,fc2,3.11844,0.0742188,0.557503
g1_moe,1,routed,36,fc2,2.84048,0.0727539,0.378997
g1_moe,1,routed,37,fc2,2.8983,0.0708008,0.400761
g1_moe,1,routed,38,fc2,2.99069,0.090332,0.440214
g1_moe,1,routed,39,fc2,3.00377,0.0668945,0.32334
g1_moe,1,routed,40,fc2,3.16361,0.0888672,0.606169
g1_moe,1,routed,41,fc2,2.69129,0.0668945,0.485878
g1_moe,1,routed,42,fc2,3.12573,0.0683594,0.328019
g1_moe,1,routed,43,fc2,3.31665,0.0883789,0.531118
g1_moe,1,routed,44,fc2,3.03745,0.0961914,0.621406
g1_moe,1,routed,45,fc2,2.89936,0.0751953,0.476957
g1_moe,1,routed,46,fc2,3.04017,0.0727539,0.514841
g1_moe,1,routed,47,fc2,2.99186,0.0717773,0.289386
g1_moe,1,routed,48,fc2,3.07772,0.0756836,0.515971
g1_moe,1,routed,49,fc2,2.92256,0.0766602,0.393118
g1_moe,1,routed,50,fc2,3.08851,0.0791016,0.505114
g1_moe,1,routed,51,fc2,2.81338,0.0766602,0.573762
g1_moe,1,routed,52,fc2,2.85294,0.0673828,0.424107
g1_moe,1,routed,53,fc2,3.43402,0.0898438,0.575054
g1_moe,1,routed,54,fc2,3.09009,0.078125,0.272815
g1_moe,1,routed,55,fc2,2.82421,0.104492,0.618995
g1_moe,1,routed,56,fc2,3.18406,0.0800781,0.323023
g1_moe,1,routed,57,fc2,3.11606,0.0825195,0.441887
g1_moe,1,routed,58,fc2,3.00582,0.0678711,0.328229
g1_moe,1,routed,59,fc2,3.24174,0.0834961,0.580622
g1_moe,1,routed,60,fc2,3.51168,0.0825195,0.469332
g1_moe,1,routed,61,fc2,2.87093,0.0742188,0.348784
g1_moe,1,routed,62,fc2,3.28531,0.0874023,0.489372
g1_moe,1,routed,63,fc2,2.79103,0.0664062,0.627636
g1_moe,1,router_row,0,router,0.908843,0.171875,-0.143824
g1_moe,1,router_row,1,router,0.864706,0.134766,-0.380084
g1_moe,1,router_row,2,router,0.861144,0.137695,-0.414955
g1_moe,1,router_row,3,router,0.88698,0.142578,-0.595615
g1_moe,1,router_row,4,router,0.870153,0.135742,-0.400798
g1_moe,1,router_row,5,router,0.966235,0.211914,0.236158
g1_moe,1,router_row,6,router,0.823004,0.164062,-0.377666
g1_moe,1,router_row,7,router,0.912117,0.161133,-0.312357
g1_moe,1,router_row,8,router,0.94153,0.178711,-0.163529
g1_moe,1,router_row,9,router,0.969339,0.155273,-0.681887
g1_moe,1,router_row,10,router,0.884478,0.174805,-0.0890889
g1_moe,1,router_row,11,router,0.944805,0.163086,-0.314487
g1_moe,1,router_row,12,router,0.934883,0.167969,-0.487831
g1_moe,1,router_row,13,router,0.88602,0.205078,-0.115155
g1_moe,1,router_row,14,router,0.868446,0.15332,-0.359694
g1_moe,1,router_row,15,router,0.855507,0.169922,0.0355676
g1_moe,1,router_row,16,router,0.956519,0.228516,0.387332
g1_moe,1,router_row,17,router,0.856509,0.130859,-0.466774
g1_moe,1,router_row,18,router,0.936094,0.15625,-0.318868
g1_moe,1,router_row,19,router,1.09204,0.204102,0.0536593
g1_moe,1,router_row,20,router,1.0507,0.203125,-0.0649662
g1_moe,1,router_row,21,router,0.807346,0.132812,-0.335757
g1_moe,1,router_row,22,router,0.955778,0.167969,-0.493672
g1_moe,1,router_row,23,router,0.91363,0.155273,-0.52139
g1_moe,1,router_row,24,router,1.01811,0.200195,0.264347
g1_moe,1,router_row,25,router,0.894714,0.139648,-0.557832
g1_moe,1,router_row,26,router,0.806486,0.137695,-0.619377
g1_moe,1,router_row,27,router,0.974565,0.183594,0.283639
g1_moe,1,router_row,28,router,0.85239,0.154297,0.303405
g1_moe,1,router_row,29,router,0.947842,0.18457,-0.331135
g1_moe,1,router_row,30,router,0.917913,0.173828,-0.199308
g1_moe,1,router_row,31,router,0.767959,0.115723,-0.64267
g1_moe,1,router_row,32,router,0.924041,0.208008,0.0172755
g1_moe,1,router_row,33,router,0.885596,0.164062,-0.185238
g1_moe,1,router_row,34,router,0.855733,0.150391,-0.407663
g1_moe,1,router_row,35,router,0.870471,0.136719,-0.265559
g1_moe,1,router_row,36,router,0.94256,0.141602,-0.582644
g1_moe,1,router_row,37,router,0.912888,0.195312,0.0590154
g1_moe,1,router_row,38,router,0.905863,0.140625,-0.616765
g1_moe,1,router_row,39,router,0.856782,0.146484,-0.380829
g1_moe,1,router_row,40,router,0.980086,0.174805,-0.0967787
g1_moe,1,router_row,41,router,0.782412,0.143555,-0.548976
g1_moe,1,router_row,42,router,0.859836,0.147461,-0.373141
g1_moe,1,router_row,43,router,0.954745,0.160156,-0.219416
g1_moe,1,router_row,44,router,0.938961,0.158203,-0.200397
g1_moe,1,router_row,45,router,0.829857,0.150391,-0.41132
g1_moe,1,router_row,46,router,0.954809,0.143555,-0.505292
g1_moe,1,router_row,47,router,0.911798,0.161133,-0.374685
g1_moe,1,router_row,48,router,0.910257,0.15625,-0.351806
g1_moe,1,router_row,49,router,0.941859,0.144531,-0.450948
g1_moe,1,router_row,50,router,1.00009,0.194336,-0.239415
g1_moe,1,router_row,51,router,0.839628,0.160156,-0.330193
g1_moe,1,router_row,52,router,0.872115,0.12793,-0.79206
g1_moe,1,router_row,53,router,0.991901,0.176758,0.0773816
g1_moe,1,router_row,54,router,0.915398,0.152344,-0.415958
g1_moe,1,router_row,55,router,0.971942,0.174805,-0.152052
g1_moe,1,router_row,56,router,0.928524,0.177734,-0.0857462
g1_moe,1,router_row,57,router,0.869777,0.182617,0.238944
g1_moe,1,router_row,58,router,0.961977,0.164062,-0.188489
g1_moe,1,router_row,59,router,0.97714,0.200195,0.202997
g1_moe,1,router_row,60,router,1.03484,0.178711,-0.0655673
g1_moe,1,router_row,61,router,0.894581,0.15625,-0.0403021
g1_moe,1,router_row,62,router,0.990144,0.172852,-0.141001
g1_moe,1,router_row,63,router,0.872309,0.144531,-0.50744
g1_moe,1,shared,,fc1,8.50729,0.102051,0.000193128
g1_moe,1,shared,,fc2,2.06879,0.0310059,0.154203
g1_moe,2,routed,0,fc1,9.0123,0.177734,0.422407
g1_moe,2,routed,1,fc1,8.39809,0.162109,0.402314
g1_moe,2,routed,2,fc1,8.30902,0.164062,0.300722
g1_moe,2,routed,3,fc1,8.57675,0.163086,0.38014
g1_moe,2,routed,4,fc1,8.64867,0.152344,0.361173
g1_moe,2,routed,5,fc1,9.04554,0.165039,0.462177
g1_moe,2,routed,6,fc1,8.20353,0.146484,0.445613
g1_moe,2,routed,7,fc1,8.8273,0.160156,0.461966
