"# Downstream 10-task 0-shot for free-set cells. base_free / impose_R8 / CE_adapt_R8 are reused verbatim from olmoe_downstream_ref.csv (correct convention, gate_mass=preserve; rows before 08-08 joined the renorm-era reference instead — see downstream.py header). cell_gap_closed = (cell - impose)/(base_free - impose): 1.0 is free-routing quality, 0.0 is the untrained mask. Higher is better."
task,metric,base_free,impose_R8,CE_adapt_R8,cell_acc,cell_se,cell_minus_base,cell_minus_CE,cell_gap_closed,CE_gap_closed,cell,free_set,train_tokens,cell_bpb
piqa,acc,0.7845,0.7242,0.7280,0.7307,0.0104,-0.0538,+0.0027,0.1078,0.0630,ce_free2,"0,1",50003968,0.814440
piqa,acc_norm,0.7971,0.7203,0.7367,0.7280,0.0104,-0.0691,-0.0087,0.1003,0.2135,ce_free2,"0,1",50003968,0.814440
winogrande,acc,0.6938,0.5691,0.5991,0.5714,0.0139,-0.1224,-0.0277,0.0184,0.2406,ce_free2,"0,1",50003968,0.814440
openbookqa,acc,0.3260,0.2600,0.2200,0.2420,0.0192,-0.0840,+0.0220,-0.2727,-0.6061,ce_free2,"0,1",50003968,0.814440
openbookqa,acc_norm,0.4440,0.3740,0.3680,0.3520,0.0214,-0.0920,-0.0160,-0.3143,-0.0857,ce_free2,"0,1",50003968,0.814440
sciq,acc,0.9380,0.9150,0.9270,0.9180,0.0087,-0.0200,-0.0090,0.1304,0.5217,ce_free2,"0,1",50003968,0.814440
sciq,acc_norm,0.9230,0.9110,0.9150,0.8870,0.0100,-0.0360,-0.0280,-2.0000,0.3333,ce_free2,"0,1",50003968,0.814440
boolq,acc,0.7012,0.6309,0.6440,0.6376,0.0084,-0.0636,-0.0064,0.0953,0.1863,ce_free2,"0,1",50003968,0.814440
lambada_openai,acc,0.7056,0.4460,0.5791,0.5461,0.0069,-0.1595,-0.0330,0.3856,0.5127,ce_free2,"0,1",50003968,0.814440
copa,acc,0.8500,0.7500,0.7800,0.7600,0.0429,-0.0900,-0.0200,0.1000,0.3000,ce_free2,"0,1",50003968,0.814440
arc_easy,acc,0.7698,0.6364,0.6713,0.6835,0.0095,-0.0863,+0.0122,0.3531,0.2616,ce_free_0_1_15_attn,"0,1,15",50003968,0.796195
arc_easy,acc_norm,0.7677,0.6166,0.6616,0.6519,0.0098,-0.1158,-0.0097,0.2336,0.2978,ce_free_0_1_15_attn,"0,1,15",50003968,0.796195
arc_challenge,acc,0.4667,0.3055,0.3439,0.3567,0.0140,-0.1100,+0.0128,0.3176,0.2382,ce_free_0_1_15_attn,"0,1,15",50003968,0.796195
arc_challenge,acc_norm,0.4974,0.3430,0.3720,0.3857,0.0142,-0.1117,+0.0137,0.2766,0.1878,ce_free_0_1_15_attn,"0,1,15",50003968,0.796195
hellaswag,acc,0.5847,0.4864,0.4859,0.4740,0.0050,-0.1107,-0.0119,-0.1261,-0.0051,ce_free_0_1_15_attn,"0,1,15",50003968,0.796195
hellaswag,acc_norm,0.7809,0.6608,0.6527,0.6437,0.0048,-0.1372,-0.0090,-0.1424,-0.0674,ce_free_0_1_15_attn,"0,1,15",50003968,0.796195
piqa,acc,0.7845,0.7242,0.7280,0.7312,0.0103,-0.0533,+0.0032,0.1161,0.0630,ce_free_0_1_15_attn,"0,1,15",50003968,0.796195
piqa,acc_norm,0.7971,0.7203,0.7367,0.7459,0.0102,-0.0512,+0.0092,0.3333,0.2135,ce_free_0_1_15_attn,"0,1,15",50003968,0.796195
winogrande,acc,0.6938,0.5691,0.5991,0.5659,0.0139,-0.1279,-0.0332,-0.0257,0.2406,ce_free_0_1_15_attn,"0,1,15",50003968,0.796195
openbookqa,acc,0.3260,0.2600,0.2200,0.2420,0.0192,-0.0840,+0.0220,-0.2727,-0.6061,ce_free_0_1_15_attn,"0,1,15",50003968,0.796195
openbookqa,acc_norm,0.4440,0.3740,0.3680,0.3720,0.0216,-0.0720,+0.0040,-0.0286,-0.0857,ce_free_0_1_15_attn,"0,1,15",50003968,0.796195
sciq,acc,0.9380,0.9150,0.9270,0.9250,0.0083,-0.0130,-0.0020,0.4348,0.5217,ce_free_0_1_15_attn,"0,1,15",50003968,0.796195
sciq,acc_norm,0.9230,0.9110,0.9150,0.8950,0.0097,-0.0280,-0.0200,-1.3333,0.3333,ce_free_0_1_15_attn,"0,1,15",50003968,0.796195
boolq,acc,0.7012,0.6309,0.6440,0.6367,0.0084,-0.0645,-0.0073,0.0825,0.1863,ce_free_0_1_15_attn,"0,1,15",50003968,0.796195
lambada_openai,acc,0.7056,0.4460,0.5791,0.5874,0.0069,-0.1182,+0.0083,0.5447,0.5127,ce_free_0_1_15_attn,"0,1,15",50003968,0.796195
copa,acc,0.8500,0.7500,0.7800,0.7800,0.0416,-0.0700,+0.0000,0.3000,0.3000,ce_free_0_1_15_attn,"0,1,15",50003968,0.796195
arc_easy,acc,0.7698,0.6364,0.6713,0.7029,0.0094,-0.0669,+0.0316,0.4985,0.2616,ce_free_0_1_14_15_attn_ds1,"0,1,14,15",50003968,0.784325
arc_easy,acc_norm,0.7677,0.6166,0.6616,0.6755,0.0096,-0.0922,+0.0139,0.3898,0.2978,ce_free_0_1_14_15_attn_ds1,"0,1,14,15",50003968,0.784325
arc_challenge,acc,0.4667,0.3055,0.3439,0.3729,0.0141,-0.0938,+0.0290,0.4181,0.2382,ce_free_0_1_14_15_attn_ds1,"0,1,14,15",50003968,0.784325
arc_challenge,acc_norm,0.4974,0.3430,0.3720,0.3933,0.0143,-0.1041,+0.0213,0.3258,0.1878,ce_free_0_1_14_15_attn_ds1,"0,1,14,15",50003968,0.784325
hellaswag,acc,0.5847,0.4864,0.4859,0.4887,0.0050,-0.0960,+0.0028,0.0234,-0.0051,ce_free_0_1_14_15_attn_ds1,"0,1,14,15",50003968,0.784325
hellaswag,acc_norm,0.7809,0.6608,0.6527,0.6556,0.0047,-0.1253,+0.0029,-0.0433,-0.0674,ce_free_0_1_14_15_attn_ds1,"0,1,14,15",50003968,0.784325
piqa,acc,0.7845,0.7242,0.7280,0.7399,0.0102,-0.0446,+0.0119,0.2604,0.0630,ce_free_0_1_14_15_attn_ds1,"0,1,14,15",50003968,0.784325
piqa,acc_norm,0.7971,0.7203,0.7367,0.7448,0.0102,-0.0523,+0.0081,0.3190,0.2135,ce_free_0_1_14_15_attn_ds1,"0,1,14,15",50003968,0.784325
winogrande,acc,0.6938,0.5691,0.5991,0.5864,0.0138,-0.1074,-0.0127,0.1387,0.2406,ce_free_0_1_14_15_attn_ds1,"0,1,14,15",50003968,0.784325
openbookqa,acc,0.3260,0.2600,0.2200,0.2500,0.0194,-0.0760,+0.0300,-0.1515,-0.6061,ce_free_0_1_14_15_attn_ds1,"0,1,14,15",50003968,0.784325
openbookqa,acc_norm,0.4440,0.3740,0.3680,0.3800,0.0217,-0.0640,+0.0120,0.0857,-0.0857,ce_free_0_1_14_15_attn_ds1,"0,1,14,15",50003968,0.784325
sciq,acc,0.9380,0.9150,0.9270,0.9220,0.0085,-0.0160,-0.0050,0.3043,0.5217,ce_free_0_1_14_15_attn_ds1,"0,1,14,15",50003968,0.784325
sciq,acc_norm,0.9230,0.9110,0.9150,0.8910,0.0099,-0.0320,-0.0240,-1.6667,0.3333,ce_free_0_1_14_15_attn_ds1,"0,1,14,15",50003968,0.784325
boolq,acc,0.7012,0.6309,0.6440,0.6281,0.0085,-0.0731,-0.0159,-0.0398,0.1863,ce_free_0_1_14_15_attn_ds1,"0,1,14,15",50003968,0.784325
lambada_openai,acc,0.7056,0.4460,0.5791,0.5801,0.0069,-0.1255,+0.0010,0.5166,0.5127,ce_free_0_1_14_15_attn_ds1,"0,1,14,15",50003968,0.784325
copa,acc,0.8500,0.7500,0.7800,0.8100,0.0394,-0.0400,+0.0300,0.6000,0.3000,ce_free_0_1_14_15_attn_ds1,"0,1,14,15",50003968,0.784325
arc_easy,acc,0.7698,0.6364,0.6713,0.6713,0.0096,-0.0985,+0.0000,0.2616,0.2616,sweep_lr3e5_win,,15007744,0.793289
arc_easy,acc_norm,0.7677,0.6166,0.6616,0.6616,0.0097,-0.1061,+0.0000,0.2978,0.2978,sweep_lr3e5_win,,15007744,0.793289
arc_challenge,acc,0.4667,0.3055,0.3439,0.3439,0.0139,-0.1228,+0.0000,0.2382,0.2382,sweep_lr3e5_win,,15007744,0.793289
arc_challenge,acc_norm,0.4974,0.3430,0.3720,0.3720,0.0141,-0.1254,+0.0000,0.1878,0.1878,sweep_lr3e5_win,,15007744,0.793289
hellaswag,acc,0.5847,0.4864,0.4859,0.4859,0.0050,-0.0988,+0.0000,-0.0051,-0.0051,sweep_lr3e5_win,,15007744,0.793289
hellaswag,acc_norm,0.7809,0.6608,0.6527,0.6527,0.0048,-0.1282,+0.0000,-0.0674,-0.0674,sweep_lr3e5_win,,15007744,0.793289
piqa,acc,0.7845,0.7242,0.7280,0.7280,0.0104,-0.0565,+0.0000,0.0630,0.0630,sweep_lr3e5_win,,15007744,0.793289
piqa,acc_norm,0.7971,0.7203,0.7367,0.7367,0.0103,-0.0604,+0.0000,0.2135,0.2135,sweep_lr3e5_win,,15007744,0.793289
winogrande,acc,0.6938,0.5691,0.5991,0.5991,0.0138,-0.0947,+0.0000,0.2406,0.2406,sweep_lr3e5_win,,15007744,0.793289
openbookqa,acc,0.3260,0.2600,0.2200,0.2200,0.0185,-0.1060,+0.0000,-0.6061,-0.6061,sweep_lr3e5_win,,15007744,0.793289
openbookqa,acc_norm,0.4440,0.3740,0.3680,0.3680,0.0216,-0.0760,+0.0000,-0.0857,-0.0857,sweep_lr3e5_win,,15007744,0.793289
sciq,acc,0.9380,0.9150,0.9270,0.9270,0.0082,-0.0110,+0.0000,0.5217,0.5217,sweep_lr3e5_win,,15007744,0.793289
sciq,acc_norm,0.9230,0.9110,0.9150,0.9150,0.0088,-0.0080,+0.0000,0.3333,0.3333,sweep_lr3e5_win,,15007744,0.793289
boolq,acc,0.7012,0.6309,0.6440,0.6440,0.0084,-0.0572,+0.0000,0.1863,0.1863,sweep_lr3e5_win,,15007744,0.793289
lambada_openai,acc,0.7056,0.4460,0.5791,0.5791,0.0069,-0.1265,+0.0000,0.5127,0.5127,sweep_lr3e5_win,,15007744,0.793289
copa,acc,0.8500,0.7500,0.7800,0.7800,0.0416,-0.0700,+0.0000,0.3000,0.3000,sweep_lr3e5_win,,15007744,0.793289
arc_easy,acc,0.7698,0.6364,0.6713,0.6806,0.0096,-0.0892,+0.0093,0.3313,0.2616,olmoe_distill15M,,15007744,0.788727
arc_easy,acc_norm,0.7677,0.6166,0.6616,0.6566,0.0097,-0.1111,-0.0050,0.2647,0.2978,olmoe_distill15M,,15007744,0.788727
arc_challenge,acc,0.4667,0.3055,0.3439,0.3447,0.0139,-0.1220,+0.0008,0.2432,0.2382,olmoe_distill15M,,15007744,0.788727
arc_challenge,acc_norm,0.4974,0.3430,0.3720,0.3814,0.0142,-0.1160,+0.0094,0.2487,0.1878,olmoe_distill15M,,15007744,0.788727
hellaswag,acc,0.5847,0.4864,0.4859,0.4900,0.0050,-0.0947,+0.0041,0.0366,-0.0051,olmoe_distill15M,,15007744,0.788727
hellaswag,acc_norm,0.7809,0.6608,0.6527,0.6595,0.0047,-0.1214,+0.0068,-0.0108,-0.0674,olmoe_distill15M,,15007744,0.788727
piqa,acc,0.7845,0.7242,0.7280,0.7394,0.0102,-0.0451,+0.0114,0.2521,0.0630,olmoe_distill15M,,15007744,0.788727
piqa,acc_norm,0.7971,0.7203,0.7367,0.7443,0.0102,-0.0528,+0.0076,0.3125,0.2135,olmoe_distill15M,,15007744,0.788727
winogrande,acc,0.6938,0.5691,0.5991,0.5793,0.0139,-0.1145,-0.0198,0.0818,0.2406,olmoe_distill15M,,15007744,0.788727
openbookqa,acc,0.3260,0.2600,0.2200,0.2540,0.0195,-0.0720,+0.0340,-0.0909,-0.6061,olmoe_distill15M,,15007744,0.788727
openbookqa,acc_norm,0.4440,0.3740,0.3680,0.3860,0.0218,-0.0580,+0.0180,0.1714,-0.0857,olmoe_distill15M,,15007744,0.788727
sciq,acc,0.9380,0.9150,0.9270,0.9350,0.0078,-0.0030,+0.0080,0.8696,0.5217,olmoe_distill15M,,15007744,0.788727
sciq,acc_norm,0.9230,0.9110,0.9150,0.9250,0.0083,+0.0020,+0.0100,1.1667,0.3333,olmoe_distill15M,,15007744,0.788727
boolq,acc,0.7012,0.6309,0.6440,0.6416,0.0084,-0.0596,-0.0024,0.1522,0.1863,olmoe_distill15M,,15007744,0.788727
lambada_openai,acc,0.7056,0.4460,0.5791,0.5826,0.0069,-0.1230,+0.0035,0.5262,0.5127,olmoe_distill15M,,15007744,0.788727
copa,acc,0.8500,0.7500,0.7800,0.7700,0.0423,-0.0800,-0.0100,0.2000,0.3000,olmoe_distill15M,,15007744,0.788727
arc_easy,acc,0.7698,0.6364,0.6713,0.6806,0.0096,-0.0892,+0.0093,0.3313,0.2616,olmoe_distill100M,,100007936,0.777929
arc_easy,acc_norm,0.7677,0.6166,0.6616,0.6679,0.0097,-0.0998,+0.0063,0.3395,0.2978,olmoe_distill100M,,100007936,0.777929
arc_challenge,acc,0.4667,0.3055,0.3439,0.3447,0.0139,-0.1220,+0.0008,0.2432,0.2382,olmoe_distill100M,,100007936,0.777929
arc_challenge,acc_norm,0.4974,0.3430,0.3720,0.3805,0.0142,-0.1169,+0.0085,0.2429,0.1878,olmoe_distill100M,,100007936,0.777929
hellaswag,acc,0.5847,0.4864,0.4859,0.4972,0.0050,-0.0875,+0.0113,0.1099,-0.0051,olmoe_distill100M,,100007936,0.777929
hellaswag,acc_norm,0.7809,0.6608,0.6527,0.6640,0.0047,-0.1169,+0.0113,0.0266,-0.0674,olmoe_distill100M,,100007936,0.777929
piqa,acc,0.7845,0.7242,0.7280,0.7470,0.0101,-0.0375,+0.0190,0.3781,0.0630,olmoe_distill100M,,100007936,0.777929
piqa,acc_norm,0.7971,0.7203,0.7367,0.7519,0.0101,-0.0452,+0.0152,0.4115,0.2135,olmoe_distill100M,,100007936,0.777929
winogrande,acc,0.6938,0.5691,0.5991,0.6109,0.0137,-0.0829,+0.0118,0.3352,0.2406,olmoe_distill100M,,100007936,0.777929
openbookqa,acc,0.3260,0.2600,0.2200,0.2380,0.0191,-0.0880,+0.0180,-0.3333,-0.6061,olmoe_distill100M,,100007936,0.777929
openbookqa,acc_norm,0.4440,0.3740,0.3680,0.3840,0.0218,-0.0600,+0.0160,0.1429,-0.0857,olmoe_distill100M,,100007936,0.777929
sciq,acc,0.9380,0.9150,0.9270,0.9380,0.0076,+0.0000,+0.0110,1.0000,0.5217,olmoe_distill100M,,100007936,0.777929
sciq,acc_norm,0.9230,0.9110,0.9150,0.9220,0.0085,-0.0010,+0.0070,0.9167,0.3333,olmoe_distill100M,,100007936,0.777929
boolq,acc,0.7012,0.6309,0.6440,0.6410,0.0084,-0.0602,-0.0030,0.1437,0.1863,olmoe_distill100M,,100007936,0.777929
lambada_openai,acc,0.7056,0.4460,0.5791,0.6012,0.0068,-0.1044,+0.0221,0.5978,0.5127,olmoe_distill100M,,100007936,0.777929
copa,acc,0.8500,0.7500,0.7800,0.7800,0.0416,-0.0700,+0.0000,0.3000,0.3000,olmoe_distill100M,,100007936,0.777929
arc_easy,acc,0.7698,0.6364,0.6713,0.7016,0.0094,-0.0682,+0.0303,0.4888,0.2616,distill_free1415_10M,"14,15",10010624,0.761461
arc_easy,acc_norm,0.7677,0.6166,0.6616,0.6822,0.0096,-0.0855,+0.0206,0.4344,0.2978,distill_free1415_10M,"14,15",10010624,0.761461
arc_challenge,acc,0.4667,0.3055,0.3439,0.3362,0.0138,-0.1305,-0.0077,0.1903,0.2382,distill_free1415_10M,"14,15",10010624,0.761461
arc_challenge,acc_norm,0.4974,0.3430,0.3720,0.3840,0.0142,-0.1134,+0.0120,0.2653,0.1878,distill_free1415_10M,"14,15",10010624,0.761461
hellaswag,acc,0.5847,0.4864,0.4859,0.5075,0.0050,-0.0772,+0.0216,0.2143,-0.0051,distill_free1415_10M,"14,15",10010624,0.761461
hellaswag,acc_norm,0.7809,0.6608,0.6527,0.6861,0.0046,-0.0948,+0.0334,0.2108,-0.0674,distill_free1415_10M,"14,15",10010624,0.761461
piqa,acc,0.7845,0.7242,0.7280,0.7421,0.0102,-0.0424,+0.0141,0.2970,0.0630,distill_free1415_10M,"14,15",10010624,0.761461
piqa,acc_norm,0.7971,0.7203,0.7367,0.7552,0.0100,-0.0419,+0.0185,0.4540,0.2135,distill_free1415_10M,"14,15",10010624,0.761461
winogrande,acc,0.6938,0.5691,0.5991,0.5841,0.0139,-0.1097,-0.0150,0.1199,0.2406,distill_free1415_10M,"14,15",10010624,0.761461
openbookqa,acc,0.3260,0.2600,0.2200,0.2560,0.0195,-0.0700,+0.0360,-0.0606,-0.6061,distill_free1415_10M,"14,15",10010624,0.761461
openbookqa,acc_norm,0.4440,0.3740,0.3680,0.3960,0.0219,-0.0480,+0.0280,0.3143,-0.0857,distill_free1415_10M,"14,15",10010624,0.761461
sciq,acc,0.9380,0.9150,0.9270,0.9400,0.0075,+0.0020,+0.0130,1.0870,0.5217,distill_free1415_10M,"14,15",10010624,0.761461
sciq,acc_norm,0.9230,0.9110,0.9150,0.9270,0.0082,+0.0040,+0.0120,1.3333,0.3333,distill_free1415_10M,"14,15",10010624,0.761461
boolq,acc,0.7012,0.6309,0.6440,0.6376,0.0084,-0.0636,-0.0064,0.0955,0.1863,distill_free1415_10M,"14,15",10010624,0.761461
lambada_openai,acc,0.7056,0.4460,0.5791,0.6140,0.0068,-0.0916,+0.0349,0.6472,0.5127,distill_free1415_10M,"14,15",10010624,0.761461
copa,acc,0.8500,0.7500,0.7800,0.8000,0.0402,-0.0500,+0.0200,0.5000,0.3000,distill_free1415_10M,"14,15",10010624,0.761461
arc_easy,acc,0.7698,0.6364,0.6713,0.6839,0.0095,-0.0859,+0.0126,0.3562,0.2616,distill_free_0_1_15_10M,"0,1,15",10010624,0.761372
arc_easy,acc_norm,0.7677,0.6166,0.6616,0.6667,0.0097,-0.1010,+0.0051,0.3313,0.2978,distill_free_0_1_15_10M,"0,1,15",10010624,0.761372
arc_challenge,acc,0.4667,0.3055,0.3439,0.3549,0.0140,-0.1118,+0.0110,0.3068,0.2382,distill_free_0_1_15_10M,"0,1,15",10010624,0.761372
arc_challenge,acc_norm,0.4974,0.3430,0.3720,0.3916,0.0143,-0.1058,+0.0196,0.3150,0.1878,distill_free_0_1_15_10M,"0,1,15",10010624,0.761372
hellaswag,acc,0.5847,0.4864,0.4859,0.5066,0.0050,-0.0781,+0.0207,0.2052,-0.0051,distill_free_0_1_15_10M,"0,1,15",10010624,0.761372
hellaswag,acc_norm,0.7809,0.6608,0.6527,0.6848,0.0046,-0.0961,+0.0321,0.2000,-0.0674,distill_free_0_1_15_10M,"0,1,15",10010624,0.761372
piqa,acc,0.7845,0.7242,0.7280,0.7514,0.0101,-0.0331,+0.0234,0.4504,0.0630,distill_free_0_1_15_10M,"0,1,15",10010624,0.761372
piqa,acc_norm,0.7971,0.7203,0.7367,0.7584,0.0100,-0.0387,+0.0217,0.4965,0.2135,distill_free_0_1_15_10M,"0,1,15",10010624,0.761372
winogrande,acc,0.6938,0.5691,0.5991,0.5967,0.0138,-0.0971,-0.0024,0.2212,0.2406,distill_free_0_1_15_10M,"0,1,15",10010624,0.761372
openbookqa,acc,0.3260,0.2600,0.2200,0.2440,0.0192,-0.0820,+0.0240,-0.2424,-0.6061,distill_free_0_1_15_10M,"0,1,15",10010624,0.761372
openbookqa,acc_norm,0.4440,0.3740,0.3680,0.3760,0.0217,-0.0680,+0.0080,0.0286,-0.0857,distill_free_0_1_15_10M,"0,1,15",10010624,0.761372
sciq,acc,0.9380,0.9150,0.9270,0.9330,0.0079,-0.0050,+0.0060,0.7826,0.5217,distill_free_0_1_15_10M,"0,1,15",10010624,0.761372
sciq,acc_norm,0.9230,0.9110,0.9150,0.9060,0.0092,-0.0170,-0.0090,-0.4167,0.3333,distill_free_0_1_15_10M,"0,1,15",10010624,0.761372
boolq,acc,0.7012,0.6309,0.6440,0.6297,0.0084,-0.0715,-0.0143,-0.0176,0.1863,distill_free_0_1_15_10M,"0,1,15",10010624,0.761372
lambada_openai,acc,0.7056,0.4460,0.5791,0.6224,0.0068,-0.0832,+0.0433,0.6793,0.5127,distill_free_0_1_15_10M,"0,1,15",10010624,0.761372
copa,acc,0.8500,0.7500,0.7800,0.7800,0.0416,-0.0700,+0.0000,0.3000,0.3000,distill_free_0_1_15_10M,"0,1,15",10010624,0.761372
arc_easy,acc,0.7698,0.6364,0.6713,0.6818,0.0096,-0.0880,+0.0105,0.3405,0.2616,distill_free_0_1_2_10M,"0,1,2",10010624,0.775768
arc_easy,acc_norm,0.7677,0.6166,0.6616,0.6688,0.0097,-0.0989,+0.0072,0.3453,0.2978,distill_free_0_1_2_10M,"0,1,2",10010624,0.775768
arc_challenge,acc,0.4667,0.3055,0.3439,0.3387,0.0138,-0.1280,-0.0052,0.2062,0.2382,distill_free_0_1_2_10M,"0,1,2",10010624,0.775768
arc_challenge,acc_norm,0.4974,0.3430,0.3720,0.3865,0.0142,-0.1109,+0.0145,0.2819,0.1878,distill_free_0_1_2_10M,"0,1,2",10010624,0.775768
hellaswag,acc,0.5847,0.4864,0.4859,0.4982,0.0050,-0.0865,+0.0123,0.1201,-0.0051,distill_free_0_1_2_10M,"0,1,2",10010624,0.775768
hellaswag,acc_norm,0.7809,0.6608,0.6527,0.6762,0.0047,-0.1047,+0.0235,0.1279,-0.0674,distill_free_0_1_2_10M,"0,1,2",10010624,0.775768
piqa,acc,0.7845,0.7242,0.7280,0.7410,0.0102,-0.0435,+0.0130,0.2790,0.0630,distill_free_0_1_2_10M,"0,1,2",10010624,0.775768
piqa,acc_norm,0.7971,0.7203,0.7367,0.7541,0.0100,-0.0430,+0.0174,0.4399,0.2135,distill_free_0_1_2_10M,"0,1,2",10010624,0.775768
winogrande,acc,0.6938,0.5691,0.5991,0.6038,0.0137,-0.0900,+0.0047,0.2782,0.2406,distill_free_0_1_2_10M,"0,1,2",10010624,0.775768
openbookqa,acc,0.3260,0.2600,0.2200,0.2620,0.0197,-0.0640,+0.0420,0.0303,-0.6061,distill_free_0_1_2_10M,"0,1,2",10010624,0.775768
openbookqa,acc_norm,0.4440,0.3740,0.3680,0.3680,0.0216,-0.0760,+0.0000,-0.0857,-0.0857,distill_free_0_1_2_10M,"0,1,2",10010624,0.775768
sciq,acc,0.9380,0.9150,0.9270,0.9360,0.0077,-0.0020,+0.0090,0.9130,0.5217,distill_free_0_1_2_10M,"0,1,2",10010624,0.775768
sciq,acc_norm,0.9230,0.9110,0.9150,0.9200,0.0086,-0.0030,+0.0050,0.7500,0.3333,distill_free_0_1_2_10M,"0,1,2",10010624,0.775768
boolq,acc,0.7012,0.6309,0.6440,0.6385,0.0084,-0.0627,-0.0055,0.1086,0.1863,distill_free_0_1_2_10M,"0,1,2",10010624,0.775768
lambada_openai,acc,0.7056,0.4460,0.5791,0.5923,0.0068,-0.1133,+0.0132,0.5635,0.5127,distill_free_0_1_2_10M,"0,1,2",10010624,0.775768
copa,acc,0.8500,0.7500,0.7800,0.7500,0.0435,-0.1000,-0.0300,0.0000,0.3000,distill_free_0_1_2_10M,"0,1,2",10010624,0.775768
arc_easy,acc,0.7698,0.6364,0.6713,0.6545,0.0098,-0.1153,-0.0168,0.1354,0.2616,alloc_fitted_B192_base,,0,0.793780
arc_easy,acc_norm,0.7677,0.6166,0.6616,0.6540,0.0098,-0.1137,-0.0076,0.2478,0.2978,alloc_fitted_B192_base,,0,0.793780
arc_challenge,acc,0.4667,0.3055,0.3439,0.3473,0.0139,-0.1194,+0.0034,0.2591,0.2382,alloc_fitted_B192_base,,0,0.793780
arc_challenge,acc_norm,0.4974,0.3430,0.3720,0.3746,0.0141,-0.1228,+0.0026,0.2045,0.1878,alloc_fitted_B192_base,,0,0.793780
hellaswag,acc,0.5847,0.4864,0.4859,0.5071,0.0050,-0.0776,+0.0212,0.2103,-0.0051,alloc_fitted_B192_base,,0,0.793780
hellaswag,acc_norm,0.7809,0.6608,0.6527,0.6860,0.0046,-0.0949,+0.0333,0.2100,-0.0674,alloc_fitted_B192_base,,0,0.793780
piqa,acc,0.7845,0.7242,0.7280,0.7339,0.0103,-0.0506,+0.0059,0.1617,0.0630,alloc_fitted_B192_base,,0,0.793780
piqa,acc_norm,0.7971,0.7203,0.7367,0.7459,0.0102,-0.0512,+0.0092,0.3336,0.2135,alloc_fitted_B192_base,,0,0.793780
winogrande,acc,0.6938,0.5691,0.5991,0.5817,0.0139,-0.1121,-0.0174,0.1010,0.2406,alloc_fitted_B192_base,,0,0.793780
openbookqa,acc,0.3260,0.2600,0.2200,0.2480,0.0193,-0.0780,+0.0280,-0.1818,-0.6061,alloc_fitted_B192_base,,0,0.793780
openbookqa,acc_norm,0.4440,0.3740,0.3680,0.3700,0.0216,-0.0740,+0.0020,-0.0571,-0.0857,alloc_fitted_B192_base,,0,0.793780
sciq,acc,0.9380,0.9150,0.9270,0.9280,0.0082,-0.0100,+0.0010,0.5652,0.5217,alloc_fitted_B192_base,,0,0.793780
sciq,acc_norm,0.9230,0.9110,0.9150,0.9170,0.0087,-0.0060,+0.0020,0.5000,0.3333,alloc_fitted_B192_base,,0,0.793780
boolq,acc,0.7012,0.6309,0.6440,0.6153,0.0085,-0.0859,-0.0287,-0.2220,0.1863,alloc_fitted_B192_base,,0,0.793780
lambada_openai,acc,0.7056,0.4460,0.5791,0.5513,0.0069,-0.1543,-0.0278,0.4057,0.5127,alloc_fitted_B192_base,,0,0.793780
copa,acc,0.8500,0.7500,0.7800,0.8000,0.0402,-0.0500,+0.0200,0.5000,0.3000,alloc_fitted_B192_base,,0,0.793780
arc_easy,acc,0.7698,0.6364,0.6713,0.6557,0.0097,-0.1141,-0.0156,0.1449,0.2616,alloc_uniform_B192_base,,0,0.801162
arc_easy,acc_norm,0.7677,0.6166,0.6616,0.6494,0.0098,-0.1183,-0.0122,0.2171,0.2978,alloc_uniform_B192_base,,0,0.801162
arc_challenge,acc,0.4667,0.3055,0.3439,0.3379,0.0138,-0.1288,-0.0060,0.2009,0.2382,alloc_uniform_B192_base,,0,0.801162
arc_challenge,acc_norm,0.4974,0.3430,0.3720,0.3763,0.0142,-0.1211,+0.0043,0.2155,0.1878,alloc_uniform_B192_base,,0,0.801162
hellaswag,acc,0.5847,0.4864,0.4859,0.5095,0.0050,-0.0752,+0.0236,0.2346,-0.0051,alloc_uniform_B192_base,,0,0.801162
hellaswag,acc_norm,0.7809,0.6608,0.6527,0.6903,0.0046,-0.0906,+0.0376,0.2456,-0.0674,alloc_uniform_B192_base,,0,0.801162
piqa,acc,0.7845,0.7242,0.7280,0.7318,0.0103,-0.0527,+0.0038,0.1256,0.0630,alloc_uniform_B192_base,,0,0.801162
piqa,acc_norm,0.7971,0.7203,0.7367,0.7378,0.0103,-0.0593,+0.0011,0.2273,0.2135,alloc_uniform_B192_base,,0,0.801162
winogrande,acc,0.6938,0.5691,0.5991,0.5817,0.0139,-0.1121,-0.0174,0.1010,0.2406,alloc_uniform_B192_base,,0,0.801162
openbookqa,acc,0.3260,0.2600,0.2200,0.2660,0.0198,-0.0600,+0.0460,0.0909,-0.6061,alloc_uniform_B192_base,,0,0.801162
openbookqa,acc_norm,0.4440,0.3740,0.3680,0.3740,0.0217,-0.0700,+0.0060,0.0000,-0.0857,alloc_uniform_B192_base,,0,0.801162
sciq,acc,0.9380,0.9150,0.9270,0.9280,0.0082,-0.0100,+0.0010,0.5652,0.5217,alloc_uniform_B192_base,,0,0.801162
sciq,acc_norm,0.9230,0.9110,0.9150,0.9200,0.0086,-0.0030,+0.0050,0.7500,0.3333,alloc_uniform_B192_base,,0,0.801162
