"# Downstream 10-task 0-shot for free-set cells. base_free / impose_R8 / CE_adapt_R8 are reused verbatim from olmoe_downstream_ref.csv (correct convention, gate_mass=preserve; rows before 08-08 joined the renorm-era reference instead — see downstream.py header). cell_gap_closed = (cell - impose)/(base_free - impose): 1.0 is free-routing quality, 0.0 is the untrained mask. Higher is better."
task,metric,base_free,impose_R8,CE_adapt_R8,cell_acc,cell_se,cell_minus_base,cell_minus_CE,cell_gap_closed,CE_gap_closed,cell,free_set,train_tokens,cell_bpb
arc_challenge,acc,0.4667,0.3055,0.3439,0.3592,0.0140,-0.1075,+0.0153,0.3331,0.2382,ce_free_0_1_14_15_250M,"0,1,14,15",250019840,0.781199
arc_challenge,acc_norm,0.4974,0.3430,0.3720,0.3788,0.0142,-0.1186,+0.0068,0.2319,0.1878,ce_free_0_1_14_15_250M,"0,1,14,15",250019840,0.781199
hellaswag,acc,0.5847,0.4864,0.4859,0.4857,0.0050,-0.0990,-0.0002,-0.0071,-0.0051,ce_free_0_1_14_15_250M,"0,1,14,15",250019840,0.781199
hellaswag,acc_norm,0.7809,0.6608,0.6527,0.6503,0.0048,-0.1306,-0.0024,-0.0874,-0.0674,ce_free_0_1_14_15_250M,"0,1,14,15",250019840,0.781199
piqa,acc,0.7845,0.7242,0.7280,0.7405,0.0102,-0.0440,+0.0125,0.2703,0.0630,ce_free_0_1_14_15_250M,"0,1,14,15",250019840,0.781199
piqa,acc_norm,0.7971,0.7203,0.7367,0.7481,0.0101,-0.0490,+0.0114,0.3620,0.2135,ce_free_0_1_14_15_250M,"0,1,14,15",250019840,0.781199
winogrande,acc,0.6938,0.5691,0.5991,0.5777,0.0139,-0.1161,-0.0214,0.0690,0.2406,ce_free_0_1_14_15_250M,"0,1,14,15",250019840,0.781199
openbookqa,acc,0.3260,0.2600,0.2200,0.2600,0.0196,-0.0660,+0.0400,0.0000,-0.6061,ce_free_0_1_14_15_250M,"0,1,14,15",250019840,0.781199
openbookqa,acc_norm,0.4440,0.3740,0.3680,0.3660,0.0216,-0.0780,-0.0020,-0.1143,-0.0857,ce_free_0_1_14_15_250M,"0,1,14,15",250019840,0.781199
sciq,acc,0.9380,0.9150,0.9270,0.9260,0.0083,-0.0120,-0.0010,0.4783,0.5217,ce_free_0_1_14_15_250M,"0,1,14,15",250019840,0.781199
sciq,acc_norm,0.9230,0.9110,0.9150,0.9080,0.0091,-0.0150,-0.0070,-0.2500,0.3333,ce_free_0_1_14_15_250M,"0,1,14,15",250019840,0.781199
boolq,acc,0.7012,0.6309,0.6440,0.6272,0.0085,-0.0740,-0.0168,-0.0526,0.1863,ce_free_0_1_14_15_250M,"0,1,14,15",250019840,0.781199
lambada_openai,acc,0.7056,0.4460,0.5791,0.6117,0.0068,-0.0939,+0.0326,0.6383,0.5127,ce_free_0_1_14_15_250M,"0,1,14,15",250019840,0.781199
copa,acc,0.8500,0.7500,0.7800,0.7800,0.0416,-0.0700,+0.0000,0.3000,0.3000,ce_free_0_1_14_15_250M,"0,1,14,15",250019840,0.781199
arc_easy,acc,0.7698,0.6364,0.6713,0.6886,0.0095,-0.0812,+0.0173,0.3913,0.2616,ce_free_0_1_15_250M,"0,1,15",250019840,0.790846
arc_easy,acc_norm,0.7677,0.6166,0.6616,0.6633,0.0097,-0.1044,+0.0017,0.3091,0.2978,ce_free_0_1_15_250M,"0,1,15",250019840,0.790846
arc_challenge,acc,0.4667,0.3055,0.3439,0.3524,0.0140,-0.1143,+0.0085,0.2909,0.2382,ce_free_0_1_15_250M,"0,1,15",250019840,0.790846
