run,budget,regime,grain,tau,swap_rate,retained_mass
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,4,0.15162,0.22811
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,8,0.00025,0.12647
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,0,0.99998,0.38179
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,0.25,0.99982,0.38182
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,0.5,0.99852,0.38182
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,1,0.98275,0.38145
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,2,0.75217,0.36477
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,4,0.14825,0.24153
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,8,0.00041,0.14877
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,0,0.99999,0.31654
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,0.25,0.99990,0.31653
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,0.5,0.99916,0.31655
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,1,0.98425,0.31612
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,2,0.76561,0.29979
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,4,0.15295,0.19530
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,8,0.00019,0.11471
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,0,0.99998,0.31188
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,0.25,0.99992,0.31189
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,0.5,0.99949,0.31192
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,1,0.98840,0.31148
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,2,0.78600,0.29704
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,4,0.15585,0.19537
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,8,0.00026,0.10986
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,0,0.99998,0.31070
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,0.25,0.99988,0.31069
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,0.5,0.99913,0.31069
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,1,0.98407,0.31044
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,2,0.74729,0.29225
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,4,0.10366,0.17477
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,8,0.00011,0.10774
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,0,0.99997,0.31698
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,0.25,0.99971,0.31698
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,0.5,0.99858,0.31700
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,1,0.98084,0.31669
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,2,0.75455,0.29787
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,4,0.13774,0.19219
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,8,0.00014,0.11345
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,0,0.99998,0.32408
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,0.25,0.99986,0.32410
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,0.5,0.99885,0.32411
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,1,0.98026,0.32356
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,2,0.71213,0.30294
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,4,0.11047,0.18442
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,8,0.00011,0.11319
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,0,0.99996,0.33903
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,0.25,0.99982,0.33904
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,0.5,0.99889,0.33907
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,1,0.97674,0.33860
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,2,0.67662,0.31459
