label,run,layer,expert,variant,n_tokens,eff_vocab,dispersion
s0_TEMPORAL,g3_tmoe_s0_1e16,2,30,weighted,16933,15992.9,0.9044
s0_TEMPORAL,g3_tmoe_s0_1e16,2,30,static,16933,15991.6,0.792
s0_TEMPORAL,g3_tmoe_s0_1e16,2,31,weighted,21366,15996.4,0.8718
s0_TEMPORAL,g3_tmoe_s0_1e16,2,31,static,21366,15995.6,0.8733
s0_TEMPORAL,g3_tmoe_s0_1e16,2,32,weighted,11779,15988.8,0.845
s0_TEMPORAL,g3_tmoe_s0_1e16,2,32,static,11779,15989.7,0.9031
s0_TEMPORAL,g3_tmoe_s0_1e16,2,33,weighted,13069,15944.9,0.8363
s0_TEMPORAL,g3_tmoe_s0_1e16,2,33,static,13069,15992.2,0.8875
s0_TEMPORAL,g3_tmoe_s0_1e16,2,34,weighted,14177,15984.6,0.8783
s0_TEMPORAL,g3_tmoe_s0_1e16,2,34,static,14177,15989.4,0.8891
s0_TEMPORAL,g3_tmoe_s0_1e16,2,35,weighted,9474,15970.2,0.8984
s0_TEMPORAL,g3_tmoe_s0_1e16,2,35,static,9474,15983.9,0.9204
s0_TEMPORAL,g3_tmoe_s0_1e16,2,36,weighted,8776,15991.8,0.868
s0_TEMPORAL,g3_tmoe_s0_1e16,2,36,static,8776,15994.0,0.8745
s0_TEMPORAL,g3_tmoe_s0_1e16,2,37,weighted,13582,15992.1,0.8675
s0_TEMPORAL,g3_tmoe_s0_1e16,2,37,static,13582,15991.3,0.9252
s0_TEMPORAL,g3_tmoe_s0_1e16,2,38,weighted,15322,15984.8,0.8791
s0_TEMPORAL,g3_tmoe_s0_1e16,2,38,static,15322,15995.3,0.8735
s0_TEMPORAL,g3_tmoe_s0_1e16,2,39,weighted,9368,15986.2,0.8875
s0_TEMPORAL,g3_tmoe_s0_1e16,2,39,static,9368,15980.4,0.8245
s0_TEMPORAL,g3_tmoe_s0_1e16,2,40,weighted,16571,15992.4,0.8931
s0_TEMPORAL,g3_tmoe_s0_1e16,2,40,static,16571,15992.9,0.7672
s0_TEMPORAL,g3_tmoe_s0_1e16,2,41,weighted,12855,15957.5,0.9461
s0_TEMPORAL,g3_tmoe_s0_1e16,2,41,static,12855,15989.1,0.9091
s0_TEMPORAL,g3_tmoe_s0_1e16,2,42,weighted,17694,15998.9,0.8493
s0_TEMPORAL,g3_tmoe_s0_1e16,2,42,static,17694,15996.8,0.88
s0_TEMPORAL,g3_tmoe_s0_1e16,2,43,weighted,11914,15997.1,0.8573
s0_TEMPORAL,g3_tmoe_s0_1e16,2,43,static,11914,15996.0,0.886
s0_TEMPORAL,g3_tmoe_s0_1e16,2,44,weighted,11387,15979.0,0.8886
s0_TEMPORAL,g3_tmoe_s0_1e16,2,44,static,11387,15992.9,0.8878
s0_TEMPORAL,g3_tmoe_s0_1e16,2,45,weighted,8982,15966.0,0.8785
s0_TEMPORAL,g3_tmoe_s0_1e16,2,45,static,8982,15986.4,0.8534
s0_TEMPORAL,g3_tmoe_s0_1e16,2,46,weighted,9090,15987.2,0.8577
s0_TEMPORAL,g3_tmoe_s0_1e16,2,46,static,9090,15993.6,0.8617
s0_TEMPORAL,g3_tmoe_s0_1e16,2,47,weighted,14449,15946.8,0.8461
s0_TEMPORAL,g3_tmoe_s0_1e16,2,47,static,14449,15986.2,0.8408
s0_TEMPORAL,g3_tmoe_s0_1e16,2,48,weighted,16374,15988.4,0.8998
s0_TEMPORAL,g3_tmoe_s0_1e16,2,48,static,16374,15988.8,0.8873
s0_TEMPORAL,g3_tmoe_s0_1e16,2,49,weighted,13360,15976.6,0.8963
s0_TEMPORAL,g3_tmoe_s0_1e16,2,49,static,13360,15987.3,0.8729
s0_TEMPORAL,g3_tmoe_s0_1e16,2,50,weighted,17350,15985.7,0.9234
s0_TEMPORAL,g3_tmoe_s0_1e16,2,50,static,17350,15989.4,0.879
s0_TEMPORAL,g3_tmoe_s0_1e16,2,51,weighted,13629,15972.7,0.9008
s0_TEMPORAL,g3_tmoe_s0_1e16,2,51,static,13629,15992.8,0.9019
s0_TEMPORAL,g3_tmoe_s0_1e16,2,52,weighted,17923,15992.1,0.8463
s0_TEMPORAL,g3_tmoe_s0_1e16,2,52,static,17923,15994.5,0.8359
s0_TEMPORAL,g3_tmoe_s0_1e16,2,53,weighted,12612,15962.5,0.9417
s0_TEMPORAL,g3_tmoe_s0_1e16,2,53,static,12612,15987.1,0.8844
s0_TEMPORAL,g3_tmoe_s0_1e16,2,54,weighted,13400,15962.0,0.9362
s0_TEMPORAL,g3_tmoe_s0_1e16,2,54,static,13400,15987.8,0.8803
s0_TEMPORAL,g3_tmoe_s0_1e16,2,55,weighted,15983,15936.2,0.9471
s0_TEMPORAL,g3_tmoe_s0_1e16,2,55,static,15983,15980.0,0.921
s0_TEMPORAL,g3_tmoe_s0_1e16,2,56,weighted,11819,15957.4,0.9195
s0_TEMPORAL,g3_tmoe_s0_1e16,2,56,static,11819,15989.8,0.8735
s0_TEMPORAL,g3_tmoe_s0_1e16,2,57,weighted,7008,15934.4,0.8199
s0_TEMPORAL,g3_tmoe_s0_1e16,2,57,static,7008,15988.0,0.8769
s0_TEMPORAL,g3_tmoe_s0_1e16,2,58,weighted,15842,15980.9,0.8816
s0_TEMPORAL,g3_tmoe_s0_1e16,2,58,static,15842,15990.6,0.9137
s0_TEMPORAL,g3_tmoe_s0_1e16,2,59,weighted,12283,15949.1,0.9176
s0_TEMPORAL,g3_tmoe_s0_1e16,2,59,static,12283,15988.8,0.8794
s0_TEMPORAL,g3_tmoe_s0_1e16,2,60,weighted,19154,15985.8,0.8305
s0_TEMPORAL,g3_tmoe_s0_1e16,2,60,static,19154,15995.8,0.8777
s0_TEMPORAL,g3_tmoe_s0_1e16,2,61,weighted,18352,15989.5,0.8771
s0_TEMPORAL,g3_tmoe_s0_1e16,2,61,static,18352,15991.9,0.8962
