arm,what,impl,tokens,bpb,swap,entropy,divisor
A1,"new trainer, PLE flag off",analysis/ple/train_ple.py,10027008,0.981639,0.999672,0.995378,3.1089070924799973
A2,"new trainer, PLE flag off, identical to A1",analysis/ple/train_ple.py,10027008,0.980822,0.999666,0.995213,3.1089070924799973
B1,"adaptation program arm C, unmodified",scripts/adaptation/train_bakeoff.py,10027008,0.983215,0.999660,0.994807,3.1089070924799973
B2,"adaptation program arm C, second replicate",scripts/adaptation/train_bakeoff.py,10027008,0.985913,0.999650,0.995058,3.1089070924799973
floor_new,|A1 - A2| new trainer's own run-to-run spread,,,0.000817,,,
floor_ref,|B1 - B2| reference's own run-to-run spread,,,0.002698,,,
delta,|mean(A) - mean(B)| new-code-off vs reference,,,0.003333,,,
