run,budget,regime,grain,layer,mean_swap_rate,p95_burst_len
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,2,0.99998,2047.00
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,3,0.99999,2047.00
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,4,0.99994,2047.00
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,2,0.99999,2047.00
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,3,0.99996,2047.00
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,4,0.99998,2047.00
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,2,0.99996,2047.00
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,3,0.99995,2047.00
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,4,0.99998,2047.00
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,2,0.99999,2047.00
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,3,0.99999,2047.00
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,4,0.99999,2047.00
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,5,0.99999,2047.00
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,6,0.99998,2047.00
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,2,0.99998,2047.00
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,3,0.99999,2047.00
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,4,0.99998,2047.00
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,5,0.99999,2047.00
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,6,0.99999,2047.00
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,2,0.99997,2047.00
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,3,0.99997,2047.00
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,4,0.99999,2047.00
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,5,0.99996,2047.00
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,6,0.99997,2047.00
moe_coarse_1e19,1e19,full,coarse 6/64,2,1.00000,2047.00
moe_coarse_1e19,1e19,full,coarse 6/64,3,1.00000,2047.00
moe_coarse_1e19,1e19,full,coarse 6/64,4,1.00000,2047.00
moe_coarse_1e19,1e19,full,coarse 6/64,5,1.00000,2047.00
moe_coarse_1e19,1e19,full,coarse 6/64,6,1.00000,2047.00
moe_coarse_1e19,1e19,full,coarse 6/64,7,0.99994,2047.00
moe_coarse_1e19,1e19,full,coarse 6/64,8,1.00000,2047.00
moe_coarse_1e19,1e19,full,coarse 6/64,9,1.00000,2047.00
moe_coarse_1e19,1e19,full,coarse 6/64,10,1.00000,2047.00
moe_coarse_1e19,1e19,full,coarse 6/64,11,0.99994,2047.00
moe_coarse_1e19,1e19,full,coarse 6/64,12,0.99976,2047.00
moe_coarse_1e19,1e19,full,coarse 6/64,13,0.99994,2047.00
moe_coarse_1e19,1e19,full,coarse 6/64,14,0.99933,2047.00
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,2,1.00000,2047.00
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,3,1.00000,2047.00
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,4,1.00000,2047.00
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,5,1.00000,2047.00
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,6,1.00000,2047.00
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,7,1.00000,2047.00
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,8,1.00000,2047.00
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,9,1.00000,2047.00
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,10,1.00000,2047.00
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,11,1.00000,2047.00
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,12,1.00000,2047.00
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,13,1.00000,2047.00
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,14,1.00000,2047.00
