"# gemma4 per-layer damage d_l(R): solo layer l constrained at R, others free, base checkpoint; then fitted greedy allocation vs uniform at iso-memory slot budgets. Training-free, min_logit <=1 swap/token, model-convention gating. free_set: ALL = every layer free, all_but_l = solo cell. damage = bpb - free bpb. Producer: analysis/ple/granularity_ladder.py --perlayer"
stage,cell,R,free_set,R_map,bpb,damage,n_seq,secs
layers,solo_L18_R12,12,all_but_18,,0.645581,+0.000996,16,4.5
layers,solo_L18_R16,16,all_but_18,,0.645277,+0.000692,16,4.5
layers,solo_L18_R24,24,all_but_18,,0.645134,+0.000549,16,4.5
layers,solo_L19_R8,8,all_but_19,,0.645577,+0.000992,16,4.5
layers,solo_L19_R12,12,all_but_19,,0.645468,+0.000883,16,4.5
layers,solo_L19_R16,16,all_but_19,,0.645163,+0.000578,16,4.5
layers,solo_L19_R24,24,all_but_19,,0.645031,+0.000446,16,4.5
layers,solo_L20_R8,8,all_but_20,,0.645990,+0.001405,16,4.5
layers,solo_L20_R12,12,all_but_20,,0.645690,+0.001105,16,4.5
layers,solo_L20_R16,16,all_but_20,,0.645458,+0.000873,16,4.5
layers,solo_L20_R24,24,all_but_20,,0.645035,+0.000450,16,4.5
layers,solo_L21_R8,8,all_but_21,,0.646100,+0.001515,16,4.5
layers,solo_L21_R12,12,all_but_21,,0.645656,+0.001071,16,4.5
layers,solo_L21_R16,16,all_but_21,,0.645338,+0.000753,16,4.5
layers,solo_L21_R24,24,all_but_21,,0.645212,+0.000627,16,4.5
layers,solo_L22_R8,8,all_but_22,,0.645716,+0.001131,16,4.5
layers,solo_L22_R12,12,all_but_22,,0.645295,+0.000710,16,4.5
layers,solo_L22_R16,16,all_but_22,,0.645094,+0.000510,16,4.5
layers,solo_L22_R24,24,all_but_22,,0.644970,+0.000385,16,4.5
layers,solo_L23_R8,8,all_but_23,,0.645727,+0.001142,16,4.5
layers,solo_L23_R12,12,all_but_23,,0.645556,+0.000971,16,4.5
layers,solo_L23_R16,16,all_but_23,,0.645284,+0.000699,16,4.5
layers,solo_L23_R24,24,all_but_23,,0.645043,+0.000458,16,4.5
layers,solo_L24_R8,8,all_but_24,,0.646230,+0.001645,16,4.5
layers,solo_L24_R12,12,all_but_24,,0.645844,+0.001259,16,4.5
layers,solo_L24_R16,16,all_but_24,,0.645606,+0.001021,16,4.5
layers,solo_L24_R24,24,all_but_24,,0.645110,+0.000525,16,4.5
layers,solo_L25_R8,8,all_but_25,,0.646081,+0.001496,16,4.5
layers,solo_L25_R12,12,all_but_25,,0.645699,+0.001114,16,4.5
layers,solo_L25_R16,16,all_but_25,,0.645392,+0.000807,16,4.5
layers,solo_L25_R24,24,all_but_25,,0.645194,+0.000609,16,4.5
layers,solo_L26_R8,8,all_but_26,,0.646215,+0.001630,16,4.5
layers,solo_L26_R12,12,all_but_26,,0.645941,+0.001356,16,4.5
layers,solo_L26_R16,16,all_but_26,,0.645551,+0.000966,16,4.5
layers,solo_L26_R24,24,all_but_26,,0.645237,+0.000652,16,4.5
layers,solo_L27_R8,8,all_but_27,,0.646153,+0.001569,16,4.5
layers,solo_L27_R12,12,all_but_27,,0.645885,+0.001300,16,4.5
layers,solo_L27_R16,16,all_but_27,,0.645684,+0.001099,16,4.5
layers,solo_L27_R24,24,all_but_27,,0.645332,+0.000747,16,4.5
layers,solo_L28_R8,8,all_but_28,,0.645681,+0.001096,16,4.5
layers,solo_L28_R12,12,all_but_28,,0.645442,+0.000857,16,4.5
layers,solo_L28_R16,16,all_but_28,,0.645372,+0.000787,16,4.5
layers,solo_L28_R24,24,all_but_28,,0.645083,+0.000498,16,4.5
layers,solo_L29_R8,8,all_but_29,,0.647062,+0.002477,16,4.5
layers,solo_L29_R12,12,all_but_29,,0.646422,+0.001837,16,4.5
layers,solo_L29_R16,16,all_but_29,,0.646016,+0.001431,16,4.5
layers,solo_L29_R24,24,all_but_29,,0.645476,+0.000891,16,4.5
alloc,fitted_B360,8,,0:8;1:12;2:8;3:8;4:12;5:12;6:12;7:9;8:15;9:12;10:8;11:11;12:20;13:16;14:10;15:12;16:11;17:14;18:13;19:10;20:13;21:12;22:11;23:11;24:14;25:13;26:14;27:12;28:10;29:17,0.684939,+0.040354,16,5.1
alloc,uniform_B360,12,,,0.683038,+0.038453,16,5.1
alloc,fitted_B480,8,,0:8;1:13;2:8;3:8;4:13;5:13;6:14;7:12;8:19;9:13;10:8;11:12;12:33;13:23;14:14;15:15;16:14;17:20;18:18;19:15;20:19;21:18;22:16;23:17;24:21;25:18;26:20;27:18;28:15;29:25,0.672730,+0.028145,16,5.1
alloc,uniform_B480,16,,,0.672069,+0.027484,16,5.1
