"# Thinking ablation summary: damage (constrained-free; damage_se = UNPAIRED binomial SE of the difference, n per task) and lengths per model/mode/arm/task. Producer: analysis/residency/think_analysis.py"
"# Every cell is reported at the largest generation budget fair to both of its arms (see FAIR and resolve). budget_free and budget_con are the budgets actually used, caphit_free and caphit_con the percent of that arms generations ending within 8 tokens of it, and record names the source record. A cap-hit above 2 percent means the cell is still budget-limited and its damage carries a truncation component."
model,mode,arm,task,free,constrained,damage,damage_se,gen_free,gen_con,think_free,think_con,budget_free,budget_con,caphit_free,caphit_con,record
gpt-oss-20b,high,R4,GSM8K,0.8400,0.8200,-2.0,3.8,241,212,752,662,4096,4096,1.5,1.0,gptoss_20b_high
gpt-oss-20b,high,R4,IFEval,0.8600,0.8750,+1.5,3.4,572,355,5055,5168,16384,16384,0.0,0.0,gptoss_20b_high_cap16k
gpt-oss-20b,high,R4,HumanEval,0.9268,0.9146,-1.2,3.0,2614,2777,1734,1820,16384,16384,3.0,3.7,gptoss_20b_high_cap16k
gpt-oss-20b,high,R4,MMLU,0.8640,0.8070,-5.7,3.5,871,831,713,661,4096,4096,1.3,1.3,gptoss_20b_high
gpt-oss-120b,low,R4,GSM8K,0.8550,0.8750,+2.0,3.4,163,165,72,80,4096,4096,0.0,0.0,gptoss_120b_low
gpt-oss-120b,low,R16,GSM8K,0.8550,0.8200,-3.5,3.7,163,174,72,74,4096,4096,0.0,0.0,gptoss_120b_low
gpt-oss-120b,low,R4,IFEval,0.7600,0.7400,-2.0,4.3,557,533,69,55,8192,8192,0.0,0.0,gptoss_120b_low
gpt-oss-120b,low,R16,IFEval,0.7600,0.7150,-4.5,4.4,557,541,69,44,8192,8192,0.0,0.0,gptoss_120b_low
gpt-oss-120b,low,R4,HumanEval,0.9451,0.9512,+0.6,2.4,373,378,81,88,2048,2048,0.0,0.0,gptoss_120b_low
gpt-oss-120b,low,R16,HumanEval,0.9451,0.9329,-1.2,2.6,373,385,81,85,2048,2048,0.0,0.0,gptoss_120b_low
gpt-oss-120b,low,R4,MMLU,0.8947,0.9035,+0.9,2.8,132,141,50,50,4096,4096,0.0,0.0,gptoss_120b_low
gpt-oss-120b,low,R16,MMLU,0.8947,0.8947,+0.0,2.9,132,128,50,49,4096,4096,0.0,0.0,gptoss_120b_low
gpt-oss-120b,medium,R4,GSM8K,0.8500,0.8400,-1.0,3.6,181,190,154,197,4096,4096,0.0,0.0,gptoss_120b
gpt-oss-120b,medium,R16,GSM8K,0.8500,0.8350,-1.5,3.6,181,193,154,172,4096,4096,0.0,0.0,gptoss_120b
gpt-oss-120b,medium,R4,IFEval,0.8300,0.8350,+0.5,3.7,572,487,498,472,8192,8192,0.0,0.0,gptoss_120b
gpt-oss-120b,medium,R16,IFEval,0.8300,0.8050,-2.5,3.9,572,520,498,529,8192,8192,0.0,0.5,gptoss_120b
gpt-oss-120b,medium,R4,HumanEval,0.9451,0.9756,+3.0,2.1,632,667,318,356,8192,8192,0.0,0.0,gptoss_120b_cap8k
gpt-oss-120b,medium,R16,HumanEval,0.9451,0.9573,+1.2,2.4,632,650,318,339,8192,8192,0.0,0.0,gptoss_120b_cap8k
gpt-oss-120b,medium,R4,MMLU,0.8684,0.8596,-0.9,3.2,280,308,177,210,4096,4096,0.0,0.0,gptoss_120b
gpt-oss-120b,medium,R16,MMLU,0.8684,0.8684,+0.0,3.2,280,283,177,190,4096,4096,0.0,0.0,gptoss_120b
gpt-oss-120b,high,R4,GSM8K,0.8300,0.8250,-0.5,3.8,187,202,517,668,4096,4096,0.0,0.0,gptoss_120b_high
gpt-oss-120b,high,R16,GSM8K,0.8300,0.8150,-1.5,3.8,187,193,517,594,4096,4096,0.0,0.0,gptoss_120b_high
gpt-oss-120b,high,R4,IFEval,0.8850,0.8900,+0.5,3.2,543,588,2505,3048,16384,16384,0.0,0.0,gptoss_120b_high_cap16k
gpt-oss-120b,high,R16,IFEval,0.8850,0.8950,+1.0,3.1,543,520,2505,2979,16384,16384,0.0,0.0,gptoss_120b_high_cap16k
gpt-oss-120b,high,R4,HumanEval,0.9695,0.9634,-0.6,2.0,1782,2005,1316,1521,8192,8192,3.0,1.8,gptoss_120b_high_cap8k
gpt-oss-120b,high,R16,HumanEval,0.9695,0.9634,-0.6,2.0,1782,1862,1316,1436,8192,8192,3.0,1.8,gptoss_120b_high_cap8k
gpt-oss-120b,high,R4,MMLU,0.9123,0.9035,-0.9,2.7,746,826,588,649,4096,4096,0.9,1.3,gptoss_120b_high
gpt-oss-120b,high,R16,MMLU,0.9123,0.9079,-0.4,2.7,746,834,588,669,4096,4096,0.9,1.8,gptoss_120b_high
LFM2.5-A1B,on,R4,GSM8K,0.8450,0.7700,-7.5,3.9,156,223,419,487,4096,4096,0.0,1.5,lfm25_instruct
LFM2.5-A1B,on,R4,IFEval,0.8750,0.8550,-2.0,3.4,472,508,1156,1491,8192,8192,2.0,1.0,lfm25_instruct
LFM2.5-A1B,on,R4,HumanEval,0.8293,0.6768,-15.2,4.7,1126,1542,869,1142,8192,8192,1.8,3.7,lfm25_instruct_cap8k
LFM2.5-A1B,on,R4,MMLU,0.5965,0.5570,-3.9,4.6,748,761,642,661,4096,4096,1.8,2.2,lfm25_instruct
OLMoE-1B-7B,off,R8,GSM8K,0.6950,0.4750,-22.0,4.8,105,123,,,2048,2048,0.5,0.0,olmoe_instruct
OLMoE-1B-7B,off,R8,IFEval,0.5850,0.5200,-6.5,5.0,377,396,,,2048,2048,1.0,1.0,olmoe_instruct
OLMoE-1B-7B,off,R8,HumanEval,0.3659,0.2744,-9.1,5.1,132,139,,,2048,2048,0.0,0.0,olmoe_instruct
OLMoE-1B-7B,off,R8,MMLU,0.5526,0.4561,-9.6,4.7,155,236,0,0,2048,2048,0.0,0.0,olmoe_instruct
