"# qwen3 per-layer damage d_l(R): solo layer l constrained at R, others free, base surface; then fitted greedy allocation vs uniform at iso-memory slot budgets, both surfaces. Training-free, min_logit <=1 swap/token, gate_mass=preserve. free_set column: ALL = every layer free, all_but_l = solo cell. Producer: analysis/ple/frontier_qwen.py --perlayer"
stage,surface,cell,R,free_set,R_map,bpb,swap_rate,n_seq,secs
layers,base,solo_L15_R16,16,all_but_15,,0.615531,1.0000,16,4.7
layers,base,solo_L15_R24,24,all_but_15,,0.615505,1.0000,16,4.7
layers,base,solo_L16_R8,8,all_but_16,,0.615801,0.9985,16,4.7
layers,base,solo_L16_R12,12,all_but_16,,0.615760,0.9999,16,4.7
layers,base,solo_L16_R16,16,all_but_16,,0.615637,1.0000,16,4.7
layers,base,solo_L16_R24,24,all_but_16,,0.615491,1.0000,16,4.7
layers,base,solo_L17_R8,8,all_but_17,,0.615805,0.9989,16,4.7
layers,base,solo_L17_R12,12,all_but_17,,0.615753,0.9999,16,4.7
layers,base,solo_L17_R16,16,all_but_17,,0.615532,1.0000,16,4.7
layers,base,solo_L17_R24,24,all_but_17,,0.615513,1.0000,16,4.7
layers,base,solo_L18_R8,8,all_but_18,,0.615764,0.9864,16,4.7
layers,base,solo_L18_R12,12,all_but_18,,0.615583,0.9967,16,4.7
layers,base,solo_L18_R16,16,all_but_18,,0.615526,0.9992,16,4.7
layers,base,solo_L18_R24,24,all_but_18,,0.615483,0.9998,16,4.7
layers,base,solo_L19_R8,8,all_but_19,,0.615449,0.9849,16,4.7
layers,base,solo_L19_R12,12,all_but_19,,0.615517,0.9959,16,4.7
layers,base,solo_L19_R16,16,all_but_19,,0.615445,0.9987,16,4.7
layers,base,solo_L19_R24,24,all_but_19,,0.615475,0.9999,16,4.7
layers,base,solo_L20_R8,8,all_but_20,,0.615868,0.9964,16,4.7
layers,base,solo_L20_R12,12,all_but_20,,0.615831,0.9991,16,4.7
layers,base,solo_L20_R16,16,all_but_20,,0.615588,0.9998,16,4.7
layers,base,solo_L20_R24,24,all_but_20,,0.615590,1.0000,16,4.7
layers,base,solo_L21_R8,8,all_but_21,,0.615730,0.9962,16,4.7
layers,base,solo_L21_R12,12,all_but_21,,0.615404,0.9992,16,4.7
layers,base,solo_L21_R16,16,all_but_21,,0.615450,0.9998,16,4.7
layers,base,solo_L21_R24,24,all_but_21,,0.615350,1.0000,16,4.7
layers,base,solo_L22_R8,8,all_but_22,,0.616085,0.9982,16,4.7
layers,base,solo_L22_R12,12,all_but_22,,0.615886,0.9997,16,4.7
layers,base,solo_L22_R16,16,all_but_22,,0.615828,1.0000,16,4.7
layers,base,solo_L22_R24,24,all_but_22,,0.615613,1.0000,16,4.7
layers,base,solo_L23_R8,8,all_but_23,,0.616218,0.9985,16,4.7
layers,base,solo_L23_R12,12,all_but_23,,0.616044,0.9997,16,4.7
layers,base,solo_L23_R16,16,all_but_23,,0.616054,0.9999,16,4.7
layers,base,solo_L23_R24,24,all_but_23,,0.615636,1.0000,16,4.7
layers,base,solo_L24_R8,8,all_but_24,,0.616175,0.9978,16,4.7
layers,base,solo_L24_R12,12,all_but_24,,0.615846,0.9998,16,4.7
layers,base,solo_L24_R16,16,all_but_24,,0.615795,1.0000,16,4.7
layers,base,solo_L24_R24,24,all_but_24,,0.615791,1.0000,16,4.7
layers,base,solo_L25_R8,8,all_but_25,,0.616523,0.9987,16,4.7
layers,base,solo_L25_R12,12,all_but_25,,0.616054,0.9998,16,4.7
layers,base,solo_L25_R16,16,all_but_25,,0.616027,0.9999,16,4.7
