"# Qwen3.5-35B-A3B-Base test-time residency suite, single model load, all cells replayed over identical cached batches. E=256 k=8 layers=40. BPB divisor 3.1642666 (ln2 x bytes/token) on the audited slice re-tokenized to byte-identical text. solo_Lxx = that layer constrained, all others free. 'damage' is that cell's BPB minus free_baseline (0.625133). resident_with_shared includes Qwen's always-on shared expert. Producer: analysis/residency/qwen_sweep.py"
cell,R,resident_routed_pct,resident_with_shared_pct,bpb,ce_nats,swap_rate,route_entropy,eff_load_med,n_seq,secs,damage_vs_free
solo_L12_R32,32,12.50,12.84,0.625404,1.978946,1.0000,0.9506,,16,13.3,+0.000271
solo_L13_R32,32,12.50,12.84,0.625220,1.978363,1.0000,0.9525,,16,13.4,+0.000087
solo_L14_R32,32,12.50,12.84,0.625288,1.978577,1.0000,0.9619,,16,13.3,+0.000155
solo_L15_R32,32,12.50,12.84,0.625186,1.978254,1.0000,0.9549,,16,13.3,+0.000053
solo_L16_R32,32,12.50,12.84,0.625217,1.978354,1.0000,0.9600,,16,13.3,+0.000084
solo_L17_R32,32,12.50,12.84,0.625321,1.978681,1.0000,0.9567,,16,13.3,+0.000188
solo_L18_R32,32,12.50,12.84,0.625230,1.978394,1.0000,0.9572,,16,13.3,+0.000097
solo_L19_R32,32,12.50,12.84,0.625265,1.978504,1.0000,0.9564,,16,13.2,+0.000132
solo_L20_R32,32,12.50,12.84,0.625084,1.977933,1.0000,0.9515,,16,13.4,-0.000049
solo_L21_R32,32,12.50,12.84,0.625272,1.978526,1.0000,0.9501,,16,13.3,+0.000139
solo_L22_R32,32,12.50,12.84,0.625214,1.978343,1.0000,0.9512,,16,13.3,+0.000081
solo_L23_R32,32,12.50,12.84,0.625469,1.979152,1.0000,0.9482,,16,13.4,+0.000336
solo_L24_R32,32,12.50,12.84,0.625278,1.978547,1.0000,0.9481,,16,13.3,+0.000145
solo_L25_R32,32,12.50,12.84,0.625209,1.978328,1.0000,0.9497,,16,13.3,+0.000076
solo_L26_R32,32,12.50,12.84,0.625225,1.978378,1.0000,0.9573,,16,13.5,+0.000092
solo_L27_R32,32,12.50,12.84,0.625132,1.978086,1.0000,0.9542,,16,13.8,-0.000001
solo_L28_R32,32,12.50,12.84,0.625380,1.978867,1.0000,0.9549,,16,14.0,+0.000247
solo_L29_R32,32,12.50,12.84,0.625442,1.979065,1.0000,0.9481,,16,13.4,+0.000309
solo_L30_R32,32,12.50,12.84,0.625476,1.979174,1.0000,0.9483,,16,13.2,+0.000343
solo_L31_R32,32,12.50,12.84,0.625490,1.979219,1.0000,0.9462,,16,13.4,+0.000357
solo_L32_R32,32,12.50,12.84,0.626317,1.981835,1.0000,0.9107,,16,13.3,+0.001184
solo_L33_R32,32,12.50,12.84,0.626835,1.983474,1.0000,0.8982,,16,13.2,+0.001702
solo_L34_R32,32,12.50,12.84,0.626814,1.983408,1.0000,0.9041,,16,13.2,+0.001681
solo_L35_R32,32,12.50,12.84,0.625578,1.979496,1.0000,0.9395,,16,13.2,+0.000445
solo_L36_R32,32,12.50,12.84,0.626172,1.981374,1.0000,0.9206,,16,13.2,+0.001039
solo_L37_R32,32,12.50,12.84,0.626182,1.981406,1.0000,0.9157,,16,13.2,+0.001049
solo_L38_R32,32,12.50,12.84,0.627123,1.984385,1.0000,0.9106,,16,13.3,+0.001990
solo_L39_R32,32,12.50,12.84,0.631749,1.999022,1.0000,0.8963,,16,13.2,+0.006616
