run,budget,regime,grain,ema_beta,layer,swap_rate,set_coverage,mass_coverage
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,0.1,2,0.96269,0.86076,0.87481
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,0.1,3,0.95033,0.86768,0.88596
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,0.1,4,0.90928,0.89528,0.91060
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,0.1,all,0.94077,0.87457,0.89046
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,1,2,0.99999,0.20012,0.22857
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,1,3,0.99998,0.26509,0.30002
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,1,4,0.99999,0.38613,0.42102
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,1,all,0.99999,0.28378,0.31654
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,0.5,2,0.99994,0.36967,0.39979
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,0.5,3,0.99998,0.41084,0.45187
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,0.5,4,0.99991,0.53968,0.58376
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,0.5,all,0.99994,0.44006,0.47847
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,0.25,2,0.99973,0.60305,0.62364
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,0.25,3,0.99926,0.59559,0.62693
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,0.25,4,0.99711,0.70117,0.73584
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,0.25,all,0.99870,0.63327,0.66214
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,0.1,2,0.96063,0.86571,0.87554
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,0.1,3,0.96871,0.84424,0.85840
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,0.1,4,0.91030,0.88865,0.90390
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,0.1,all,0.94655,0.86620,0.87928
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,1,2,0.99998,0.19474,0.22972
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,1,3,0.99998,0.27209,0.29948
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,1,4,0.99998,0.37101,0.40644
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,1,all,0.99998,0.27928,0.31188
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,0.5,2,0.99998,0.36530,0.39567
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,0.5,3,0.99994,0.41919,0.45799
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,0.5,4,0.99986,0.52341,0.56810
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,0.5,all,0.99993,0.43597,0.47392
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,0.25,2,0.99989,0.58950,0.60953
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,0.25,3,0.99918,0.60630,0.63630
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,0.25,4,0.99734,0.68690,0.72221
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,0.25,all,0.99880,0.62756,0.65601
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,0.1,2,0.95271,0.86331,0.87226
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,0.1,3,0.96185,0.85113,0.86437
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,0.1,4,0.91774,0.88479,0.90014
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,0.1,all,0.94410,0.86641,0.87892
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,1,2,0.99999,0.20792,0.22514
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,1,3,0.99998,0.28064,0.30683
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,1,4,0.99998,0.36979,0.40015
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,1,all,0.99998,0.28612,0.31070
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,0.5,2,0.99998,0.35427,0.38330
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,0.5,3,0.99986,0.44646,0.48155
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,0.5,4,0.99989,0.53244,0.57198
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,0.5,all,0.99991,0.44439,0.47895
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,0.25,2,0.99979,0.54001,0.56592
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,0.25,3,0.99869,0.63732,0.66571
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,0.25,4,0.99751,0.70149,0.73301
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,0.25,all,0.99866,0.62627,0.65488
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,0.1,2,0.98620,0.80617,0.81966
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,0.1,3,0.95002,0.86694,0.88004
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,0.1,4,0.91248,0.89092,0.90490
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,0.1,all,0.94957,0.85468,0.86820
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,1,2,0.99998,0.18618,0.20846
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,1,3,0.99999,0.27701,0.30922
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,1,4,0.99994,0.39590,0.43326
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,1,all,0.99997,0.28637,0.31698
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,0.5,2,0.99997,0.33366,0.36326
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,0.5,3,0.99994,0.42744,0.46940
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,0.5,4,0.99944,0.55542,0.59912
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,0.5,all,0.99978,0.43884,0.47726
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,0.25,2,0.99969,0.53471,0.55821
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,0.25,3,0.99923,0.60618,0.63975
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,0.25,4,0.99576,0.71507,0.74959
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,0.25,all,0.99822,0.61865,0.64918
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,0.1,2,0.98657,0.81551,0.82728
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,0.1,3,0.96776,0.84457,0.86014
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,0.1,4,0.90233,0.89329,0.90865
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,0.1,all,0.95222,0.85112,0.86536
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,1,2,0.99999,0.20780,0.23283
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,1,3,0.99996,0.28885,0.31762
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,1,4,0.99998,0.38434,0.42178
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,1,all,0.99998,0.29366,0.32408
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,0.5,2,0.99989,0.39991,0.42541
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,0.5,3,0.99985,0.44678,0.48510
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,0.5,4,0.99986,0.54406,0.58651
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,0.5,all,0.99987,0.46358,0.49900
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,0.25,2,0.99918,0.61784,0.63893
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,0.25,3,0.99838,0.62716,0.65890
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,0.25,4,0.99670,0.70815,0.74127
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,0.25,all,0.99809,0.65105,0.67970
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,0.1,2,0.96043,0.86418,0.87539
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,0.1,3,0.95954,0.85517,0.87037
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,0.1,4,0.90701,0.89415,0.90854
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,0.1,all,0.94233,0.87117,0.88477
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,1,2,0.99996,0.20635,0.22643
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,1,3,0.99995,0.31865,0.35092
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,1,4,0.99998,0.40167,0.43970
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,1,all,0.99996,0.30889,0.33902
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,0.5,2,0.99987,0.35784,0.38504
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,0.5,3,0.99990,0.48783,0.52525
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,0.5,4,0.99983,0.56234,0.60729
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,0.5,all,0.99987,0.46933,0.50586
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,0.25,2,0.99932,0.56228,0.58396
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,0.25,3,0.99861,0.66904,0.69944
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,0.25,4,0.99616,0.71978,0.75550
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,0.25,all,0.99803,0.65036,0.67963
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,0.1,2,0.97617,0.83593,0.84657
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,0.1,3,0.93553,0.88144,0.89537
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,0.1,4,0.90124,0.89553,0.91153
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,0.1,all,0.93765,0.87097,0.88449
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,1,2,0.99999,0.19251,0.23400
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,1,3,0.99999,0.26265,0.30379
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,1,4,0.99999,0.34581,0.39514
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,1,5,0.99999,0.40012,0.45265
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,1,6,0.99998,0.44557,0.50012
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,1,all,0.99999,0.32933,0.37714
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.5,2,0.99995,0.37224,0.41092
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.5,3,0.99988,0.42205,0.47124
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.5,4,0.99990,0.49018,0.55201
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.5,5,0.99988,0.54219,0.60613
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.5,6,0.99953,0.59003,0.65066
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.5,all,0.99983,0.48334,0.53819
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.25,2,0.99965,0.60170,0.62492
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.25,3,0.99921,0.62102,0.65700
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.25,4,0.99843,0.64474,0.69577
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.25,5,0.99718,0.68909,0.74113
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.25,6,0.99393,0.73193,0.77855
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.25,all,0.99768,0.65770,0.69947
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.1,2,0.95841,0.86701,0.87590
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.1,3,0.95061,0.86350,0.87920
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.1,4,0.95398,0.84788,0.87277
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.1,5,0.93010,0.87140,0.89575
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.1,6,0.88975,0.89562,0.91639
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.1,all,0.93657,0.86908,0.88800
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,1,2,0.99998,0.32905,0.38154
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,1,3,0.99999,0.33296,0.38785
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,1,4,0.99998,0.35960,0.40570
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,1,5,0.99999,0.41171,0.47615
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,1,6,0.99999,0.46440,0.52987
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,1,all,0.99999,0.37955,0.43622
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.5,2,0.99995,0.48685,0.54435
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.5,3,0.99993,0.48814,0.55440
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.5,4,0.99981,0.51009,0.57346
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.5,5,0.99980,0.55618,0.62886
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.5,6,0.99979,0.60264,0.67663
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.5,all,0.99986,0.52878,0.59554
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.25,2,0.99953,0.65909,0.69994
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.25,3,0.99908,0.65120,0.69990
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.25,4,0.99845,0.66942,0.71931
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.25,5,0.99763,0.70512,0.75862
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.25,6,0.99593,0.73947,0.79387
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.25,all,0.99813,0.68486,0.73433
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.1,2,0.96599,0.86614,0.88360
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.1,3,0.96424,0.85757,0.87875
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.1,4,0.95232,0.86534,0.88787
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.1,5,0.92677,0.88345,0.90589
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.1,6,0.89830,0.89764,0.92093
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.1,all,0.94152,0.87403,0.89541
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,1,2,0.99997,0.31232,0.32944
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,1,3,0.99997,0.36658,0.40256
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,1,4,0.99999,0.41387,0.46488
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,1,5,0.99996,0.43454,0.49267
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,1,6,0.99997,0.46693,0.52868
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,1,all,0.99997,0.39885,0.44365
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.5,2,0.99997,0.47034,0.50894
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.5,3,0.99997,0.53606,0.58533
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.5,4,0.99970,0.57266,0.63241
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.5,5,0.99979,0.57830,0.64217
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.5,6,0.99969,0.60517,0.67542
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.5,all,0.99982,0.55251,0.60885
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.25,2,0.99921,0.64466,0.67493
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.25,3,0.99895,0.70583,0.74202
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.25,4,0.99695,0.72881,0.77352
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.25,5,0.99622,0.72548,0.77233
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.25,6,0.99394,0.74126,0.79292
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.25,all,0.99705,0.70921,0.75114
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.1,2,0.96831,0.86057,0.87405
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.1,3,0.92607,0.89172,0.90681
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.1,4,0.90388,0.89917,0.91803
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.1,5,0.90277,0.89670,0.91610
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.1,6,0.89753,0.89743,0.91980
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.1,all,0.91971,0.88912,0.90696
moe_coarse_1e19,1e19,full,coarse 6/64,1,2,1.00000,0.11655,0.11955
moe_coarse_1e19,1e19,full,coarse 6/64,1,3,1.00000,0.12809,0.13208
moe_coarse_1e19,1e19,full,coarse 6/64,1,4,1.00000,0.12613,0.13079
moe_coarse_1e19,1e19,full,coarse 6/64,1,5,1.00000,0.13978,0.15099
moe_coarse_1e19,1e19,full,coarse 6/64,1,6,1.00000,0.16075,0.17717
moe_coarse_1e19,1e19,full,coarse 6/64,1,7,0.99994,0.17274,0.19080
moe_coarse_1e19,1e19,full,coarse 6/64,1,8,1.00000,0.17545,0.19712
moe_coarse_1e19,1e19,full,coarse 6/64,1,9,1.00000,0.16822,0.18473
moe_coarse_1e19,1e19,full,coarse 6/64,1,10,1.00000,0.17162,0.19066
moe_coarse_1e19,1e19,full,coarse 6/64,1,11,0.99994,0.18168,0.20510
moe_coarse_1e19,1e19,full,coarse 6/64,1,12,0.99976,0.19780,0.22382
moe_coarse_1e19,1e19,full,coarse 6/64,1,13,0.99994,0.19934,0.22964
moe_coarse_1e19,1e19,full,coarse 6/64,1,14,0.99933,0.25028,0.28677
moe_coarse_1e19,1e19,full,coarse 6/64,1,all,0.99992,0.16834,0.18609
moe_coarse_1e19,1e19,full,coarse 6/64,0.5,2,0.99969,0.28067,0.28804
moe_coarse_1e19,1e19,full,coarse 6/64,0.5,3,0.99982,0.28592,0.29784
moe_coarse_1e19,1e19,full,coarse 6/64,0.5,4,0.99988,0.29048,0.30512
moe_coarse_1e19,1e19,full,coarse 6/64,0.5,5,0.99957,0.31193,0.33627
moe_coarse_1e19,1e19,full,coarse 6/64,0.5,6,0.99890,0.34306,0.37619
moe_coarse_1e19,1e19,full,coarse 6/64,0.5,7,0.99902,0.35919,0.40087
moe_coarse_1e19,1e19,full,coarse 6/64,0.5,8,0.99823,0.35666,0.39628
moe_coarse_1e19,1e19,full,coarse 6/64,0.5,9,0.99878,0.34401,0.38607
moe_coarse_1e19,1e19,full,coarse 6/64,0.5,10,0.99853,0.35376,0.39623
moe_coarse_1e19,1e19,full,coarse 6/64,0.5,11,0.99817,0.35675,0.40622
moe_coarse_1e19,1e19,full,coarse 6/64,0.5,12,0.99737,0.38132,0.43085
moe_coarse_1e19,1e19,full,coarse 6/64,0.5,13,0.99560,0.38339,0.43528
moe_coarse_1e19,1e19,full,coarse 6/64,0.5,14,0.99340,0.44725,0.52108
moe_coarse_1e19,1e19,full,coarse 6/64,0.5,all,0.99823,0.34572,0.38280
moe_coarse_1e19,1e19,full,coarse 6/64,0.25,2,0.99359,0.46211,0.47000
moe_coarse_1e19,1e19,full,coarse 6/64,0.25,3,0.99377,0.47288,0.48637
moe_coarse_1e19,1e19,full,coarse 6/64,0.25,4,0.99243,0.49344,0.51193
moe_coarse_1e19,1e19,full,coarse 6/64,0.25,5,0.98773,0.52577,0.55327
moe_coarse_1e19,1e19,full,coarse 6/64,0.25,6,0.97918,0.56772,0.60178
moe_coarse_1e19,1e19,full,coarse 6/64,0.25,7,0.97783,0.58033,0.62469
moe_coarse_1e19,1e19,full,coarse 6/64,0.25,8,0.97331,0.57616,0.61700
moe_coarse_1e19,1e19,full,coarse 6/64,0.25,9,0.98247,0.56754,0.61125
moe_coarse_1e19,1e19,full,coarse 6/64,0.25,10,0.97734,0.58227,0.62881
moe_coarse_1e19,1e19,full,coarse 6/64,0.25,11,0.97765,0.57787,0.62989
moe_coarse_1e19,1e19,full,coarse 6/64,0.25,12,0.96489,0.60788,0.65721
moe_coarse_1e19,1e19,full,coarse 6/64,0.25,13,0.96232,0.60622,0.65672
moe_coarse_1e19,1e19,full,coarse 6/64,0.25,14,0.94284,0.65699,0.72633
moe_coarse_1e19,1e19,full,coarse 6/64,0.25,all,0.97734,0.55978,0.59810
moe_coarse_1e19,1e19,full,coarse 6/64,0.1,2,0.90993,0.70200,0.70708
moe_coarse_1e19,1e19,full,coarse 6/64,0.1,3,0.90590,0.70928,0.71838
moe_coarse_1e19,1e19,full,coarse 6/64,0.1,4,0.88679,0.73850,0.75198
moe_coarse_1e19,1e19,full,coarse 6/64,0.1,5,0.84929,0.77021,0.78777
moe_coarse_1e19,1e19,full,coarse 6/64,0.1,6,0.80899,0.79638,0.81731
moe_coarse_1e19,1e19,full,coarse 6/64,0.1,7,0.80319,0.79798,0.82551
moe_coarse_1e19,1e19,full,coarse 6/64,0.1,8,0.79995,0.80031,0.82467
moe_coarse_1e19,1e19,full,coarse 6/64,0.1,9,0.80795,0.80065,0.82561
moe_coarse_1e19,1e19,full,coarse 6/64,0.1,10,0.79757,0.80473,0.83271
moe_coarse_1e19,1e19,full,coarse 6/64,0.1,11,0.79922,0.80546,0.83581
moe_coarse_1e19,1e19,full,coarse 6/64,0.1,12,0.75122,0.82449,0.85282
moe_coarse_1e19,1e19,full,coarse 6/64,0.1,13,0.74762,0.82476,0.85193
moe_coarse_1e19,1e19,full,coarse 6/64,0.1,14,0.69046,0.84717,0.88608
moe_coarse_1e19,1e19,full,coarse 6/64,0.1,all,0.81216,0.78630,0.80905
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,1,2,1.00000,0.11211,0.11560
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,1,3,1.00000,0.13506,0.15688
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,1,4,1.00000,0.15953,0.18893
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,1,5,1.00000,0.18248,0.21997
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,1,6,1.00000,0.19442,0.23235
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,1,7,1.00000,0.20604,0.24712
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,1,8,1.00000,0.22889,0.28310
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,1,9,1.00000,0.24464,0.29353
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,1,10,1.00000,0.28602,0.34014
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,1,11,1.00000,0.30152,0.36510
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,1,12,1.00000,0.29937,0.36414
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,1,13,1.00000,0.32549,0.39026
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,1,14,1.00000,0.38440,0.45733
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,1,all,1.00000,0.23538,0.28111
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.5,2,1.00000,0.20419,0.21305
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.5,3,1.00000,0.23446,0.26596
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.5,4,1.00000,0.26426,0.30330
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.5,5,1.00000,0.28131,0.32798
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.5,6,1.00000,0.30245,0.35319
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.5,7,1.00000,0.31246,0.36916
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.5,8,1.00000,0.33391,0.40259
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.5,9,1.00000,0.36000,0.42880
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.5,10,1.00000,0.40910,0.48304
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.5,11,1.00000,0.43111,0.51542
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.5,12,1.00000,0.42610,0.51369
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.5,13,1.00000,0.46337,0.55182
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.5,14,1.00000,0.53415,0.62456
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.5,all,1.00000,0.35053,0.41173
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.25,2,1.00000,0.32492,0.33509
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.25,3,1.00000,0.37029,0.39717
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.25,4,1.00000,0.40369,0.43657
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.25,5,1.00000,0.41006,0.44835
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.25,6,1.00000,0.43952,0.48262
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.25,7,1.00000,0.45135,0.49863
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.25,8,1.00000,0.46759,0.52263
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.25,9,1.00000,0.50163,0.55766
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.25,10,1.00000,0.55105,0.61088
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.25,11,1.00000,0.57256,0.64220
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.25,12,0.99969,0.57103,0.64177
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.25,13,0.99994,0.61016,0.68534
