"# Qwen3.5-35B-A3B-Base test-time residency suite, single model load, all cells replayed over identical cached batches. E=128 k=8 layers=48. BPB divisor 3.1998611 (ln2 x bytes/token) on the audited slice re-tokenized to byte-identical text. solo_Lxx = that layer constrained, all others free. 'damage' is that cell's BPB minus free_baseline (0.615371). resident_with_shared includes Qwen's always-on shared expert. Producer: analysis/ple/qwen_sweep.py"
cell,R,resident_routed_pct,resident_with_shared_pct,bpb,ce_nats,swap_rate,route_entropy,eff_load_med,n_seq,secs,damage_vs_free
solo_L04_R32,32,25.00,25.58,0.615726,1.970237,1.0000,0.9304,,16,5.5,+0.000355
solo_L05_R32,32,25.00,25.58,0.615427,1.969280,1.0000,0.9248,,16,5.4,+0.000056
solo_L06_R32,32,25.00,25.58,0.615406,1.969214,1.0000,0.9396,,16,5.5,+0.000035
solo_L07_R32,32,25.00,25.58,0.615601,1.969839,1.0000,0.9463,,16,5.4,+0.000230
solo_L08_R32,32,25.00,25.58,0.615636,1.969949,1.0000,0.9432,,16,5.5,+0.000265
solo_L09_R32,32,25.00,25.58,0.615705,1.970171,1.0000,0.9270,,16,5.4,+0.000334
solo_L10_R32,32,25.00,25.58,0.615511,1.969549,1.0000,0.9145,,16,5.4,+0.000140
solo_L11_R32,32,25.00,25.58,0.615562,1.969714,1.0000,0.9141,,16,5.4,+0.000191
solo_L12_R32,32,25.00,25.58,0.615455,1.969371,1.0000,0.9153,,16,5.5,+0.000084
solo_L13_R32,32,25.00,25.58,0.615660,1.970027,1.0000,0.8965,,16,5.4,+0.000289
solo_L14_R32,32,25.00,25.58,0.615513,1.969557,1.0000,0.9132,,16,5.5,+0.000142
solo_L15_R32,32,25.00,25.58,0.615341,1.969005,1.0000,0.9158,,16,5.5,-0.000030
solo_L16_R32,32,25.00,25.58,0.615535,1.969627,1.0000,0.9056,,16,5.4,+0.000164
solo_L17_R32,32,25.00,25.58,0.615482,1.969457,1.0000,0.9120,,16,5.4,+0.000111
solo_L18_R32,32,25.00,25.58,0.615337,1.968993,0.9999,0.9442,,16,5.4,-0.000034
solo_L19_R32,32,25.00,25.58,0.615458,1.969379,1.0000,0.9463,,16,5.4,+0.000087
solo_L20_R32,32,25.00,25.58,0.615531,1.969612,1.0000,0.9418,,16,5.4,+0.000160
solo_L21_R32,32,25.00,25.58,0.615368,1.969091,1.0000,0.9259,,16,5.4,-0.000003
solo_L22_R32,32,25.00,25.58,0.615558,1.969700,1.0000,0.9197,,16,5.5,+0.000187
solo_L23_R32,32,25.00,25.58,0.615757,1.970336,1.0000,0.9162,,16,5.4,+0.000386
solo_L24_R32,32,25.00,25.58,0.615540,1.969642,1.0000,0.9115,,16,5.4,+0.000169
solo_L25_R32,32,25.00,25.58,0.615613,1.969876,1.0000,0.9006,,16,5.5,+0.000242
solo_L26_R32,32,25.00,25.58,0.615691,1.970124,1.0000,0.9162,,16,5.5,+0.000320
solo_L27_R32,32,25.00,25.58,0.615714,1.970201,1.0000,0.9158,,16,5.5,+0.000343
solo_L28_R32,32,25.00,25.58,0.615690,1.970121,1.0000,0.9030,,16,5.5,+0.000319
solo_L29_R32,32,25.00,25.58,0.615489,1.969481,1.0000,0.9174,,16,5.5,+0.000118
solo_L30_R32,32,25.00,25.58,0.615542,1.969649,1.0000,0.9438,,16,5.5,+0.000171
solo_L31_R32,32,25.00,25.58,0.615554,1.969686,1.0000,0.9447,,16,5.5,+0.000183
solo_L32_R32,32,25.00,25.58,0.615721,1.970223,1.0000,0.9394,,16,5.5,+0.000350
solo_L33_R32,32,25.00,25.58,0.615689,1.970120,0.9999,0.9198,,16,5.5,+0.000318
solo_L34_R32,32,25.00,25.58,0.615846,1.970621,1.0000,0.9135,,16,5.5,+0.000475
solo_L35_R32,32,25.00,25.58,0.615903,1.970804,1.0000,0.9054,,16,5.5,+0.000532
solo_L36_R32,32,25.00,25.58,0.616091,1.971407,1.0000,0.9081,,16,5.5,+0.000720
solo_L37_R32,32,25.00,25.58,0.616612,1.973074,1.0000,0.8950,,16,5.5,+0.001241
