model,nomination_protocol,eviction_kernel,set_coverage,ci_lo,ci_hi,swap_rate,eff_experts,union,max_residency
"8M active, coarse (6 of 64 experts)",selfnom,"two-scale EMA, fast 0.5 + 4*slow 0.03125",0.4285,0.4018,0.4901,1.0000,17.38,40,0.9087
"15M active, coarse (6 of 64 experts)",trace,"min_logit (shipped, logged)",0.4528,0.4262,0.4878,1.0000,27.06,44,0.1522
"15M active, coarse (6 of 64 experts)",trace,lru = FIFO (box on admissions),0.2405,0.2108,0.2626,0.9178,34.15,44,0.4612
"15M active, coarse (6 of 64 experts)",trace,LRD (refresh on demand),0.4163,0.3927,0.4391,0.9361,28.92,44,0.9132
"15M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=1",0.2839,0.2314,0.3326,0.9224,35.13,44,0.4201
"15M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=2",0.4011,0.3813,0.4285,0.9452,29.69,44,0.9132
"15M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=4",0.4056,0.3805,0.4307,0.9452,29.08,44,0.9132
"15M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=8",0.4155,0.3973,0.4353,0.8950,26.13,44,0.9132
"15M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=16",0.3219,0.2755,0.3546,0.8493,26.17,44,0.7169
"15M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=32",0.2907,0.2481,0.3090,0.8311,21.65,44,0.8037
"15M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=64",0.2755,0.2390,0.2922,0.8219,17.54,44,0.9178
"15M active, coarse (6 of 64 experts)",trace,"EMA demand, gamma=0.5 (tau~2 tok)",0.4247,0.4003,0.4490,0.9406,28.33,44,0.9132
"15M active, coarse (6 of 64 experts)",trace,"EMA demand, gamma=0.25 (tau~4 tok)",0.4300,0.4079,0.4559,0.9132,26.02,44,0.9132
"15M active, coarse (6 of 64 experts)",trace,"EMA demand, gamma=0.125 (tau~8 tok)",0.4368,0.4178,0.4536,0.8950,23.60,44,0.9132
"15M active, coarse (6 of 64 experts)",trace,"EMA demand, gamma=0.0625 (tau~16 tok)",0.4460,0.4110,0.4802,0.8676,19.24,44,0.9132
"15M active, coarse (6 of 64 experts)",trace,"EMA demand, gamma=0.03125 (tau~32 tok)",0.4201,0.3935,0.4399,0.8493,17.92,44,0.9132
"15M active, coarse (6 of 64 experts)",trace,"two-scale EMA, fast 0.5 + 0.5*slow 0.03125",0.4300,0.4056,0.4521,0.9224,25.54,44,0.9132
"15M active, coarse (6 of 64 experts)",trace,"two-scale EMA, fast 0.5 + 1*slow 0.03125",0.4201,0.3965,0.4452,0.9178,24.81,44,0.9132
"15M active, coarse (6 of 64 experts)",trace,"two-scale EMA, fast 0.5 + 2*slow 0.03125",0.4330,0.4041,0.4604,0.8904,23.01,44,0.9132
"15M active, coarse (6 of 64 experts)",trace,"two-scale EMA, fast 0.5 + 4*slow 0.03125",0.4300,0.4079,0.4498,0.8858,20.77,44,0.9132
"15M active, coarse (6 of 64 experts)",trace,Belady (oracle eviction),0.5053,0.4893,0.5259,0.8311,26.71,44,0.9132
"15M active, coarse (6 of 64 experts)",selfnom,lru = FIFO (box on admissions),0.3820,0.3615,0.4110,1.0000,27.98,41,0.7854
"15M active, coarse (6 of 64 experts)",selfnom,LRD (refresh on demand),0.4338,0.4117,0.4635,1.0000,26.07,42,0.9132
"15M active, coarse (6 of 64 experts)",selfnom,"box-W demand count, W=1",0.4155,0.3927,0.4452,1.0000,27.02,42,0.9087
"15M active, coarse (6 of 64 experts)",selfnom,"box-W demand count, W=2",0.4224,0.4003,0.4536,1.0000,26.33,41,0.9132
"15M active, coarse (6 of 64 experts)",selfnom,"box-W demand count, W=4",0.4277,0.4049,0.4619,1.0000,25.10,43,0.9132
