# Per-point final losses for the Phase-0 1e16/1e17 isoFLOP program (FINDINGS.md sections 2-6).
# ce_test_final/bpb_test_final = Megatron's END-OF-TRAINING TEST-SET eval ('validation loss at iter N on test set' line),
#   as captured by parse_run.py into results/phase0/log.md (temporal-moe-impl@66f786b7) - its 'final_val' field name is a
#   misnomer: the regex matches all three end lines and keeps the last (= test). Verified against raw train.log on the a6000.
# published_bpb = value in FINDINGS.md/plot_g3_curves.py. Where it differs (~+0.004 CE, 8 rows) it is the DURING-TRAINING
#   val eval (20-batch subsample, occasionally at a pre-final iteration). BPB = CE/2.7568 (16k-BPE).
run,method,grain,n_shared_or_const,evict,shape,N_active_M,budget,seed,ce_test_final,bpb_test_final,bpb_divisor,published_bpb,source,note
tmoe_minlogit_sh1_s1_1e16,temporal,1,1,min_logit,s1,3.812,1e16,1234,4.2657,1.5473,2.7568,1.5488,log.md (temporal-moe-impl@66f786b7),"published value = during-training val eval (20-batch subsample, sometimes pre-final iter); this row's ce/bpb = end-of-training test-set eval (verified in train.log)"
tmoe_minlogit_sh1_s2_1e16,temporal,1,1,min_logit,s2,8.115,1e16,1234,5.0307,1.8248,2.7568,1.826,log.md (temporal-moe-impl@66f786b7),"published value = during-training val eval (20-batch subsample, sometimes pre-final iter); this row's ce/bpb = end-of-training test-set eval (verified in train.log)"
tmoe_minlogit_sh1_s1_1e17,temporal,1,1,min_logit,s1,3.812,1e17,1234,3.5912,1.3027,2.7568,1.3039,log.md (temporal-moe-impl@66f786b7),"published value = during-training val eval (20-batch subsample, sometimes pre-final iter); this row's ce/bpb = end-of-training test-set eval (verified in train.log)"
tmoe_minlogit_sh1_s3_1e17,temporal,1,1,min_logit,s3,14.774,1e17,1234,3.6006,1.3061,2.7568,1.3073,log.md (temporal-moe-impl@66f786b7),"published value = during-training val eval (20-batch subsample, sometimes pre-final iter); this row's ce/bpb = end-of-training test-set eval (verified in train.log)"
tmoe_minlogit_sh2_s2_1e17,temporal,1,2,min_logit,s2,8.115,1e17,1234,3.5539,1.2891,2.7568,,log.md (temporal-moe-impl@66f786b7),2-shared K=5 spot-check (doc quotes 1.2903)
tmoe_minlogit_sh1_s2_1e17,temporal,1,1,min_logit,s2,8.115,1e17,1234,,,2.7568,1.2821,TEMPORAL_RESULTS/plot_g3_curves.py,"run-log SUMMARY stale (evals=0) and run dir since removed from pod disk; published 1.2821 unverifiable against train.log, comms-era called it test BPB (ckpt iter_0003917)"
g3_moe_sm1_1e16,moe,3,1,,sm1,0.81,1e16,1234,,,2.7600,1.4786,G3_RESULTS/plot_g3_curves.py,run dir on pod; no run-log CE in git
g3_tmoe_sm1_1e16,temporal,3,1,min_logit,sm1,0.81,1e16,1234,,,2.7600,1.4976,G3_RESULTS/plot_g3_curves.py,run dir on pod; no run-log CE in git
g3_moe_s0_1e16,moe,3,1,,s0,1.42,1e16,1234,,,2.7600,1.4585,G3_RESULTS/plot_g3_curves.py,run dir on pod; no run-log CE in git
g3_tmoe_s0_1e16,temporal,3,1,min_logit,s0,1.42,1e16,1234,,,2.7600,1.4753,G3_RESULTS/plot_g3_curves.py,run dir on pod; no run-log CE in git
g3_moe_s1_1e16,moe,3,1,,s1,3.91,1e16,1234,,,2.7600,1.5352,G3_RESULTS/plot_g3_curves.py,run dir on pod; no run-log CE in git
g3_tmoe_s1_1e16,temporal,3,1,min_logit,s1,3.91,1e16,1234,,,2.7600,1.5861,G3_RESULTS/plot_g3_curves.py,run dir on pod; no run-log CE in git
g3_moe_s1_1e17,moe,3,1,,s1,3.91,1e17,1234,,,2.7600,1.2846,G3_RESULTS/plot_g3_curves.py,run dir on pod; no run-log CE in git
g3_tmoe_s1_1e17,temporal,3,1,min_logit,s1,3.91,1e17,1234,,,2.7600,1.3065,G3_RESULTS/plot_g3_curves.py,run dir on pod; no run-log CE in git
g3_moe_s2_1e17,moe,3,1,,s2,8.23,1e17,1234,,,2.7600,1.2708,G3_RESULTS/plot_g3_curves.py,run dir on pod; no run-log CE in git
g3_tmoe_s2_1e17,temporal,3,1,min_logit,s2,8.23,1e17,1234,3.553032,1.2873,2.7600,1.2873,h100 train.log (0212 disk query),"h100-verified: published 1.2873 IS the end-of-run test eval (3.553032/2.7600); during-val 3.555812, full-val 3.555590"
g3_moe_s3_1e17,moe,3,1,,s3,15.09,1e17,1234,,,2.7600,1.2815,G3_RESULTS/plot_g3_curves.py,run dir on pod; no run-log CE in git
g3_tmoe_s3_1e17,temporal,3,1,min_logit,s3,15.09,1e17,1234,,,2.7600,1.3129,G3_RESULTS/plot_g3_curves.py,run dir on pod; no run-log CE in git
