run,tau,beta,swaprate,setcov,masscov,s_max_budget
tmoe_minlogit_sh1_s2_1e17,0.0,1.0,0.9978199804592087,0.3819654583930969,0.42062586545944214,0.15625
tmoe_minlogit_sh1_s2_1e17,1.0,1.0,0.8192537860283341,0.37680548429489136,0.4156714081764221,0.15625
tmoe_minlogit_sh1_s2_1e17,2.0,1.0,0.404457743038593,0.3285672068595886,0.3659540116786957,0.15625
tmoe_minlogit_sh1_s2_1e17,4.0,1.0,0.04306912554958476,0.18026480078697205,0.2024346888065338,0.15625
tmoe_minlogit_sh1_s2_1e17,0.0,0.5,0.97404738641915,0.3862023949623108,0.41822630167007446,0.15625
tmoe_minlogit_sh1_s2_1e17,1.0,0.5,0.42078651685393254,0.35164976119995117,0.38103118538856506,0.15625
tmoe_minlogit_sh1_s2_1e17,2.0,0.5,0.10530043966780653,0.27713117003440857,0.30124691128730774,0.15625
tmoe_minlogit_sh1_s2_1e17,4.0,0.5,0.003053248656570591,0.12965212762355804,0.14193010330200195,0.15625
tmoe_minlogit_sh1_s2_1e17,0.0,0.25,0.8651563263312164,0.3786424994468689,0.40048590302467346,0.15625
tmoe_minlogit_sh1_s2_1e17,1.0,0.25,0.14261113825109917,0.3139594495296478,0.3295617699623108,0.15625
tmoe_minlogit_sh1_s2_1e17,2.0,0.25,0.018533219345383486,0.2349434196949005,0.24986854195594788,0.15625
tmoe_minlogit_sh1_s2_1e17,4.0,0.25,0.0004213483146067416,0.10733695328235626,0.11426039785146713,0.15625
tmoe_minlogit_sh1_s2_1e17,0.0,0.1,0.5647166585246703,0.355384886264801,0.3649980127811432,0.15625
tmoe_minlogit_sh1_s2_1e17,1.0,0.1,0.023235222276502196,0.2773866057395935,0.2825869917869568,0.15625
tmoe_minlogit_sh1_s2_1e17,2.0,0.1,0.0034318514899853445,0.19145803153514862,0.20434021949768066,0.15625
tmoe_minlogit_sh1_s2_1e17,4.0,0.1,6.717147044455301e-05,0.09956949204206467,0.1046471819281578,0.15625
g3_tmoe_s1_1e17,0.0,1.0,1.0,0.3474588990211487,0.3910813629627228,0.53125
g3_tmoe_s1_1e17,1.0,1.0,0.9905807278944798,0.34736981987953186,0.3909594416618347,0.53125
g3_tmoe_s1_1e17,2.0,1.0,0.8443301172447485,0.33819395303726196,0.3824042081832886,0.53125
g3_tmoe_s1_1e17,4.0,1.0,0.2855779799706888,0.24540318548679352,0.2893771529197693,0.53125
g3_tmoe_s1_1e17,0.0,0.5,0.9999313019052272,0.36626729369163513,0.39573177695274353,0.53125
g3_tmoe_s1_1e17,1.0,0.5,0.8395670493404983,0.36183714866638184,0.3910732567310333,0.53125
g3_tmoe_s1_1e17,2.0,0.5,0.3910753541768442,0.32316476106643677,0.35180580615997314,0.53125
g3_tmoe_s1_1e17,4.0,0.5,0.031120236932095747,0.1685495227575302,0.19896364212036133,0.53125
g3_tmoe_s1_1e17,0.0,0.25,0.997045981924768,0.367388516664505,0.3823971450328827,0.53125
g3_tmoe_s1_1e17,1.0,0.25,0.41454720322423055,0.3463728427886963,0.35925528407096863,0.53125
g3_tmoe_s1_1e17,2.0,0.25,0.09623839765510503,0.28819403052330017,0.30514734983444214,0.53125
g3_tmoe_s1_1e17,4.0,0.25,0.004190583781143136,0.1331581175327301,0.15529802441596985,0.53125
g3_tmoe_s1_1e17,0.0,0.1,0.9170050683927699,0.3642157018184662,0.36560970544815063,0.53125
g3_tmoe_s1_1e17,1.0,0.1,0.08721604787493895,0.3180365562438965,0.31827786564826965,0.53125
g3_tmoe_s1_1e17,2.0,0.1,0.0164035784074255,0.23642151057720184,0.25330135226249695,0.53125
g3_tmoe_s1_1e17,4.0,0.1,0.001038104543234001,0.11168784648180008,0.13010667264461517,0.53125
flame38m_temporal_minlogit,0.0,1.0,0.9993664509037616,0.3042409420013428,0.3435926139354706,0.15625
flame38m_temporal_minlogit,1.0,1.0,0.9384159745969711,0.3041023015975952,0.3440326154232025,0.15625
flame38m_temporal_minlogit,2.0,1.0,0.6231756839276992,0.2851174473762512,0.3296346664428711,0.15625
flame38m_temporal_minlogit,4.0,1.0,0.09191041768441621,0.19904763996601105,0.2368585616350174,0.15625
flame38m_temporal_minlogit,0.0,0.5,0.9897258182706399,0.30897223949432373,0.34409135580062866,0.15625
flame38m_temporal_minlogit,1.0,0.5,0.5924523693209576,0.2952720522880554,0.33303946256637573,0.15625
flame38m_temporal_minlogit,2.0,0.5,0.178050195407914,0.2450740933418274,0.2829691767692566,0.15625
flame38m_temporal_minlogit,4.0,0.5,0.006335490962383976,0.1538430154323578,0.17179913818836212,0.15625
flame38m_temporal_minlogit,0.0,0.25,0.9306149242794333,0.3056594729423523,0.33494946360588074,0.15625
flame38m_temporal_minlogit,1.0,0.25,0.21962017586712262,0.264787882566452,0.2941517233848572,0.15625
flame38m_temporal_minlogit,2.0,0.25,0.03608176599902296,0.21059782803058624,0.2368449568748474,0.15625
flame38m_temporal_minlogit,4.0,0.25,0.0005572178798241329,0.13012054562568665,0.13768811523914337,0.15625
flame38m_temporal_minlogit,0.0,0.1,0.6915302882266732,0.2932950556278229,0.31502604484558105,0.15625
flame38m_temporal_minlogit,1.0,0.1,0.042287493893502684,0.2330608367919922,0.25292325019836426,0.15625
flame38m_temporal_minlogit,2.0,0.1,0.0042363825109916955,0.1721574366092682,0.18777111172676086,0.15625
flame38m_temporal_minlogit,4.0,0.1,5.343185148998534e-05,0.11809457838535309,0.11995196342468262,0.15625
