run,regime,budget,layer,feature,window,null,preserves,median_AUC,excess_over_chance,n_experts,label_autocorr_lag1
g3_tmoe_s2_1e17,temporal,1e17,2,context,32,seq-roll,document + near-position,0.6691,0.1691,24,-0.002
g3_tmoe_s2_1e17,temporal,1e17,2,context,32,perm-b,position only,0.4894,-0.0106,24,-0.002
g3_tmoe_s2_1e17,temporal,1e17,2,context,32,perm-t,document only,0.5108,0.0108,24,-0.002
g3_tmoe_s2_1e17,temporal,1e17,2,context,32,iid,nothing,0.5015,0.0015,24,-0.002
g3_tmoe_s2_1e17,temporal,1e17,2,context,32,synth,autocorrelation only,0.5007,0.0007,24,-0.002
g3_tmoe_s3_1e17,temporal,1e17,2,token,0,real,nothing destroyed (the measurement),0.5605,0.0605,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,token,0,flat-roll,partial document + position,0.4987,-0.0013,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,token,0,seq-roll,document + near-position,0.5239,0.0239,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,token,0,perm-b,position only,0.5005,0.0005,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,token,0,perm-t,document only,0.5045,0.0045,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,token,0,iid,nothing,0.4993,-0.0007,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,token,0,synth,autocorrelation only,0.5005,0.0005,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,context,18,real,nothing destroyed (the measurement),0.6525,0.1525,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,context,18,flat-roll,partial document + position,0.4996,-0.0004,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,context,18,seq-roll,document + near-position,0.5648,0.0648,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,context,18,perm-b,position only,0.502,0.002,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,context,18,perm-t,document only,0.5178,0.0178,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,context,18,iid,nothing,0.4999,-0.0001,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,context,18,synth,autocorrelation only,0.4971,-0.0029,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,context,32,real,nothing destroyed (the measurement),0.6598,0.1598,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,context,32,flat-roll,partial document + position,0.4994,-0.0006,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,context,32,seq-roll,document + near-position,0.6237,0.1237,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,context,32,perm-b,position only,0.4984,-0.0016,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,context,32,perm-t,document only,0.5203,0.0203,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,context,32,iid,nothing,0.4991,-0.0009,24,-0.006
g3_tmoe_s3_1e17,temporal,1e17,2,context,32,synth,autocorrelation only,0.5006,0.0006,24,-0.006
g3_tmoe_sm1_1e16,temporal,1e16,2,token,0,real,nothing destroyed (the measurement),0.6112,0.1112,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,token,0,flat-roll,partial document + position,0.5008,0.0008,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,token,0,seq-roll,document + near-position,0.5474,0.0474,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,token,0,perm-b,position only,0.4985,-0.0015,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,token,0,perm-t,document only,0.5172,0.0172,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,token,0,iid,nothing,0.4995,-0.0005,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,token,0,synth,autocorrelation only,0.4984,-0.0016,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,context,18,real,nothing destroyed (the measurement),0.734,0.234,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,context,18,flat-roll,partial document + position,0.499,-0.001,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,context,18,seq-roll,document + near-position,0.6701,0.1701,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,context,18,perm-b,position only,0.502,0.002,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,context,18,perm-t,document only,0.5492,0.0492,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,context,18,iid,nothing,0.5001,0.0001,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,context,18,synth,autocorrelation only,0.4999,-0.0001,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,context,32,real,nothing destroyed (the measurement),0.7319,0.2319,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,context,32,flat-roll,partial document + position,0.5001,0.0001,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,context,32,seq-roll,document + near-position,0.7042,0.2042,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,context,32,perm-b,position only,0.5061,0.0061,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,context,32,perm-t,document only,0.5574,0.0574,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,context,32,iid,nothing,0.499,-0.001,24,-0.0026
g3_tmoe_sm1_1e16,temporal,1e16,2,context,32,synth,autocorrelation only,0.4995,-0.0005,24,-0.0026
moe_coarse_1e19,full,1e19,2,token,0,real,nothing destroyed (the measurement),0.8493,0.3493,24,0.0027
moe_coarse_1e19,full,1e19,2,token,0,flat-roll,partial document + position,0.5004,0.0004,24,0.0027
moe_coarse_1e19,full,1e19,2,token,0,seq-roll,document + near-position,0.5006,0.0006,24,0.0027
moe_coarse_1e19,full,1e19,2,token,0,perm-b,position only,0.5015,0.0015,24,0.0027
moe_coarse_1e19,full,1e19,2,token,0,perm-t,document only,0.4993,-0.0007,24,0.0027
moe_coarse_1e19,full,1e19,2,token,0,iid,nothing,0.5001,0.0001,24,0.0027
moe_coarse_1e19,full,1e19,2,token,0,synth,autocorrelation only,0.4986,-0.0014,24,0.0027
moe_coarse_1e19,full,1e19,2,context,6,real,nothing destroyed (the measurement),0.5512,0.0512,24,0.0027
moe_coarse_1e19,full,1e19,2,context,6,flat-roll,partial document + position,0.4984,-0.0016,24,0.0027
moe_coarse_1e19,full,1e19,2,context,6,seq-roll,document + near-position,0.507,0.007,24,0.0027
moe_coarse_1e19,full,1e19,2,context,6,perm-b,position only,0.4993,-0.0007,24,0.0027
moe_coarse_1e19,full,1e19,2,context,6,perm-t,document only,0.5002,0.0002,24,0.0027
moe_coarse_1e19,full,1e19,2,context,6,iid,nothing,0.5019,0.0019,24,0.0027
moe_coarse_1e19,full,1e19,2,context,6,synth,autocorrelation only,0.5008,0.0008,24,0.0027
moe_coarse_1e19,full,1e19,2,context,32,real,nothing destroyed (the measurement),0.5255,0.0255,24,0.0027
moe_coarse_1e19,full,1e19,2,context,32,flat-roll,partial document + position,0.5001,0.0001,24,0.0027
moe_coarse_1e19,full,1e19,2,context,32,seq-roll,document + near-position,0.547,0.047,24,0.0027
moe_coarse_1e19,full,1e19,2,context,32,perm-b,position only,0.4983,-0.0017,24,0.0027
moe_coarse_1e19,full,1e19,2,context,32,perm-t,document only,0.502,0.002,24,0.0027
moe_coarse_1e19,full,1e19,2,context,32,iid,nothing,0.4995,-0.0005,24,0.0027
moe_coarse_1e19,full,1e19,2,context,32,synth,autocorrelation only,0.4996,-0.0004,24,0.0027
temporal_fine_g3_1e19,temporal,1e19,2,token,0,real,nothing destroyed (the measurement),0.5491,0.0491,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,token,0,flat-roll,partial document + position,0.5,-0.0,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,token,0,seq-roll,document + near-position,0.5035,0.0035,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,token,0,perm-b,position only,0.5012,0.0012,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,token,0,perm-t,document only,0.4994,-0.0006,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,token,0,iid,nothing,0.4995,-0.0005,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,token,0,synth,autocorrelation only,0.4997,-0.0003,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,context,18,real,nothing destroyed (the measurement),0.6071,0.1071,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,context,18,flat-roll,partial document + position,0.4992,-0.0008,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,context,18,seq-roll,document + near-position,0.5276,0.0276,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,context,18,perm-b,position only,0.508,0.008,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,context,18,perm-t,document only,0.5024,0.0024,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,context,18,iid,nothing,0.5002,0.0002,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,context,18,synth,autocorrelation only,0.4989,-0.0011,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,context,32,real,nothing destroyed (the measurement),0.597,0.097,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,context,32,flat-roll,partial document + position,0.4984,-0.0016,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,context,32,seq-roll,document + near-position,0.582,0.082,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,context,32,perm-b,position only,0.5128,0.0128,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,context,32,perm-t,document only,0.5012,0.0012,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,context,32,iid,nothing,0.4993,-0.0007,24,-0.0012
temporal_fine_g3_1e19,temporal,1e19,2,context,32,synth,autocorrelation only,0.5001,0.0001,24,-0.0012
