cell,run,val_ce,test_ce,a3_mass_pct,set_cov_pct,union,union_frac_pct,eff_experts,max_residency_pct,pinned_per_layer,num_experts,topk,val_ce_bpb,test_ce_bpb
temporal_coarse@1e19,g1_tmoe_coarse_1e19,3.180622,,31.92,28.33,63.91,99.86,62.48,19.95,0.00,64,6,1.0680,
temporal_fine_g3@1e19,temporal_fine_g3_1e19,,3.173160,28.11,23.54,184.17,95.92,183.00,25.45,0.00,192,18,,1.0655
