group,name,metric,value,note
trained_cell,ce_ple_512,final_swap_rate,0.999723,
trained_cell,ce_ple_512,final_usage_entropy,0.998522,
trained_cell,ce_ple_512,bpb_curve,10M:0.865135|20M:0.847575|30M:0.841084|40M:0.836860|50M:0.833799,
trained_cell,ce_ple_512,train_bpb_curve,10M:0.989003|20M:0.887934|30M:0.871060|40M:0.865031|50M:0.864196,
trained_cell,ladder_full,final_bpb,0.858867,"Phase 1 rank ladder, zero-init PLE"
trained_cell,ladder_full,recovery_pct,91.04,"Phase 1 rank ladder, zero-init PLE"
trained_cell,ladder_full,train_tokens,50003968,
trained_cell,ladder_full,rank,full,
trained_cell,ladder_full,lora_r,0,
trained_cell,ladder_full,free_set,,
trained_cell,ladder_full,ple_params,1648361488,
trained_cell,ladder_full,mb_x_accum,4x4,
trained_cell,ladder_full,table_wd,0.0,
trained_cell,ladder_full,calib_init,False,
trained_cell,ladder_full,ple_start_tokens,0,
trained_cell,ladder_full,final_swap_rate,0.999728,
trained_cell,ladder_full,final_usage_entropy,0.998432,
trained_cell,ladder_full,bpb_curve,10M:0.914016|20M:0.884746|30M:0.872327|40M:0.865310|50M:0.858867,
trained_cell,ladder_r128,final_bpb,0.854388,"Phase 1 rank ladder, zero-init PLE"
trained_cell,ladder_r128,recovery_pct,91.26,"Phase 1 rank ladder, zero-init PLE"
trained_cell,ladder_r128,train_tokens,50003968,
trained_cell,ladder_r128,rank,128,
trained_cell,ladder_r128,lora_r,0,
trained_cell,ladder_r128,free_set,,
trained_cell,ladder_r128,ple_params,10633232,
trained_cell,ladder_r128,mb_x_accum,16x1,
trained_cell,ladder_r128,table_wd,0.0,
trained_cell,ladder_r128,calib_init,False,
trained_cell,ladder_r128,ple_start_tokens,0,
trained_cell,ladder_r128,final_swap_rate,0.999767,
trained_cell,ladder_r128,final_usage_entropy,0.998361,
trained_cell,ladder_r128,bpb_curve,10M:0.911643|20M:0.880207|30M:0.865968|40M:0.859990|50M:0.854388,
trained_cell,ladder_r128,train_bpb_curve,10M:1.158640|20M:0.927512|30M:0.901510|40M:0.891732|50M:0.888397,
trained_cell,ladder_r32,final_bpb,0.864538,"Phase 1 rank ladder, zero-init PLE"
trained_cell,ladder_r32,recovery_pct,90.77,"Phase 1 rank ladder, zero-init PLE"
trained_cell,ladder_r32,train_tokens,50003968,
trained_cell,ladder_r32,rank,32,
trained_cell,ladder_r32,lora_r,0,
trained_cell,ladder_r32,free_set,,
trained_cell,ladder_r32,ple_params,2658320,
trained_cell,ladder_r32,mb_x_accum,16x1,
trained_cell,ladder_r32,table_wd,0.0,
trained_cell,ladder_r32,calib_init,False,
trained_cell,ladder_r32,ple_start_tokens,0,
trained_cell,ladder_r32,final_swap_rate,0.999789,
trained_cell,ladder_r32,final_usage_entropy,0.997912,
trained_cell,ladder_r32,bpb_curve,10M:0.941262|20M:0.895522|30M:0.879195|40M:0.870500|50M:0.864538,
trained_cell,ladder_r32,train_bpb_curve,10M:1.237314|20M:0.951307|30M:0.916994|40M:0.904564|50M:0.900679,
trained_cell,ladder_r512,final_bpb,0.848854,"Phase 1 rank ladder, zero-init PLE"
trained_cell,ladder_r512,recovery_pct,91.52,"Phase 1 rank ladder, zero-init PLE"
trained_cell,ladder_r512,train_tokens,50003968,
trained_cell,ladder_r512,rank,512,
trained_cell,ladder_r512,lora_r,0,
trained_cell,ladder_r512,free_set,,
trained_cell,ladder_r512,ple_params,42532880,
trained_cell,ladder_r512,mb_x_accum,16x1,
trained_cell,ladder_r512,table_wd,0.0,
trained_cell,ladder_r512,calib_init,False,
trained_cell,ladder_r512,ple_start_tokens,0,
trained_cell,ladder_r512,final_swap_rate,0.999746,
trained_cell,ladder_r512,final_usage_entropy,0.998251,
trained_cell,ladder_r512,bpb_curve,10M:0.895900|20M:0.870204|30M:0.859641|40M:0.853399|50M:0.848854,
trained_cell,ladder_r512,train_bpb_curve,10M:1.095685|20M:0.916073|30M:0.893235|40M:0.884747|50M:0.882004,
trained_cell,seq_ple_512,final_bpb,0.843163,Phase 3 sequential: PLE introduced at 50M of 100M
trained_cell,seq_ple_512,recovery_pct,91.8,Phase 3 sequential: PLE introduced at 50M of 100M
trained_cell,seq_ple_512,train_tokens,100007936,
trained_cell,seq_ple_512,rank,512,
trained_cell,seq_ple_512,lora_r,0,
trained_cell,seq_ple_512,free_set,,
trained_cell,seq_ple_512,ple_params,42532880,
trained_cell,seq_ple_512,mb_x_accum,16x1,
trained_cell,seq_ple_512,table_wd,0.0,
trained_cell,seq_ple_512,calib_init,False,
trained_cell,seq_ple_512,ple_start_tokens,50000000,
trained_cell,seq_ple_512,final_swap_rate,0.999796,
trained_cell,seq_ple_512,final_usage_entropy,0.998359,
trained_cell,seq_ple_512,bpb_curve,10M:0.985355|20M:0.922313|30M:0.897830|40M:0.886032|50M:0.877859|60M:0.864519|70M:0.856386|80M:0.850499|90M:0.847099|100M:0.843163,
trained_cell,seq_ple_512,train_bpb_curve,10M:1.305084|20M:0.986447|30M:0.939970|40M:0.922987|50M:0.915179|60M:0.899199|70M:0.889185|80M:0.882810|90M:0.880876|100M:0.874195,
reference,base_free_routing,bpb,0.6727,unconstrained ceiling
reference,base_free_routing,recovery_pct,100.0,unconstrained ceiling
reference,impose_R8_untrained,bpb,2.7507,the gap being recovered
reference,impose_R8_untrained,recovery_pct,0.0,the gap being recovered
reference,A_router_only,bpb,1.2825,bake-off arm A
reference,A_router_only,recovery_pct,70.65,bake-off arm A
reference,C_router_norms_50M,bpb,0.8791,matched-budget comparator for 50M cells
reference,C_router_norms_50M,recovery_pct,90.07,matched-budget comparator for 50M cells
reference,C_router_norms_250M,bpb,0.8505,5x token-efficiency comparator
reference,C_router_norms_250M,recovery_pct,91.44,5x token-efficiency comparator
reference,CE_router_norms_lora_50M,bpb,0.8269,LoRA as the third mechanism
reference,CE_router_norms_lora_50M,recovery_pct,92.58,LoRA as the third mechanism
reference,Fprime_full_finetune_6.92B,bpb,0.8106,the constraint price
reference,Fprime_full_finetune_6.92B,recovery_pct,93.36,the constraint price
reference,two_sigma_bar,bpb,0.012,differences below this are noise (PLE_PLAN.md §3)
reference,divisor_D,value,3.1089070924799973,"ln2 x bytes_per_token, audited slice"
parity,A1,bpb,0.981639,"new trainer, PLE flag off"
parity,A1,swap,0.999672,"new trainer, PLE flag off"
