label,run,budget,regime,layer,expert,split,usage_count,oracle_token_AUC,mi_over_H,n_token_ids,frac_score_rows_backoff
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,39,sequence,12705,0.5994,0.1496,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,40,sequence,12367,0.6013,0.1598,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,41,sequence,12547,0.5953,0.1359,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,42,sequence,11059,0.5836,0.1562,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,43,sequence,11716,0.6064,0.1466,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,44,sequence,11474,0.6079,0.148,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,45,sequence,14065,0.6472,0.1862,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,46,sequence,12982,0.5947,0.1337,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,47,sequence,12218,0.6101,0.1425,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,48,sequence,13768,0.6199,0.133,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,49,sequence,12131,0.6168,0.1335,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,50,sequence,13054,0.6332,0.1563,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,51,sequence,10195,0.5903,0.1404,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,52,sequence,13002,0.6661,0.1629,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,53,sequence,12158,0.7745,0.3295,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,54,sequence,11246,0.5924,0.1515,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,55,sequence,12078,0.6588,0.2033,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,56,sequence,13318,0.6481,0.1599,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,57,sequence,13198,0.5796,0.1355,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,58,sequence,12279,0.6416,0.1727,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,59,sequence,12849,0.5896,0.1315,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,60,sequence,12931,0.6364,0.1507,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,61,sequence,12316,0.6466,0.1735,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,62,sequence,12574,0.575,0.1307,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,63,sequence,11684,0.6165,0.1621,15781,0.2628
