run,budget,regime,grain,policy,layer,set_coverage,mass_coverage
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=1),2,0.42543,0.55723
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=1),3,0.50474,0.69098
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=1),4,0.54614,0.69124
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=1),5,0.57051,0.69644
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=1),6,0.56004,0.67418
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=1),7,0.55871,0.68219
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=1),8,0.58589,0.70035
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=1),9,0.60195,0.71276
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=1),all,0.54418,0.67567
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=4),2,0.35872,0.48427
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=4),3,0.43622,0.60923
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=4),4,0.48024,0.61476
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=4),5,0.49812,0.61576
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=4),6,0.49247,0.59782
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=4),7,0.48470,0.60000
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=4),8,0.50509,0.60962
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=4),9,0.52107,0.62049
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=4),all,0.47208,0.59399
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=16),2,0.26619,0.30005
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=16),3,0.30359,0.35243
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=16),4,0.32950,0.37340
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=16),5,0.35355,0.39536
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=16),6,0.34483,0.38094
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=16),7,0.36061,0.40575
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=16),8,0.39442,0.43223
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=16),9,0.42308,0.47003
flame38m_g1_temporal,1e18,temporal,coarse 6/64,Belady+prefetch(h=16),all,0.34697,0.38877
flame38m_g3_temporal,1e18,temporal,fine 18/192,min_logit,2,0.18069,0.20290
flame38m_g3_temporal,1e18,temporal,fine 18/192,min_logit,3,0.22358,0.26322
flame38m_g3_temporal,1e18,temporal,fine 18/192,min_logit,4,0.26216,0.30778
flame38m_g3_temporal,1e18,temporal,fine 18/192,min_logit,5,0.26235,0.30264
flame38m_g3_temporal,1e18,temporal,fine 18/192,min_logit,6,0.26876,0.31421
flame38m_g3_temporal,1e18,temporal,fine 18/192,min_logit,7,0.30407,0.34854
flame38m_g3_temporal,1e18,temporal,fine 18/192,min_logit,8,0.31113,0.35040
flame38m_g3_temporal,1e18,temporal,fine 18/192,min_logit,9,0.36539,0.41658
flame38m_g3_temporal,1e18,temporal,fine 18/192,min_logit,all,0.27227,0.31328
flame38m_g3_temporal,1e18,temporal,fine 18/192,LRU,2,0.17213,0.20086
flame38m_g3_temporal,1e18,temporal,fine 18/192,LRU,3,0.20245,0.25957
flame38m_g3_temporal,1e18,temporal,fine 18/192,LRU,4,0.22379,0.28400
flame38m_g3_temporal,1e18,temporal,fine 18/192,LRU,5,0.21887,0.27413
flame38m_g3_temporal,1e18,temporal,fine 18/192,LRU,6,0.22747,0.28210
flame38m_g3_temporal,1e18,temporal,fine 18/192,LRU,7,0.24738,0.30382
flame38m_g3_temporal,1e18,temporal,fine 18/192,LRU,8,0.25004,0.30298
flame38m_g3_temporal,1e18,temporal,fine 18/192,LRU,9,0.29162,0.35628
flame38m_g3_temporal,1e18,temporal,fine 18/192,LRU,all,0.22922,0.28297
flame38m_g3_temporal,1e18,temporal,fine 18/192,min_logit+tau*(4.0),2,0.12625,0.14112
flame38m_g3_temporal,1e18,temporal,fine 18/192,min_logit+tau*(4.0),3,0.16272,0.21233
flame38m_g3_temporal,1e18,temporal,fine 18/192,min_logit+tau*(4.0),4,0.17123,0.21324
flame38m_g3_temporal,1e18,temporal,fine 18/192,min_logit+tau*(4.0),5,0.15868,0.19489
flame38m_g3_temporal,1e18,temporal,fine 18/192,min_logit+tau*(4.0),6,0.14674,0.17978
flame38m_g3_temporal,1e18,temporal,fine 18/192,min_logit+tau*(4.0),7,0.14877,0.18750
flame38m_g3_temporal,1e18,temporal,fine 18/192,min_logit+tau*(4.0),8,0.14683,0.17972
flame38m_g3_temporal,1e18,temporal,fine 18/192,min_logit+tau*(4.0),9,0.15592,0.19993
flame38m_g3_temporal,1e18,temporal,fine 18/192,min_logit+tau*(4.0),all,0.15214,0.18856
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.5),2,0.37643,0.39765
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.5),3,0.41489,0.46551
