tag,rank,train_tokens,occurrence_bucket,n_rows,mean_row_norm,mean_contrib_rms,max_row_norm,frac_rows_exactly_zero
ladder_full,full,50000000,0,1113,0.0,0.0,0.0,1.0
ladder_full,full,50000000,1,391,0.28232345,0.0012334216,0.33380821,0.0
ladder_full,full,50000000,2-9,2442,0.50604761,0.0022111256,0.82003516,0.004914
ladder_full,full,50000000,10-99,16536,0.928078,0.004057006,1.33969569,0.002782
ladder_full,full,50000000,100-999,24778,1.16074014,0.0050762384,1.5325762,0.003995
ladder_full,full,50000000,1000-9999,4550,1.23522925,0.00540624,1.70928288,0.000659
ladder_full,full,50000000,10000-99999,450,1.25731552,0.0055144704,2.51206326,0.0
ladder_full,full,50000000,100000+,44,1.44851124,0.0063829795,2.32688546,0.0
