# FLAME-MoE left-flank at 1e18 FLOPs (hidden-192 / L9 rung, ~26M active, 3068 iters, pythia-50k tokenizer, dclm val/test).
# Validation & held-out-test cross-entropy (nats, lower better). test_CE is primary (matches protocol across runs).
# BPB = test_CE / 2.9780 (pythia-50k bytes/token). PPL = exp(test_CE). GRAIN=1 (coarse 6/64) and GRAIN=3 (fine 18/192) are compute-preserving.
# Consolidated 5-cell panel: coarse cells (dense/g1_moe/g1_temporal) measured on a6000; fine cells (g3_moe/g3_temporal) on h100. Same 50k data/CE/WSD/seed-1234.
run,method,granularity,experts,topk,val_CE_nats,test_CE_nats,BPB_pythia50k,PPL,iters,box,note
flame192_dense,dense,-,-,-,4.1925,4.1907,1.4072,66.07,3068,a6000,dense floor
flame192_g1_moe,full_moe,coarse,64,6,3.9539,3.9523,1.3272,52.05,3068,a6000,coarse full MoE (6 of 64)
flame192_g1_temporal,temporal,coarse,64,6,3.9318,3.9303,1.3198,50.92,3068,a6000,coarse temporal (min_logit, R=k); beats coarse full-MoE by 0.022 nats
flame192_g3_moe,full_moe,fine,192,18,4.0404,4.0411,1.3570,56.89,3068,h100,fine full MoE (18 of 192)
flame192_g3_temporal,temporal,fine,192,18,3.9832,3.9843,1.3379,53.75,3068,h100,fine temporal (min_logit); beats fine full-MoE by 0.057 nats
