run,iteration,train_lm_loss,final_val_ce,seed
dense_1e19,10,1.011392E+01,,1234
dense_1e19,20,8.825540E+00,,1234
dense_1e19,30,7.702665E+00,,1234
dense_1e19,40,6.900508E+00,,1234
dense_1e19,50,6.491513E+00,,1234
dense_1e19,60,6.241483E+00,,1234
dense_1e19,70,6.097654E+00,,1234
dense_1e19,80,5.972062E+00,,1234
dense_1e19,90,5.845814E+00,,1234
dense_1e19,100,5.778673E+00,,1234
dense_1e19,110,5.701495E+00,,1234
dense_1e19,120,5.577063E+00,,1234
dense_1e19,130,5.537373E+00,,1234
dense_1e19,140,5.434997E+00,,1234
dense_1e19,150,5.371997E+00,,1234
dense_1e19,160,5.313574E+00,,1234
dense_1e19,170,5.231586E+00,,1234
dense_1e19,180,5.195072E+00,,1234
dense_1e19,190,5.136773E+00,,1234
dense_1e19,200,5.072224E+00,,1234
dense_1e19,210,5.031761E+00,,1234
dense_1e19,220,4.983957E+00,,1234
dense_1e19,230,4.933937E+00,,1234
dense_1e19,240,4.893758E+00,,1234
dense_1e19,250,4.858897E+00,,1234
dense_1e19,260,4.829404E+00,,1234
dense_1e19,270,4.812408E+00,,1234
dense_1e19,280,4.762414E+00,,1234
dense_1e19,290,4.719799E+00,,1234
dense_1e19,300,4.708849E+00,,1234
dense_1e19,310,4.677708E+00,,1234
dense_1e19,320,4.645006E+00,,1234
dense_1e19,330,4.620410E+00,,1234
dense_1e19,340,4.602043E+00,,1234
dense_1e19,350,4.576424E+00,,1234
dense_1e19,360,4.542575E+00,,1234
dense_1e19,370,4.539788E+00,,1234
dense_1e19,380,4.507235E+00,,1234
dense_1e19,390,4.482244E+00,,1234
dense_1e19,400,4.460783E+00,,1234
dense_1e19,410,4.449943E+00,,1234
dense_1e19,420,4.421892E+00,,1234
dense_1e19,430,4.411802E+00,,1234
dense_1e19,440,4.387936E+00,,1234
dense_1e19,450,4.367229E+00,,1234
dense_1e19,460,4.357583E+00,,1234
dense_1e19,470,4.341985E+00,,1234
dense_1e19,480,4.312838E+00,,1234
dense_1e19,490,4.295860E+00,,1234
dense_1e19,500,4.274760E+00,,1234
dense_1e19,510,4.257785E+00,,1234
dense_1e19,520,4.252389E+00,,1234
dense_1e19,530,4.258516E+00,,1234
dense_1e19,540,4.220569E+00,,1234
dense_1e19,550,4.198759E+00,,1234
dense_1e19,560,4.182628E+00,,1234
dense_1e19,570,4.192490E+00,,1234
dense_1e19,580,4.200743E+00,,1234
dense_1e19,590,4.179346E+00,,1234
dense_1e19,600,4.146783E+00,,1234
dense_1e19,610,4.125635E+00,,1234
dense_1e19,620,4.106095E+00,,1234
dense_1e19,630,4.118230E+00,,1234
dense_1e19,640,4.096301E+00,,1234
dense_1e19,650,4.081516E+00,,1234
dense_1e19,660,4.065340E+00,,1234
dense_1e19,670,4.061253E+00,,1234
dense_1e19,680,4.055227E+00,,1234
dense_1e19,690,4.043851E+00,,1234
dense_1e19,700,4.032080E+00,,1234
dense_1e19,710,4.026196E+00,,1234
dense_1e19,720,4.017321E+00,,1234
dense_1e19,730,4.011145E+00,,1234
dense_1e19,740,3.993880E+00,,1234
dense_1e19,750,3.989803E+00,,1234
dense_1e19,760,3.987524E+00,,1234
dense_1e19,770,3.979976E+00,,1234
dense_1e19,780,3.971957E+00,,1234
dense_1e19,790,3.962919E+00,,1234
dense_1e19,800,3.954729E+00,,1234
dense_1e19,810,3.938311E+00,,1234
dense_1e19,820,3.945417E+00,,1234
dense_1e19,830,3.958303E+00,,1234
dense_1e19,840,3.934483E+00,,1234
dense_1e19,850,3.920966E+00,,1234
dense_1e19,860,3.911340E+00,,1234
dense_1e19,870,3.915546E+00,,1234
dense_1e19,880,3.911012E+00,,1234
dense_1e19,890,3.904546E+00,,1234
dense_1e19,900,3.883668E+00,,1234
dense_1e19,910,3.880317E+00,,1234
dense_1e19,920,3.883162E+00,,1234
dense_1e19,930,3.876563E+00,,1234
dense_1e19,940,3.871506E+00,,1234
dense_1e19,950,3.862206E+00,,1234
dense_1e19,960,3.853098E+00,,1234
dense_1e19,970,3.849814E+00,,1234
dense_1e19,980,3.845792E+00,,1234
dense_1e19,990,3.838499E+00,,1234
dense_1e19,1000,3.835639E+00,,1234
dense_1e19,1010,3.835409E+00,,1234
dense_1e19,1020,3.829371E+00,,1234
dense_1e19,1030,3.833437E+00,,1234
dense_1e19,1040,3.824713E+00,,1234
dense_1e19,1050,3.813618E+00,,1234
dense_1e19,1060,3.808250E+00,,1234
dense_1e19,1070,3.794761E+00,,1234
dense_1e19,1080,3.800355E+00,,1234
dense_1e19,1090,3.796166E+00,,1234
dense_1e19,1100,3.799605E+00,,1234
