run,budget,regime,grain,batch,window_tokens,hit_after_eod,hit_within_doc,frac_tokens_after,deficit
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,16k,64,0.30872,0.33054,0.05520,0.02181
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,16k,4,0.25906,0.37997,0.00348,0.12090
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,16k,16,0.31145,0.38051,0.01392,0.06905
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,16k,64,0.35986,0.38070,0.05520,0.02084
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,16k,4,0.27741,0.39927,0.00348,0.12186
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,16k,16,0.33615,0.39973,0.01392,0.06358
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,16k,64,0.37680,0.40013,0.05520,0.02334
moe_coarse_1e19,1e19,full,coarse 6/64,50k,4,0.22115,0.16823,0.00220,-0.05293
moe_coarse_1e19,1e19,full,coarse 6/64,50k,16,0.21795,0.16790,0.00879,-0.05005
moe_coarse_1e19,1e19,full,coarse 6/64,50k,64,0.20700,0.16693,0.03517,-0.04007
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,50k,4,0.18970,0.23548,0.00220,0.04579
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,50k,16,0.23308,0.23540,0.00879,0.00232
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,50k,64,0.25875,0.23453,0.03517,-0.02422
