label,run,budget,regime,layer,expert,variant,n_tokens,eff_vocab,dispersion
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,28,static,12354,30730.0,0.9545
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,29,weighted,12393,11193.2,0.8612
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,29,static,12393,18957.0,0.9099
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,30,weighted,12308,12086.8,0.8683
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,30,static,12308,23892.3,0.9312
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,31,weighted,12676,7504.9,0.8243
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,31,static,12676,30335.6,0.9533
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,32,weighted,11143,6724.5,0.8141
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,32,static,11143,25872.4,0.9386
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,33,weighted,11679,8981.9,0.8409
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,33,static,11679,24034.4,0.9318
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,34,weighted,11695,3447.8,0.7524
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,34,static,11695,21422.9,0.9211
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,35,weighted,12093,8913.5,0.8401
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,35,static,12093,23963.5,0.9315
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,36,weighted,12954,5195.5,0.7903
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,36,static,12954,19920.5,0.9144
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,37,weighted,12401,5718.2,0.7991
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,37,static,12401,30570.1,0.954
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,38,weighted,12390,1042.1,0.6419
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,38,static,12390,25751.4,0.9381
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,39,weighted,11498,7800.1,0.8278
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,39,static,11498,21260.9,0.9204
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,40,weighted,12812,12362.6,0.8704
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,40,static,12812,31228.7,0.956
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,41,weighted,12352,6923.5,0.8168
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,41,static,12352,34614.6,0.9655
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,42,weighted,11292,7740.4,0.8271
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,42,static,11292,18831.3,0.9092
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,43,weighted,11721,13699.9,0.8799
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,43,static,11721,23408.2,0.9293
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,44,weighted,13027,10518.3,0.8554
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,44,static,13027,23291.3,0.9289
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,45,weighted,12856,9340.2,0.8445
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,45,static,12856,30175.1,0.9528
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,46,weighted,11834,3786.5,0.7611
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,46,static,11834,20969.0,0.9192
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,47,weighted,12779,11764.9,0.8658
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,47,static,12779,31493.6,0.9567
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,48,weighted,12640,16311.4,0.896
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,48,static,12640,28577.1,0.9478
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,49,weighted,12725,6439.9,0.8101
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,49,static,12725,24441.5,0.9333
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,50,weighted,11740,2230.9,0.7122
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,50,static,11740,24855.3,0.9349
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,51,weighted,11297,5285.2,0.7919
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,51,static,11297,25323.7,0.9366
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,52,weighted,12225,14439.4,0.8847
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,52,static,12225,17247.8,0.9011
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,53,weighted,11164,11275.8,0.8619
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,53,static,11164,27969.2,0.9458
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,54,weighted,11971,8957.8,0.8406
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,54,static,11971,26875.7,0.9421
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,55,weighted,12731,8509.4,0.8359
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,55,static,12731,29168.2,0.9497
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,56,weighted,11946,7328.1,0.8221
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,56,static,11946,11925.4,0.867
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,57,weighted,11697,12795.3,0.8735
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,57,static,11697,15502.4,0.8913
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,58,weighted,12634,6221.3,0.8069
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,58,static,12634,18593.8,0.9081
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,59,weighted,14030,5402.5,0.7939
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,59,static,14030,27126.2,0.943
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,60,weighted,11030,10652.8,0.8566
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,60,static,11030,24409.8,0.9332
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,61,weighted,12703,2644.9,0.7279
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,61,static,12703,25497.0,0.9372
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,62,weighted,11688,6537.8,0.8115
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,62,static,11688,18258.5,0.9064
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,63,weighted,12940,1983.5,0.7013
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,63,static,12940,25743.8,0.9381
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,0,weighted,11748,6949.3,0.8172
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,0,static,11748,26569.7,0.941
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,1,weighted,13156,1698.4,0.687
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,1,static,13156,25600.8,0.9376
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,2,weighted,13519,6305.1,0.8082
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,2,static,13519,28892.7,0.9488
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,3,weighted,11811,2456.4,0.7211
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,3,static,11811,27969.0,0.9458
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,4,weighted,11165,8915.1,0.8402
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,4,static,11165,20807.5,0.9185
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,5,weighted,10919,14051.6,0.8822
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,5,static,10919,20602.0,0.9175
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,6,weighted,12474,12413.1,0.8707
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,6,static,12474,27583.0,0.9445
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,7,weighted,12222,9292.3,0.844
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,7,static,12222,23785.9,0.9308
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,8,weighted,12118,11542.3,0.864
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,8,static,12118,26553.1,0.941
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,9,weighted,13104,5493.2,0.7954
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,9,static,13104,26288.1,0.9401
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,10,weighted,12821,17048.5,0.9001
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,10,static,12821,29260.6,0.9499
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,11,weighted,14267,12467.9,0.8711
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,11,static,14267,24901.9,0.935
