run,iteration,train_lm_loss,final_test_ce,seed
flame512_dense,665,4.376165E+00,,1234
flame512_dense,670,4.369403E+00,,1234
flame512_dense,675,4.364196E+00,,1234
flame512_dense,680,4.360608E+00,,1234
flame512_dense,685,4.357338E+00,,1234
flame512_dense,690,4.362037E+00,,1234
flame512_dense,695,4.350160E+00,,1234
flame512_dense,700,4.338246E+00,,1234
flame512_dense,705,4.341728E+00,,1234
flame512_dense,710,4.322352E+00,,1234
flame512_dense,715,4.316333E+00,,1234
flame512_dense,720,4.333480E+00,,1234
flame512_dense,725,4.357282E+00,,1234
flame512_dense,730,4.341954E+00,,1234
flame512_dense,735,4.324050E+00,,1234
flame512_dense,740,4.304998E+00,,1234
flame512_dense,745,4.305515E+00,,1234
flame512_dense,750,4.297897E+00,,1234
flame512_dense,755,4.287394E+00,,1234
flame512_dense,760,4.274384E+00,,1234
flame512_dense,765,4.272330E+00,,1234
flame512_dense,770,4.265961E+00,,1234
flame512_dense,775,4.261360E+00,,1234
flame512_dense,780,4.258604E+00,,1234
flame512_dense,785,4.257930E+00,,1234
flame512_dense,790,4.261714E+00,,1234
flame512_dense,795,4.256229E+00,,1234
flame512_dense,800,4.247824E+00,,1234
flame512_dense,802,,4.245448,1234
flame512_g1_moe,5,1.058088E+01,,1234
flame512_g1_moe,10,9.709676E+00,,1234
flame512_g1_moe,15,8.926585E+00,,1234
flame512_g1_moe,20,8.236729E+00,,1234
flame512_g1_moe,25,7.703247E+00,,1234
flame512_g1_moe,30,7.352153E+00,,1234
flame512_g1_moe,35,7.132691E+00,,1234
flame512_g1_moe,40,6.993092E+00,,1234
flame512_g1_moe,45,6.840899E+00,,1234
flame512_g1_moe,50,6.730050E+00,,1234
flame512_g1_moe,55,6.608112E+00,,1234
flame512_g1_moe,60,6.530231E+00,,1234
flame512_g1_moe,65,6.469392E+00,,1234
flame512_g1_moe,70,6.403394E+00,,1234
flame512_g1_moe,75,6.365410E+00,,1234
