run,layer,expert,resident_frac,selected_frac
g1_temporal,3,4,0.083130,0.089310
g1_temporal,3,5,0.088547,0.056824
g1_temporal,3,6,0.069946,0.071350
g1_temporal,3,7,0.090973,0.091705
g1_temporal,3,8,0.083588,0.078781
g1_temporal,3,9,0.071213,0.081604
g1_temporal,3,10,0.098679,0.117676
g1_temporal,3,11,0.097366,0.102570
g1_temporal,3,12,0.084335,0.085098
g1_temporal,3,13,0.081284,0.075119
g1_temporal,3,14,0.090805,0.084427
g1_temporal,3,15,0.080719,0.087418
g1_temporal,3,16,0.077225,0.097656
g1_temporal,3,17,0.096329,0.078125
g1_temporal,3,18,0.114685,0.107513
g1_temporal,3,19,0.104645,0.091995
g1_temporal,3,20,0.097748,0.097824
g1_temporal,3,21,0.092133,0.101349
g1_temporal,3,22,0.105469,0.094208
g1_temporal,3,23,0.101349,0.122055
g1_temporal,3,24,0.090607,0.105560
g1_temporal,3,25,0.099762,0.093765
g1_temporal,3,26,0.093063,0.084549
g1_temporal,3,27,0.081680,0.089127
g1_temporal,3,28,0.091339,0.088882
g1_temporal,3,29,0.085648,0.077942
g1_temporal,3,30,0.104828,0.084961
g1_temporal,3,31,0.062592,0.061554
g1_temporal,3,32,0.080658,0.102875
g1_temporal,3,33,0.089767,0.096161
g1_temporal,3,34,0.087860,0.095917
g1_temporal,3,35,0.121262,0.080383
g1_temporal,3,36,0.102676,0.096481
g1_temporal,3,37,0.076538,0.073502
g1_temporal,3,38,0.099884,0.096298
g1_temporal,3,39,0.096878,0.084183
g1_temporal,3,40,0.076355,0.093811
g1_temporal,3,41,0.131760,0.129730
g1_temporal,3,42,0.093552,0.083420
g1_temporal,3,43,0.113281,0.104675
g1_temporal,3,44,0.088776,0.109406
g1_temporal,3,45,0.094788,0.089615
g1_temporal,3,46,0.095093,0.105865
g1_temporal,3,47,0.063324,0.085052
g1_temporal,3,48,0.099365,0.137665
g1_temporal,3,49,0.073624,0.080475
g1_temporal,3,50,0.109940,0.121735
g1_temporal,3,51,0.093430,0.085754
g1_temporal,3,52,0.117371,0.100754
g1_temporal,3,53,0.118591,0.109650
g1_temporal,3,54,0.091232,0.097900
g1_temporal,3,55,0.083496,0.084106
g1_temporal,3,56,0.095703,0.099014
g1_temporal,3,57,0.099640,0.095688
g1_temporal,3,58,0.121582,0.117554
g1_temporal,3,59,0.086777,0.099747
g1_temporal,3,60,0.099289,0.109268
g1_temporal,3,61,0.106369,0.102905
g1_temporal,3,62,0.082108,0.087799
g1_temporal,3,63,0.096405,0.092102
g1_temporal,4,0,0.066406,0.084732
g1_temporal,4,1,0.090927,0.074997
g1_temporal,4,2,0.104584,0.104218
g1_temporal,4,3,0.094864,0.101669
g1_temporal,4,4,0.145981,0.133911
g1_temporal,4,5,0.078476,0.092896
g1_temporal,4,6,0.101913,0.101608
g1_temporal,4,7,0.098145,0.111099
g1_temporal,4,8,0.090836,0.094818
g1_temporal,4,9,0.095505,0.065155
