label,run,budget,layer,variant,split,feature,null_type,median_AUC_floor,n_experts
flame192_g3_moe,flame192_g3_moe,1e18,9,kfull,sequence,token,iid,0.5,192
flame192_g3_moe,flame192_g3_moe,1e18,9,kfull,sequence,token,circular,0.4999,192
flame192_g3_moe,flame192_g3_moe,1e18,9,kfull,sequence,context,iid,0.5,192
flame192_g3_moe,flame192_g3_moe,1e18,9,kfull,sequence,context,circular,0.502,192
flame192_g3_moe,flame192_g3_moe,1e18,2,base,sequence,token,iid,0.5007,192
flame192_g3_moe,flame192_g3_moe,1e18,2,base,sequence,token,circular,0.5,192
flame192_g3_moe,flame192_g3_moe,1e18,2,base,sequence,context,iid,0.4996,192
flame192_g3_moe,flame192_g3_moe,1e18,2,base,sequence,context,circular,0.5029,192
flame192_g3_moe,flame192_g3_moe,1e18,3,base,sequence,token,iid,0.4999,192
flame192_g3_moe,flame192_g3_moe,1e18,3,base,sequence,token,circular,0.4997,192
flame192_g3_moe,flame192_g3_moe,1e18,3,base,sequence,context,iid,0.5005,192
flame192_g3_moe,flame192_g3_moe,1e18,3,base,sequence,context,circular,0.5046,192
flame192_g3_moe,flame192_g3_moe,1e18,4,base,sequence,token,iid,0.5009,192
flame192_g3_moe,flame192_g3_moe,1e18,4,base,sequence,token,circular,0.5001,192
flame192_g3_moe,flame192_g3_moe,1e18,4,base,sequence,context,iid,0.4986,192
flame192_g3_moe,flame192_g3_moe,1e18,4,base,sequence,context,circular,0.504,192
flame192_g3_moe,flame192_g3_moe,1e18,5,base,sequence,token,iid,0.4993,192
flame192_g3_moe,flame192_g3_moe,1e18,5,base,sequence,token,circular,0.5001,192
flame192_g3_moe,flame192_g3_moe,1e18,5,base,sequence,context,iid,0.4996,192
flame192_g3_moe,flame192_g3_moe,1e18,5,base,sequence,context,circular,0.505,192
flame192_g3_moe,flame192_g3_moe,1e18,6,base,sequence,token,iid,0.4998,192
flame192_g3_moe,flame192_g3_moe,1e18,6,base,sequence,token,circular,0.5005,192
flame192_g3_moe,flame192_g3_moe,1e18,6,base,sequence,context,iid,0.499,192
flame192_g3_moe,flame192_g3_moe,1e18,6,base,sequence,context,circular,0.5041,192
flame192_g3_moe,flame192_g3_moe,1e18,7,base,sequence,token,iid,0.4996,192
flame192_g3_moe,flame192_g3_moe,1e18,7,base,sequence,token,circular,0.4996,192
flame192_g3_moe,flame192_g3_moe,1e18,7,base,sequence,context,iid,0.5002,192
flame192_g3_moe,flame192_g3_moe,1e18,7,base,sequence,context,circular,0.5038,192
flame192_g3_moe,flame192_g3_moe,1e18,8,base,sequence,token,iid,0.4997,192
flame192_g3_moe,flame192_g3_moe,1e18,8,base,sequence,token,circular,0.4997,192
flame192_g3_moe,flame192_g3_moe,1e18,8,base,sequence,context,iid,0.5002,192
flame192_g3_moe,flame192_g3_moe,1e18,8,base,sequence,context,circular,0.5031,192
