label,run,layer,expert,variant,n_tokens,eff_vocab,dispersion
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,27,static,11286,15987.0,0.8872
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,28,weighted,12267,15094.0,0.9082
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,28,static,12267,15992.7,0.9032
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,29,weighted,11695,14922.8,0.9347
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,29,static,11695,15981.7,0.9
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,30,weighted,13238,14841.5,0.9446
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,30,static,13238,15967.3,0.9422
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,31,weighted,13437,14838.5,0.9438
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,31,static,13437,15961.8,0.862
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,32,weighted,13515,15641.2,0.917
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,32,static,13515,15986.9,0.8994
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,33,weighted,11644,15410.6,0.9306
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,33,static,11644,15987.2,0.9207
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,34,weighted,11536,15669.7,0.9412
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,34,static,11536,15977.5,0.9121
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,35,weighted,10790,15394.9,0.8684
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,35,static,10790,15982.3,0.8909
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,36,weighted,13172,14881.3,0.918
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,36,static,13172,15990.6,0.9205
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,37,weighted,12128,15643.7,0.887
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,37,static,12128,15988.9,0.8867
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,38,weighted,12049,15651.1,0.9303
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,38,static,12049,15984.3,0.8725
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,39,weighted,13557,15523.5,0.9126
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,39,static,13557,15978.5,0.8887
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,40,weighted,13000,15150.9,0.9334
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,40,static,13000,15987.2,0.8794
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,41,weighted,11474,14992.6,0.9102
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,41,static,11474,15968.7,0.8716
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,42,weighted,14037,15607.0,0.8916
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,42,static,14037,15980.0,0.7222
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,43,weighted,11095,15543.9,0.9174
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,43,static,11095,15985.8,0.9025
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,44,weighted,12456,15295.0,0.9158
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,44,static,12456,15985.7,0.8887
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,45,weighted,11398,15435.0,0.9239
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,45,static,11398,15984.5,0.8924
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,46,weighted,13390,14382.2,0.8772
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,46,static,13390,15993.3,0.9178
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,47,weighted,11332,15655.4,0.9197
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,47,static,11332,15985.6,0.8965
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,48,weighted,12624,14444.3,0.9432
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,48,static,12624,15987.4,0.9104
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,49,weighted,11744,15120.1,0.9366
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,49,static,11744,15986.7,0.9087
