run,iteration,train_lm_loss,final_val_ce,final_test_ce,seed
flame38m_g1_moe,535,4.982963E+00,,,1234
flame38m_g1_moe,540,4.983944E+00,,,1234
flame38m_g1_moe,545,4.976801E+00,,,1234
flame38m_g1_moe,550,4.965263E+00,,,1234
flame38m_g1_moe,555,4.957572E+00,,,1234
flame38m_g1_moe,560,4.943045E+00,,,1234
flame38m_g1_moe,565,4.932837E+00,,,1234
flame38m_g1_moe,570,4.923537E+00,,,1234
flame38m_g1_moe,575,4.921241E+00,,,1234
flame38m_g1_moe,580,4.909424E+00,,,1234
flame38m_g1_moe,585,4.901653E+00,,,1234
flame38m_g1_moe,590,4.892245E+00,,,1234
flame38m_g1_moe,595,4.885821E+00,,,1234
flame38m_g1_moe,600,4.878593E+00,,,1234
flame38m_g1_moe,605,4.870026E+00,,,1234
flame38m_g1_moe,610,4.862643E+00,,,1234
flame38m_g1_moe,615,4.858419E+00,,,1234
flame38m_g1_moe,620,4.839540E+00,,,1234
flame38m_g1_moe,625,4.843504E+00,,,1234
flame38m_g1_moe,630,4.836008E+00,,,1234
flame38m_g1_moe,635,4.833076E+00,,,1234
flame38m_g1_moe,640,4.827467E+00,,,1234
flame38m_g1_moe,645,4.809794E+00,,,1234
flame38m_g1_moe,650,4.812085E+00,,,1234
flame38m_g1_moe,655,4.799486E+00,,,1234
flame38m_g1_moe,660,4.793863E+00,,,1234
flame38m_g1_moe,665,4.787730E+00,,,1234
flame38m_g1_moe,670,4.774203E+00,,,1234
flame38m_g1_moe,675,4.772895E+00,,,1234
flame38m_g1_moe,680,4.771783E+00,,,1234
flame38m_g1_moe,685,4.767812E+00,,,1234
flame38m_g1_moe,690,4.755472E+00,,,1234
flame38m_g1_moe,695,4.750018E+00,,,1234
flame38m_g1_moe,700,4.741480E+00,,,1234
flame38m_g1_moe,705,4.731992E+00,,,1234
flame38m_g1_moe,710,4.725400E+00,,,1234
flame38m_g1_moe,715,4.727341E+00,,,1234
flame38m_g1_moe,720,4.720669E+00,,,1234
flame38m_g1_moe,725,4.714858E+00,,,1234
flame38m_g1_moe,730,4.713911E+00,,,1234
flame38m_g1_moe,735,4.695700E+00,,,1234
flame38m_g1_moe,740,4.693037E+00,,,1234
flame38m_g1_moe,745,4.695088E+00,,,1234
flame38m_g1_moe,750,4.670306E+00,,,1234
flame38m_g1_moe,755,4.676245E+00,,,1234
flame38m_g1_moe,760,4.677781E+00,,,1234
flame38m_g1_moe,765,4.666940E+00,,,1234
flame38m_g1_moe,770,4.652975E+00,,,1234
flame38m_g1_moe,775,4.651863E+00,,,1234
flame38m_g1_moe,780,4.650685E+00,,,1234
flame38m_g1_moe,785,4.639483E+00,,,1234
flame38m_g1_moe,790,4.638610E+00,,,1234
flame38m_g1_moe,795,4.638862E+00,,,1234
flame38m_g1_moe,800,4.626373E+00,,,1234
flame38m_g1_moe,805,4.613494E+00,,,1234
flame38m_g1_moe,810,4.606842E+00,,,1234
flame38m_g1_moe,815,4.617624E+00,,,1234
flame38m_g1_moe,820,4.607191E+00,,,1234
flame38m_g1_moe,825,4.605066E+00,,,1234
flame38m_g1_moe,830,4.610888E+00,,,1234
flame38m_g1_moe,835,4.592839E+00,,,1234
flame38m_g1_moe,840,4.582787E+00,,,1234
flame38m_g1_moe,845,4.575215E+00,,,1234
flame38m_g1_moe,850,4.574339E+00,,,1234
flame38m_g1_moe,855,4.571165E+00,,,1234
flame38m_g1_moe,860,4.563702E+00,,,1234
flame38m_g1_moe,865,4.566600E+00,,,1234
flame38m_g1_moe,870,4.557445E+00,,,1234
flame38m_g1_moe,875,4.551436E+00,,,1234
flame38m_g1_moe,880,4.546193E+00,,,1234
flame38m_g1_moe,885,4.539320E+00,,,1234
flame38m_g1_moe,890,4.537270E+00,,,1234
flame38m_g1_moe,895,4.522248E+00,,,1234
flame38m_g1_moe,900,4.528452E+00,,,1234
flame38m_g1_moe,905,4.522221E+00,,,1234
flame38m_g1_moe,910,4.512501E+00,,,1234
flame38m_g1_moe,915,4.508446E+00,,,1234
flame38m_g1_moe,920,4.511180E+00,,,1234
flame38m_g1_moe,925,4.502488E+00,,,1234
flame38m_g1_moe,930,4.488924E+00,,,1234
flame38m_g1_moe,935,4.486607E+00,,,1234
flame38m_g1_moe,940,4.483372E+00,,,1234
flame38m_g1_moe,945,4.484742E+00,,,1234
flame38m_g1_moe,950,4.482333E+00,,,1234
flame38m_g1_moe,955,4.474427E+00,,,1234
flame38m_g1_moe,960,4.467308E+00,,,1234
flame38m_g1_moe,965,4.460217E+00,,,1234
flame38m_g1_moe,970,4.451557E+00,,,1234
flame38m_g1_moe,975,4.447810E+00,,,1234
flame38m_g1_moe,980,4.445506E+00,,,1234
flame38m_g1_moe,985,4.442413E+00,,,1234
flame38m_g1_moe,990,4.438157E+00,,,1234
flame38m_g1_moe,995,4.429801E+00,,,1234
flame38m_g1_moe,1000,4.416243E+00,,,1234
flame38m_g1_moe,1005,4.429609E+00,,,1234
flame38m_g1_moe,1010,4.421776E+00,,,1234
flame38m_g1_moe,1015,4.410172E+00,,,1234
flame38m_g1_moe,1020,4.418415E+00,,,1234
flame38m_g1_moe,1025,4.398539E+00,,,1234
flame38m_g1_moe,1030,4.404822E+00,,,1234
flame38m_g1_moe,1035,4.399604E+00,,,1234
flame38m_g1_moe,1040,4.389315E+00,,,1234
flame38m_g1_moe,1045,4.396333E+00,,,1234
flame38m_g1_moe,1050,4.382369E+00,,,1234
flame38m_g1_moe,1055,4.368298E+00,,,1234
flame38m_g1_moe,1060,4.370036E+00,,,1234
flame38m_g1_moe,1065,4.372580E+00,,,1234
flame38m_g1_moe,1070,4.365955E+00,,,1234
flame38m_g1_moe,1075,4.361257E+00,,,1234
flame38m_g1_moe,1080,4.368065E+00,,,1234
flame38m_g1_moe,1085,4.352354E+00,,,1234
flame38m_g1_moe,1090,4.348394E+00,,,1234
flame38m_g1_moe,1095,4.349007E+00,,,1234
flame38m_g1_moe,1100,4.338958E+00,,,1234
flame38m_g1_moe,1105,4.337148E+00,,,1234
flame38m_g1_moe,1110,4.332188E+00,,,1234
flame38m_g1_moe,1115,4.335392E+00,,,1234
flame38m_g1_moe,1120,4.335699E+00,,,1234
flame38m_g1_moe,1125,4.312791E+00,,,1234
flame38m_g1_moe,1130,4.314759E+00,,,1234
flame38m_g1_moe,1135,4.312707E+00,,,1234
flame38m_g1_moe,1140,4.300411E+00,,,1234
flame38m_g1_moe,1145,4.294564E+00,,,1234
flame38m_g1_moe,1150,4.299413E+00,,,1234
flame38m_g1_moe,1155,4.293448E+00,,,1234
flame38m_g1_moe,1160,4.299630E+00,,,1234
flame38m_g1_moe,1165,4.286693E+00,,,1234
flame38m_g1_moe,1170,4.287627E+00,,,1234
flame38m_g1_moe,1175,4.287081E+00,,,1234
flame38m_g1_moe,1180,4.283407E+00,,,1234
flame38m_g1_moe,1185,4.283443E+00,,,1234
flame38m_g1_moe,1190,4.279885E+00,,,1234
flame38m_g1_moe,1195,4.262371E+00,,,1234
flame38m_g1_moe,1200,4.264399E+00,,,1234
flame38m_g1_moe,1205,4.268537E+00,,,1234
flame38m_g1_moe,1210,4.262296E+00,,,1234
flame38m_g1_moe,1215,4.253639E+00,,,1234
flame38m_g1_moe,1220,4.256975E+00,,,1234
flame38m_g1_moe,1225,4.243978E+00,,,1234
flame38m_g1_moe,1230,4.252304E+00,,,1234
flame38m_g1_moe,1235,4.249841E+00,,,1234
flame38m_g1_moe,1240,4.240723E+00,,,1234
flame38m_g1_moe,1245,4.241199E+00,,,1234
flame38m_g1_moe,1250,4.239241E+00,,,1234
flame38m_g1_moe,1255,4.231557E+00,,,1234
flame38m_g1_moe,1260,4.232572E+00,,,1234
flame38m_g1_moe,1265,4.221065E+00,,,1234
flame38m_g1_moe,1270,4.219666E+00,,,1234
flame38m_g1_moe,1275,4.210703E+00,,,1234
