label,run,layer,expert,eff_vocab,semantic_dispersion
s0_TEMPORAL,g3_tmoe_s0_1e16,1,69,15998.65,0.8927
s0_TEMPORAL,g3_tmoe_s0_1e16,1,70,15987.46,0.9002
s0_TEMPORAL,g3_tmoe_s0_1e16,1,71,15994.84,0.8675
s0_TEMPORAL,g3_tmoe_s0_1e16,1,72,15985.31,0.8717
s0_TEMPORAL,g3_tmoe_s0_1e16,1,73,15986.72,0.8757
s0_TEMPORAL,g3_tmoe_s0_1e16,1,74,15989.47,0.8601
s0_TEMPORAL,g3_tmoe_s0_1e16,1,75,15993.68,0.8787
s0_TEMPORAL,g3_tmoe_s0_1e16,1,76,15986.18,0.8885
s0_TEMPORAL,g3_tmoe_s0_1e16,1,77,15979.59,0.9152
s0_TEMPORAL,g3_tmoe_s0_1e16,1,78,15990.66,0.9321
s0_TEMPORAL,g3_tmoe_s0_1e16,1,79,15992.41,0.8918
s0_TEMPORAL,g3_tmoe_s0_1e16,1,80,15990.14,0.8715
s0_TEMPORAL,g3_tmoe_s0_1e16,1,81,15987.98,0.8669
s0_TEMPORAL,g3_tmoe_s0_1e16,1,82,15983.66,0.8775
s0_TEMPORAL,g3_tmoe_s0_1e16,1,83,15991.42,0.8757
s0_TEMPORAL,g3_tmoe_s0_1e16,1,84,15990.06,0.8661
s0_TEMPORAL,g3_tmoe_s0_1e16,1,85,15995.42,0.9193
s0_TEMPORAL,g3_tmoe_s0_1e16,1,86,15990.95,0.8512
s0_TEMPORAL,g3_tmoe_s0_1e16,1,87,15994.81,0.8546
s0_TEMPORAL,g3_tmoe_s0_1e16,1,88,15986.69,0.8803
s0_TEMPORAL,g3_tmoe_s0_1e16,1,89,15995.74,0.8298
s0_TEMPORAL,g3_tmoe_s0_1e16,1,90,15991.21,0.8922
s0_TEMPORAL,g3_tmoe_s0_1e16,1,91,15988.83,0.9406
s0_TEMPORAL,g3_tmoe_s0_1e16,1,92,15997.06,0.9236
