checkpoint,config,val_bpb,test_bpb,A3_pct,union_mean,union_frac_of_E,eff_experts,pinned_per_layer,max_residency_pct
g3_tmoe_s2_1e17,plain temporal (min_logit),1.2883,1.2873,32.9,160.8,0.837,187.8,0.0,15.2
g3_tmoe_s2_1e17_karen,"Karen: auxfree+momentum(b1.0,g0.125)",1.2890,1.2881,39.9,152.5,0.794,127.9,0.2,85.3
