label,run,layer,expert,usage_count,token_AUC,context_AUC,context_minus_token
s0_TEMPORAL,g3_tmoe_s0_1e16,2,67,654,0.7014,0.9123,0.2109
s0_TEMPORAL,g3_tmoe_s0_1e16,2,69,21049,0.5392,0.5972,0.058
s0_TEMPORAL,g3_tmoe_s0_1e16,2,70,3388,0.6569,0.8988,0.2419
s0_TEMPORAL,g3_tmoe_s0_1e16,2,71,2324,0.5969,0.7472,0.1503
s0_TEMPORAL,g3_tmoe_s0_1e16,2,72,13388,0.6743,0.7731,0.0989
s0_TEMPORAL,g3_tmoe_s0_1e16,2,74,3520,0.7282,0.6913,-0.0369
s0_TEMPORAL,g3_tmoe_s0_1e16,2,75,2944,0.6152,0.767,0.1518
s0_TEMPORAL,g3_tmoe_s0_1e16,2,76,1697,0.6025,0.7748,0.1722
s0_TEMPORAL,g3_tmoe_s0_1e16,2,77,2352,0.5926,0.7571,0.1646
s0_TEMPORAL,g3_tmoe_s0_1e16,2,78,3177,0.6369,0.8351,0.1981
s0_TEMPORAL,g3_tmoe_s0_1e16,2,79,5212,0.6295,0.7344,0.1049
s0_TEMPORAL,g3_tmoe_s0_1e16,2,80,6357,0.6575,0.8415,0.184
s0_TEMPORAL,g3_tmoe_s0_1e16,2,81,96,0.7518,0.6745,-0.0773
s0_TEMPORAL,g3_tmoe_s0_1e16,2,82,4436,0.5955,0.7502,0.1547
s0_TEMPORAL,g3_tmoe_s0_1e16,2,83,3920,0.5741,0.7614,0.1873
s0_TEMPORAL,g3_tmoe_s0_1e16,2,84,2785,0.6618,0.8372,0.1754
s0_TEMPORAL,g3_tmoe_s0_1e16,2,86,9224,0.6276,0.8064,0.1788
s0_TEMPORAL,g3_tmoe_s0_1e16,2,87,142,0.6344,0.7356,0.1011
s0_TEMPORAL,g3_tmoe_s0_1e16,2,88,5018,0.7096,0.8561,0.1464
s0_TEMPORAL,g3_tmoe_s0_1e16,2,89,150,0.7918,0.3485,-0.4433
s0_TEMPORAL,g3_tmoe_s0_1e16,2,90,7687,0.5858,0.7502,0.1644
s0_TEMPORAL,g3_tmoe_s0_1e16,2,91,2998,0.6389,0.7978,0.1589
s0_TEMPORAL,g3_tmoe_s0_1e16,2,93,2501,0.6311,0.8873,0.2562
s0_TEMPORAL,g3_tmoe_s0_1e16,2,94,1162,0.7171,0.7805,0.0634
s0_TEMPORAL,g3_tmoe_s0_1e16,2,95,1721,0.5833,0.7244,0.1411
s0_TEMPORAL,g3_tmoe_s0_1e16,2,96,2357,0.6039,0.7268,0.1229
s0_TEMPORAL,g3_tmoe_s0_1e16,2,97,1534,0.7014,0.7633,0.0619
s0_TEMPORAL,g3_tmoe_s0_1e16,2,98,12088,0.5786,0.7372,0.1587
s0_TEMPORAL,g3_tmoe_s0_1e16,2,99,6731,0.6079,0.7572,0.1492
s0_TEMPORAL,g3_tmoe_s0_1e16,2,100,4830,0.5855,0.6992,0.1137
s0_TEMPORAL,g3_tmoe_s0_1e16,2,101,260,0.5391,0.8272,0.2882
s0_TEMPORAL,g3_tmoe_s0_1e16,2,102,7513,0.6401,0.8258,0.1857
s0_TEMPORAL,g3_tmoe_s0_1e16,2,103,3396,0.586,0.7582,0.1723
s0_TEMPORAL,g3_tmoe_s0_1e16,2,104,1114,0.6247,0.819,0.1943
s0_TEMPORAL,g3_tmoe_s0_1e16,2,105,3788,0.7118,0.7916,0.0798
s0_TEMPORAL,g3_tmoe_s0_1e16,2,106,4324,0.6464,0.7913,0.1449
s0_TEMPORAL,g3_tmoe_s0_1e16,2,107,9939,0.596,0.7311,0.1351
s0_TEMPORAL,g3_tmoe_s0_1e16,2,108,1046,0.6502,0.7543,0.1041
s0_TEMPORAL,g3_tmoe_s0_1e16,2,109,271,0.5798,0.5983,0.0185
s0_TEMPORAL,g3_tmoe_s0_1e16,2,110,6785,0.7927,0.7665,-0.0261
s0_TEMPORAL,g3_tmoe_s0_1e16,2,111,1231,0.5047,0.4422,-0.0625
s0_TEMPORAL,g3_tmoe_s0_1e16,2,112,7509,0.6135,0.849,0.2355
s0_TEMPORAL,g3_tmoe_s0_1e16,2,113,4521,0.6139,0.7518,0.1378
s0_TEMPORAL,g3_tmoe_s0_1e16,2,114,1240,0.5725,0.7224,0.1499
s0_TEMPORAL,g3_tmoe_s0_1e16,2,115,93,0.638,0.7118,0.0738
s0_TEMPORAL,g3_tmoe_s0_1e16,2,116,182,0.6289,0.703,0.0741
s0_TEMPORAL,g3_tmoe_s0_1e16,2,117,5759,0.5802,0.7062,0.126
s0_TEMPORAL,g3_tmoe_s0_1e16,2,118,2910,0.6772,0.9096,0.2325
s0_TEMPORAL,g3_tmoe_s0_1e16,2,119,743,0.5901,0.7965,0.2065
s0_TEMPORAL,g3_tmoe_s0_1e16,2,120,2331,0.6423,0.8357,0.1934
s0_TEMPORAL,g3_tmoe_s0_1e16,2,121,10697,0.5509,0.5742,0.0233
s0_TEMPORAL,g3_tmoe_s0_1e16,2,123,4145,0.559,0.7565,0.1975
s0_TEMPORAL,g3_tmoe_s0_1e16,2,124,1134,0.6283,0.859,0.2307
s0_TEMPORAL,g3_tmoe_s0_1e16,2,125,2669,0.5959,0.7811,0.1852
s0_TEMPORAL,g3_tmoe_s0_1e16,2,126,7270,0.5132,0.5482,0.035
s0_TEMPORAL,g3_tmoe_s0_1e16,2,129,2302,0.7427,0.7372,-0.0055
s0_TEMPORAL,g3_tmoe_s0_1e16,2,130,4149,0.6327,0.8067,0.174
s0_TEMPORAL,g3_tmoe_s0_1e16,2,131,310,nan,nan,nan
s0_TEMPORAL,g3_tmoe_s0_1e16,2,133,5627,0.5734,0.6944,0.121
s0_TEMPORAL,g3_tmoe_s0_1e16,2,134,788,0.6834,0.7806,0.0972
s0_TEMPORAL,g3_tmoe_s0_1e16,2,135,5410,0.5505,0.5715,0.0211
s0_TEMPORAL,g3_tmoe_s0_1e16,2,136,109,0.5558,0.6131,0.0573
s0_TEMPORAL,g3_tmoe_s0_1e16,2,137,2863,0.6125,0.7585,0.146
s0_TEMPORAL,g3_tmoe_s0_1e16,2,138,778,0.5461,0.6298,0.0837
s0_TEMPORAL,g3_tmoe_s0_1e16,2,139,6989,0.615,0.7572,0.1422
s0_TEMPORAL,g3_tmoe_s0_1e16,2,140,5329,0.5921,0.7624,0.1704
s0_TEMPORAL,g3_tmoe_s0_1e16,2,141,2932,0.5251,0.5592,0.0341
s0_TEMPORAL,g3_tmoe_s0_1e16,2,142,2623,0.613,0.8286,0.2156
s0_TEMPORAL,g3_tmoe_s0_1e16,2,143,5061,0.6073,0.8089,0.2016
s0_TEMPORAL,g3_tmoe_s0_1e16,2,144,4744,0.5819,0.7018,0.1199
s0_TEMPORAL,g3_tmoe_s0_1e16,2,145,1969,0.6093,0.8887,0.2794
s0_TEMPORAL,g3_tmoe_s0_1e16,2,146,98,0.6837,0.5923,-0.0914
s0_TEMPORAL,g3_tmoe_s0_1e16,2,147,422,0.5572,0.661,0.1038
s0_TEMPORAL,g3_tmoe_s0_1e16,2,148,5472,0.6729,0.8674,0.1945
