run,iteration,train_lm_loss,final_val_ce,seed
temporal_fine_g3_1e19,1000,3.757754E+00,,1234
temporal_fine_g3_1e19,1010,3.753786E+00,,1234
temporal_fine_g3_1e19,1020,3.751733E+00,,1234
temporal_fine_g3_1e19,1030,3.745754E+00,,1234
temporal_fine_g3_1e19,1040,3.734352E+00,,1234
temporal_fine_g3_1e19,1050,3.728513E+00,,1234
temporal_fine_g3_1e19,1060,3.725628E+00,,1234
temporal_fine_g3_1e19,1070,3.710936E+00,,1234
temporal_fine_g3_1e19,1080,3.712537E+00,,1234
temporal_fine_g3_1e19,1090,3.706134E+00,,1234
temporal_fine_g3_1e19,1100,3.703068E+00,,1234
temporal_fine_g3_1e19,1110,3.693219E+00,,1234
temporal_fine_g3_1e19,1120,3.697198E+00,,1234
temporal_fine_g3_1e19,1130,3.694214E+00,,1234
temporal_fine_g3_1e19,1140,3.686222E+00,,1234
temporal_fine_g3_1e19,1150,3.677114E+00,,1234
temporal_fine_g3_1e19,1160,3.666800E+00,,1234
temporal_fine_g3_1e19,1170,3.677946E+00,,1234
temporal_fine_g3_1e19,1180,3.668402E+00,,1234
temporal_fine_g3_1e19,1190,3.669426E+00,,1234
temporal_fine_g3_1e19,1200,3.658603E+00,,1234
temporal_fine_g3_1e19,1210,3.652871E+00,,1234
temporal_fine_g3_1e19,1220,3.654969E+00,,1234
temporal_fine_g3_1e19,1230,3.641079E+00,,1234
temporal_fine_g3_1e19,1240,3.643904E+00,,1234
temporal_fine_g3_1e19,1250,3.644231E+00,,1234
temporal_fine_g3_1e19,1260,3.634175E+00,,1234
temporal_fine_g3_1e19,1270,3.631404E+00,,1234
temporal_fine_g3_1e19,1280,3.625591E+00,,1234
temporal_fine_g3_1e19,1290,3.629736E+00,,1234
temporal_fine_g3_1e19,1300,3.626798E+00,,1234
temporal_fine_g3_1e19,1310,3.607721E+00,,1234
temporal_fine_g3_1e19,1320,3.609538E+00,,1234
temporal_fine_g3_1e19,1330,3.607036E+00,,1234
temporal_fine_g3_1e19,1340,3.603578E+00,,1234
temporal_fine_g3_1e19,1350,3.601120E+00,,1234
temporal_fine_g3_1e19,1360,3.599537E+00,,1234
temporal_fine_g3_1e19,1370,3.594624E+00,,1234
temporal_fine_g3_1e19,1380,3.587503E+00,,1234
temporal_fine_g3_1e19,1390,3.591818E+00,,1234
temporal_fine_g3_1e19,1400,3.590792E+00,,1234
temporal_fine_g3_1e19,1410,3.582510E+00,,1234
temporal_fine_g3_1e19,1420,3.572433E+00,,1234
temporal_fine_g3_1e19,1430,3.575321E+00,,1234
temporal_fine_g3_1e19,1440,3.573129E+00,,1234
temporal_fine_g3_1e19,1450,3.571405E+00,,1234
temporal_fine_g3_1e19,1460,3.570303E+00,,1234
temporal_fine_g3_1e19,1470,3.565554E+00,,1234
temporal_fine_g3_1e19,1480,3.560019E+00,,1234
temporal_fine_g3_1e19,1490,3.554520E+00,,1234
temporal_fine_g3_1e19,1500,3.554290E+00,,1234
temporal_fine_g3_1e19,1510,3.549277E+00,,1234
temporal_fine_g3_1e19,1520,3.558396E+00,,1234
temporal_fine_g3_1e19,1530,3.542631E+00,,1234
temporal_fine_g3_1e19,1540,3.547483E+00,,1234
temporal_fine_g3_1e19,1550,3.544566E+00,,1234
temporal_fine_g3_1e19,1560,3.539687E+00,,1234
temporal_fine_g3_1e19,1570,3.532375E+00,,1234
temporal_fine_g3_1e19,1580,3.528080E+00,,1234
temporal_fine_g3_1e19,1590,3.535553E+00,,1234
temporal_fine_g3_1e19,1600,3.530213E+00,,1234
temporal_fine_g3_1e19,1610,3.528088E+00,,1234
temporal_fine_g3_1e19,1620,3.518754E+00,,1234
temporal_fine_g3_1e19,1630,3.519852E+00,,1234
temporal_fine_g3_1e19,1640,3.511622E+00,,1234
temporal_fine_g3_1e19,1650,3.511683E+00,,1234
temporal_fine_g3_1e19,1660,3.507714E+00,,1234
temporal_fine_g3_1e19,1670,3.507962E+00,,1234
temporal_fine_g3_1e19,1680,3.503517E+00,,1234
temporal_fine_g3_1e19,1690,3.503036E+00,,1234
temporal_fine_g3_1e19,1700,3.500617E+00,,1234
temporal_fine_g3_1e19,1710,3.498146E+00,,1234
temporal_fine_g3_1e19,1720,3.500549E+00,,1234
temporal_fine_g3_1e19,1730,3.488586E+00,,1234
temporal_fine_g3_1e19,1740,3.492290E+00,,1234
temporal_fine_g3_1e19,1750,3.493303E+00,,1234
temporal_fine_g3_1e19,1760,3.482833E+00,,1234
temporal_fine_g3_1e19,1770,3.481385E+00,,1234
temporal_fine_g3_1e19,1780,3.494308E+00,,1234
temporal_fine_g3_1e19,1790,3.481473E+00,,1234
temporal_fine_g3_1e19,1800,3.472380E+00,,1234
temporal_fine_g3_1e19,1810,3.472651E+00,,1234
temporal_fine_g3_1e19,1820,3.476935E+00,,1234
temporal_fine_g3_1e19,1830,3.475788E+00,,1234
temporal_fine_g3_1e19,1840,3.464497E+00,,1234
temporal_fine_g3_1e19,1850,3.465156E+00,,1234
temporal_fine_g3_1e19,1860,3.465715E+00,,1234
temporal_fine_g3_1e19,1870,3.469445E+00,,1234
temporal_fine_g3_1e19,1880,3.461585E+00,,1234
temporal_fine_g3_1e19,1890,3.457204E+00,,1234
temporal_fine_g3_1e19,1900,3.459397E+00,,1234
temporal_fine_g3_1e19,1910,3.448597E+00,,1234
temporal_fine_g3_1e19,1920,3.462169E+00,,1234
temporal_fine_g3_1e19,1930,3.456880E+00,,1234
temporal_fine_g3_1e19,1940,3.455031E+00,,1234
temporal_fine_g3_1e19,1950,3.449443E+00,,1234
temporal_fine_g3_1e19,1960,3.445188E+00,,1234
temporal_fine_g3_1e19,1970,3.443977E+00,,1234
temporal_fine_g3_1e19,1980,3.442929E+00,,1234
temporal_fine_g3_1e19,1990,3.440926E+00,,1234
temporal_fine_g3_1e19,2000,3.437666E+00,,1234
temporal_fine_g3_1e19,2010,3.442480E+00,,1234
temporal_fine_g3_1e19,2020,3.436485E+00,,1234
temporal_fine_g3_1e19,2030,3.434267E+00,,1234
temporal_fine_g3_1e19,2040,3.432916E+00,,1234
temporal_fine_g3_1e19,2050,3.434645E+00,,1234
temporal_fine_g3_1e19,2060,3.425813E+00,,1234
temporal_fine_g3_1e19,2070,3.428093E+00,,1234
temporal_fine_g3_1e19,2080,3.426517E+00,,1234
temporal_fine_g3_1e19,2090,3.426836E+00,,1234
temporal_fine_g3_1e19,2100,3.416370E+00,,1234
temporal_fine_g3_1e19,2110,3.414367E+00,,1234
temporal_fine_g3_1e19,2120,3.424781E+00,,1234
temporal_fine_g3_1e19,2130,3.418945E+00,,1234
temporal_fine_g3_1e19,2140,3.412741E+00,,1234
temporal_fine_g3_1e19,2150,3.409792E+00,,1234
temporal_fine_g3_1e19,2160,3.414234E+00,,1234
temporal_fine_g3_1e19,2170,3.407997E+00,,1234
temporal_fine_g3_1e19,2180,3.407472E+00,,1234
temporal_fine_g3_1e19,2190,3.400679E+00,,1234
temporal_fine_g3_1e19,2200,3.400325E+00,,1234
temporal_fine_g3_1e19,2210,3.402300E+00,,1234
temporal_fine_g3_1e19,2220,3.405930E+00,,1234
temporal_fine_g3_1e19,2230,3.405661E+00,,1234
temporal_fine_g3_1e19,2240,3.400800E+00,,1234
temporal_fine_g3_1e19,2250,3.400526E+00,,1234
temporal_fine_g3_1e19,2260,3.397007E+00,,1234
temporal_fine_g3_1e19,2270,3.386949E+00,,1234
temporal_fine_g3_1e19,2280,3.398407E+00,,1234
temporal_fine_g3_1e19,2290,3.386417E+00,,1234
temporal_fine_g3_1e19,2300,3.390788E+00,,1234
temporal_fine_g3_1e19,2310,3.386699E+00,,1234
temporal_fine_g3_1e19,2320,3.380135E+00,,1234
temporal_fine_g3_1e19,2330,3.380112E+00,,1234
temporal_fine_g3_1e19,2340,3.377402E+00,,1234
temporal_fine_g3_1e19,2350,3.386242E+00,,1234
temporal_fine_g3_1e19,2360,3.383058E+00,,1234
temporal_fine_g3_1e19,2370,3.384729E+00,,1234
temporal_fine_g3_1e19,2380,3.376695E+00,,1234
temporal_fine_g3_1e19,2390,3.378902E+00,,1234
temporal_fine_g3_1e19,2400,3.370899E+00,,1234
temporal_fine_g3_1e19,2410,3.369970E+00,,1234
temporal_fine_g3_1e19,2420,3.368721E+00,,1234
temporal_fine_g3_1e19,2430,3.371550E+00,,1234
temporal_fine_g3_1e19,2440,3.367889E+00,,1234
temporal_fine_g3_1e19,2450,3.367183E+00,,1234
temporal_fine_g3_1e19,2460,3.365949E+00,,1234
temporal_fine_g3_1e19,2470,3.361259E+00,,1234
temporal_fine_g3_1e19,2480,3.366412E+00,,1234
temporal_fine_g3_1e19,2490,3.362886E+00,,1234
temporal_fine_g3_1e19,2500,3.362553E+00,,1234
temporal_fine_g3_1e19,2510,3.360693E+00,,1234
temporal_fine_g3_1e19,2520,3.359517E+00,,1234
temporal_fine_g3_1e19,2530,3.364005E+00,,1234
temporal_fine_g3_1e19,2540,3.360233E+00,,1234
temporal_fine_g3_1e19,2550,3.350802E+00,,1234
temporal_fine_g3_1e19,2560,3.353000E+00,,1234
temporal_fine_g3_1e19,2570,3.353480E+00,,1234
temporal_fine_g3_1e19,2580,3.352409E+00,,1234
temporal_fine_g3_1e19,2590,3.354046E+00,,1234
temporal_fine_g3_1e19,2600,3.352330E+00,,1234
temporal_fine_g3_1e19,2610,3.351126E+00,,1234
temporal_fine_g3_1e19,2620,3.344999E+00,,1234
temporal_fine_g3_1e19,2630,3.339879E+00,,1234
temporal_fine_g3_1e19,2640,3.343955E+00,,1234
temporal_fine_g3_1e19,2650,3.347094E+00,,1234
temporal_fine_g3_1e19,2660,3.340903E+00,,1234
temporal_fine_g3_1e19,2670,3.342207E+00,,1234
temporal_fine_g3_1e19,2680,3.340760E+00,,1234
temporal_fine_g3_1e19,2690,3.335688E+00,,1234
temporal_fine_g3_1e19,2700,3.333844E+00,,1234
temporal_fine_g3_1e19,2710,3.332847E+00,,1234
temporal_fine_g3_1e19,2720,3.336060E+00,,1234
temporal_fine_g3_1e19,2730,3.327538E+00,,1234
temporal_fine_g3_1e19,2740,3.332578E+00,,1234
temporal_fine_g3_1e19,2750,3.335302E+00,,1234
temporal_fine_g3_1e19,2760,3.336999E+00,,1234
temporal_fine_g3_1e19,2770,3.331759E+00,,1234
temporal_fine_g3_1e19,2780,3.325513E+00,,1234
temporal_fine_g3_1e19,2790,3.328464E+00,,1234
temporal_fine_g3_1e19,2800,3.320576E+00,,1234
temporal_fine_g3_1e19,2810,3.326999E+00,,1234
temporal_fine_g3_1e19,2820,3.333499E+00,,1234
temporal_fine_g3_1e19,2830,3.324896E+00,,1234
temporal_fine_g3_1e19,2840,3.319326E+00,,1234
temporal_fine_g3_1e19,2850,3.320692E+00,,1234
temporal_fine_g3_1e19,2860,3.321684E+00,,1234
temporal_fine_g3_1e19,2870,3.316357E+00,,1234
temporal_fine_g3_1e19,2880,3.319847E+00,,1234
temporal_fine_g3_1e19,2890,3.321006E+00,,1234
temporal_fine_g3_1e19,2900,3.314315E+00,,1234
temporal_fine_g3_1e19,2910,3.317040E+00,,1234
temporal_fine_g3_1e19,2920,3.307251E+00,,1234
temporal_fine_g3_1e19,2930,3.309324E+00,,1234
temporal_fine_g3_1e19,2940,3.306989E+00,,1234
temporal_fine_g3_1e19,2950,3.314476E+00,,1234
temporal_fine_g3_1e19,2960,3.310220E+00,,1234
temporal_fine_g3_1e19,2970,3.302792E+00,,1234
temporal_fine_g3_1e19,2980,3.304464E+00,,1234
temporal_fine_g3_1e19,2990,3.306797E+00,,1234
temporal_fine_g3_1e19,3000,3.305478E+00,,1234
temporal_fine_g3_1e19,3010,3.309695E+00,,1234
temporal_fine_g3_1e19,3020,3.300349E+00,,1234
temporal_fine_g3_1e19,3030,3.295908E+00,,1234
temporal_fine_g3_1e19,3040,3.313429E+00,,1234
temporal_fine_g3_1e19,3050,3.302399E+00,,1234
temporal_fine_g3_1e19,3060,3.299973E+00,,1234
temporal_fine_g3_1e19,3070,3.297249E+00,,1234
temporal_fine_g3_1e19,3080,3.296216E+00,,1234
temporal_fine_g3_1e19,3090,3.295832E+00,,1234
temporal_fine_g3_1e19,3100,3.297232E+00,,1234
temporal_fine_g3_1e19,3110,3.289721E+00,,1234
temporal_fine_g3_1e19,3120,3.292383E+00,,1234
temporal_fine_g3_1e19,3130,3.293875E+00,,1234
temporal_fine_g3_1e19,3140,3.286570E+00,,1234
