run,tau,beta,swaprate,setcov,masscov,s_max_budget
tmoe_minlogit_sh1_s2_1e17,0.0,1.0,0.9978199804592087,0.3819654583930969,0.42062586545944214,0.15625
tmoe_minlogit_sh1_s2_1e17,1.0,1.0,0.8192537860283341,0.37680548429489136,0.4156714081764221,0.15625
tmoe_minlogit_sh1_s2_1e17,2.0,1.0,0.404457743038593,0.3285672068595886,0.3659540116786957,0.15625
tmoe_minlogit_sh1_s2_1e17,4.0,1.0,0.04306912554958476,0.18026480078697205,0.2024346888065338,0.15625
tmoe_minlogit_sh1_s2_1e17,0.0,0.5,0.97404738641915,0.5743974447250366,0.6245486736297607,0.15625
tmoe_minlogit_sh1_s2_1e17,1.0,0.5,0.42078651685393254,0.48724251985549927,0.5402635335922241,0.15625
tmoe_minlogit_sh1_s2_1e17,2.0,0.5,0.10530043966780653,0.3443830609321594,0.38807234168052673,0.15625
tmoe_minlogit_sh1_s2_1e17,4.0,0.5,0.003053248656570591,0.13523754477500916,0.14965660870075226,0.15625
tmoe_minlogit_sh1_s2_1e17,0.0,0.25,0.8651563263312164,0.745787501335144,0.7811386585235596,0.15625
tmoe_minlogit_sh1_s2_1e17,1.0,0.25,0.14261113825109917,0.5093857049942017,0.557726263999939,0.15625
tmoe_minlogit_sh1_s2_1e17,2.0,0.25,0.018533219345383486,0.314464271068573,0.3541842997074127,0.15625
tmoe_minlogit_sh1_s2_1e17,4.0,0.25,0.0004213483146067416,0.1056525856256485,0.10947533696889877,0.15625
tmoe_minlogit_sh1_s2_1e17,0.0,0.1,0.5647166585246703,0.8872831463813782,0.904400646686554,0.15625
tmoe_minlogit_sh1_s2_1e17,1.0,0.1,0.023235222276502196,0.5025993585586548,0.5463057160377502,0.15625
tmoe_minlogit_sh1_s2_1e17,2.0,0.1,0.0034318514899853445,0.26038306951522827,0.2967541217803955,0.15625
tmoe_minlogit_sh1_s2_1e17,4.0,0.1,6.717147044455301e-05,0.09198623895645142,0.09198152273893356,0.15625
g3_tmoe_s1_1e17,0.0,1.0,1.0,0.3474588990211487,0.3910813629627228,0.53125
g3_tmoe_s1_1e17,1.0,1.0,0.9905807278944798,0.34736981987953186,0.3909594416618347,0.53125
g3_tmoe_s1_1e17,2.0,1.0,0.8443301172447485,0.33819395303726196,0.3824042081832886,0.53125
g3_tmoe_s1_1e17,4.0,1.0,0.2855779799706888,0.24540318548679352,0.2893771529197693,0.53125
g3_tmoe_s1_1e17,0.0,0.5,0.9999313019052272,0.5024672150611877,0.5625726580619812,0.53125
g3_tmoe_s1_1e17,1.0,0.5,0.8395670493404983,0.4916498064994812,0.5523415803909302,0.53125
g3_tmoe_s1_1e17,2.0,0.5,0.3910753541768442,0.4144187271595001,0.47380179166793823,0.53125
g3_tmoe_s1_1e17,4.0,0.5,0.031120236932095747,0.17662788927555084,0.21557587385177612,0.53125
g3_tmoe_s1_1e17,0.0,0.25,0.997045981924768,0.6707172989845276,0.7183676958084106,0.53125
g3_tmoe_s1_1e17,1.0,0.25,0.41454720322423055,0.5825067758560181,0.6364603042602539,0.53125
g3_tmoe_s1_1e17,2.0,0.25,0.09623839765510503,0.407084584236145,0.462798535823822,0.53125
g3_tmoe_s1_1e17,4.0,0.25,0.004190583781143136,0.12255360186100006,0.14779455959796906,0.53125
g3_tmoe_s1_1e17,0.0,0.1,0.9170050683927699,0.8729712963104248,0.8951271176338196,0.53125
g3_tmoe_s1_1e17,1.0,0.1,0.08721604787493895,0.6094245910644531,0.6590492725372314,0.53125
g3_tmoe_s1_1e17,2.0,0.1,0.0164035784074255,0.3242736756801605,0.37869375944137573,0.53125
g3_tmoe_s1_1e17,4.0,0.1,0.001038104543234001,0.07679980993270874,0.09027707576751709,0.53125
flame38m_temporal_minlogit,0.0,1.0,0.9993664509037616,0.3042409420013428,0.3435926139354706,0.15625
flame38m_temporal_minlogit,1.0,1.0,0.9384159745969711,0.3041023015975952,0.3440326154232025,0.15625
flame38m_temporal_minlogit,2.0,1.0,0.6231756839276992,0.2851174473762512,0.3296346664428711,0.15625
flame38m_temporal_minlogit,4.0,1.0,0.09191041768441621,0.19904763996601105,0.2368585616350174,0.15625
flame38m_temporal_minlogit,0.0,0.5,0.9897258182706399,0.4982354938983917,0.5558092594146729,0.15625
flame38m_temporal_minlogit,1.0,0.5,0.5924523693209576,0.44963538646698,0.5125107765197754,0.15625
flame38m_temporal_minlogit,2.0,0.5,0.178050195407914,0.32382118701934814,0.3826265335083008,0.15625
flame38m_temporal_minlogit,4.0,0.5,0.006335490962383976,0.1681780219078064,0.19278259575366974,0.15625
flame38m_temporal_minlogit,0.0,0.25,0.9306149242794333,0.6808325052261353,0.7238078117370605,0.15625
flame38m_temporal_minlogit,1.0,0.25,0.21962017586712262,0.47834354639053345,0.5346269011497498,0.15625
flame38m_temporal_minlogit,2.0,0.25,0.03608176599902296,0.29898810386657715,0.34448274970054626,0.15625
flame38m_temporal_minlogit,4.0,0.25,0.0005572178798241329,0.14195317029953003,0.1559106409549713,0.15625
flame38m_temporal_minlogit,0.0,0.1,0.6915302882266732,0.8481249809265137,0.8692453503608704,0.15625
flame38m_temporal_minlogit,1.0,0.1,0.042287493893502684,0.45695173740386963,0.5011392831802368,0.15625
flame38m_temporal_minlogit,2.0,0.1,0.0042363825109916955,0.24981936812400818,0.2822715640068054,0.15625
flame38m_temporal_minlogit,4.0,0.1,5.343185148998534e-05,0.13166753947734833,0.13621535897254944,0.15625
