label,run,layer,expert,usage_count,token_AUC,context_AUC,context_minus_token
s0_TEMPORAL,g3_tmoe_s0_1e16,2,67,654,0.7014,0.8948,0.1934
s0_TEMPORAL,g3_tmoe_s0_1e16,2,69,21049,0.5392,0.5794,0.0402
s0_TEMPORAL,g3_tmoe_s0_1e16,2,70,3388,0.6569,0.8911,0.2342
s0_TEMPORAL,g3_tmoe_s0_1e16,2,71,2324,0.5969,0.7252,0.1283
s0_TEMPORAL,g3_tmoe_s0_1e16,2,72,13388,0.6743,0.7852,0.1109
s0_TEMPORAL,g3_tmoe_s0_1e16,2,74,3520,0.7282,0.7191,-0.0091
s0_TEMPORAL,g3_tmoe_s0_1e16,2,75,2944,0.6152,0.7359,0.1207
s0_TEMPORAL,g3_tmoe_s0_1e16,2,76,1697,0.6025,0.7599,0.1573
s0_TEMPORAL,g3_tmoe_s0_1e16,2,77,2352,0.5926,0.7266,0.134
s0_TEMPORAL,g3_tmoe_s0_1e16,2,78,3177,0.6369,0.8173,0.1804
s0_TEMPORAL,g3_tmoe_s0_1e16,2,79,5212,0.6295,0.7475,0.118
s0_TEMPORAL,g3_tmoe_s0_1e16,2,80,6357,0.6575,0.832,0.1745
s0_TEMPORAL,g3_tmoe_s0_1e16,2,81,96,0.7518,0.7592,0.0074
s0_TEMPORAL,g3_tmoe_s0_1e16,2,82,4436,0.5955,0.7376,0.1421
s0_TEMPORAL,g3_tmoe_s0_1e16,2,83,3920,0.5741,0.7344,0.1603
s0_TEMPORAL,g3_tmoe_s0_1e16,2,84,2785,0.6618,0.8586,0.1969
s0_TEMPORAL,g3_tmoe_s0_1e16,2,86,9224,0.6276,0.7888,0.1612
s0_TEMPORAL,g3_tmoe_s0_1e16,2,87,142,0.6344,0.7175,0.0831
s0_TEMPORAL,g3_tmoe_s0_1e16,2,88,5018,0.7096,0.857,0.1473
s0_TEMPORAL,g3_tmoe_s0_1e16,2,89,150,0.7918,0.4642,-0.3275
s0_TEMPORAL,g3_tmoe_s0_1e16,2,90,7687,0.5858,0.7239,0.1381
s0_TEMPORAL,g3_tmoe_s0_1e16,2,91,2998,0.6389,0.8072,0.1683
s0_TEMPORAL,g3_tmoe_s0_1e16,2,93,2501,0.6311,0.8604,0.2292
s0_TEMPORAL,g3_tmoe_s0_1e16,2,94,1162,0.7171,0.8412,0.1241
s0_TEMPORAL,g3_tmoe_s0_1e16,2,95,1721,0.5833,0.6886,0.1053
s0_TEMPORAL,g3_tmoe_s0_1e16,2,96,2357,0.6039,0.7102,0.1062
s0_TEMPORAL,g3_tmoe_s0_1e16,2,97,1534,0.7014,0.8041,0.1027
s0_TEMPORAL,g3_tmoe_s0_1e16,2,98,12088,0.5786,0.7151,0.1365
s0_TEMPORAL,g3_tmoe_s0_1e16,2,99,6731,0.6079,0.7335,0.1256
s0_TEMPORAL,g3_tmoe_s0_1e16,2,100,4830,0.5855,0.6775,0.092
s0_TEMPORAL,g3_tmoe_s0_1e16,2,101,260,0.5391,0.8337,0.2947
s0_TEMPORAL,g3_tmoe_s0_1e16,2,102,7513,0.6401,0.8062,0.1661
s0_TEMPORAL,g3_tmoe_s0_1e16,2,103,3396,0.586,0.7314,0.1454
s0_TEMPORAL,g3_tmoe_s0_1e16,2,104,1114,0.6247,0.8121,0.1874
s0_TEMPORAL,g3_tmoe_s0_1e16,2,105,3788,0.7118,0.8229,0.1111
s0_TEMPORAL,g3_tmoe_s0_1e16,2,106,4324,0.6464,0.7807,0.1343
s0_TEMPORAL,g3_tmoe_s0_1e16,2,107,9939,0.596,0.7156,0.1196
s0_TEMPORAL,g3_tmoe_s0_1e16,2,108,1046,0.6502,0.7993,0.1491
s0_TEMPORAL,g3_tmoe_s0_1e16,2,109,271,0.5798,0.6802,0.1004
s0_TEMPORAL,g3_tmoe_s0_1e16,2,110,6785,0.7927,0.8117,0.019
s0_TEMPORAL,g3_tmoe_s0_1e16,2,111,1231,0.5047,0.4387,-0.0661
s0_TEMPORAL,g3_tmoe_s0_1e16,2,112,7509,0.6135,0.8137,0.2002
s0_TEMPORAL,g3_tmoe_s0_1e16,2,113,4521,0.6139,0.7464,0.1325
s0_TEMPORAL,g3_tmoe_s0_1e16,2,114,1240,0.5725,0.7009,0.1284
s0_TEMPORAL,g3_tmoe_s0_1e16,2,115,93,0.638,0.7166,0.0786
s0_TEMPORAL,g3_tmoe_s0_1e16,2,116,182,0.6289,0.7334,0.1045
s0_TEMPORAL,g3_tmoe_s0_1e16,2,117,5759,0.5802,0.6829,0.1027
s0_TEMPORAL,g3_tmoe_s0_1e16,2,118,2910,0.6772,0.8796,0.2024
s0_TEMPORAL,g3_tmoe_s0_1e16,2,119,743,0.5901,0.7822,0.1921
s0_TEMPORAL,g3_tmoe_s0_1e16,2,120,2331,0.6423,0.8249,0.1826
s0_TEMPORAL,g3_tmoe_s0_1e16,2,121,10697,0.5509,0.5707,0.0198
s0_TEMPORAL,g3_tmoe_s0_1e16,2,123,4145,0.559,0.7211,0.1621
s0_TEMPORAL,g3_tmoe_s0_1e16,2,124,1134,0.6283,0.8375,0.2092
s0_TEMPORAL,g3_tmoe_s0_1e16,2,125,2669,0.5959,0.7574,0.1616
s0_TEMPORAL,g3_tmoe_s0_1e16,2,126,7270,0.5132,0.5411,0.0279
s0_TEMPORAL,g3_tmoe_s0_1e16,2,129,2302,0.7427,0.7719,0.0292
s0_TEMPORAL,g3_tmoe_s0_1e16,2,130,4149,0.6327,0.8064,0.1737
s0_TEMPORAL,g3_tmoe_s0_1e16,2,131,310,nan,nan,nan
s0_TEMPORAL,g3_tmoe_s0_1e16,2,133,5627,0.5734,0.6794,0.106
s0_TEMPORAL,g3_tmoe_s0_1e16,2,134,788,0.6834,0.8107,0.1273
s0_TEMPORAL,g3_tmoe_s0_1e16,2,135,5410,0.5505,0.5663,0.0158
s0_TEMPORAL,g3_tmoe_s0_1e16,2,136,109,0.5558,0.4924,-0.0634
s0_TEMPORAL,g3_tmoe_s0_1e16,2,137,2863,0.6125,0.7643,0.1518
s0_TEMPORAL,g3_tmoe_s0_1e16,2,138,778,0.5461,0.6332,0.0871
s0_TEMPORAL,g3_tmoe_s0_1e16,2,139,6989,0.615,0.7289,0.1139
s0_TEMPORAL,g3_tmoe_s0_1e16,2,140,5329,0.5921,0.7484,0.1564
s0_TEMPORAL,g3_tmoe_s0_1e16,2,141,2932,0.5251,0.5484,0.0234
s0_TEMPORAL,g3_tmoe_s0_1e16,2,142,2623,0.613,0.8189,0.2059
s0_TEMPORAL,g3_tmoe_s0_1e16,2,143,5061,0.6073,0.7989,0.1916
s0_TEMPORAL,g3_tmoe_s0_1e16,2,144,4744,0.5819,0.6818,0.0999
s0_TEMPORAL,g3_tmoe_s0_1e16,2,145,1969,0.6093,0.8618,0.2525
s0_TEMPORAL,g3_tmoe_s0_1e16,2,146,98,0.6837,0.6975,0.0139
s0_TEMPORAL,g3_tmoe_s0_1e16,2,147,422,0.5572,0.6467,0.0895
s0_TEMPORAL,g3_tmoe_s0_1e16,2,148,5472,0.6729,0.8458,0.1729
s0_TEMPORAL,g3_tmoe_s0_1e16,2,150,4327,0.6533,0.7783,0.125
s0_TEMPORAL,g3_tmoe_s0_1e16,2,151,3197,0.6921,0.7867,0.0946
s0_TEMPORAL,g3_tmoe_s0_1e16,2,152,1108,0.5784,0.7446,0.1663
s0_TEMPORAL,g3_tmoe_s0_1e16,2,153,3384,0.5918,0.7979,0.2061
s0_TEMPORAL,g3_tmoe_s0_1e16,2,154,3223,0.5984,0.8349,0.2365
s0_TEMPORAL,g3_tmoe_s0_1e16,2,155,750,0.5272,0.3762,-0.1511
s0_TEMPORAL,g3_tmoe_s0_1e16,2,157,912,0.6846,0.7468,0.0622
s0_TEMPORAL,g3_tmoe_s0_1e16,2,158,57,nan,nan,nan
s0_TEMPORAL,g3_tmoe_s0_1e16,2,159,6246,0.5952,0.703,0.1078
s0_TEMPORAL,g3_tmoe_s0_1e16,2,160,978,0.6114,0.8299,0.2186
s0_TEMPORAL,g3_tmoe_s0_1e16,2,161,7186,0.6348,0.7155,0.0807
s0_TEMPORAL,g3_tmoe_s0_1e16,2,162,6383,0.5914,0.7446,0.1532
s0_TEMPORAL,g3_tmoe_s0_1e16,2,164,491,0.7876,0.7954,0.0078
s0_TEMPORAL,g3_tmoe_s0_1e16,2,165,4209,0.5817,0.6887,0.107
s0_TEMPORAL,g3_tmoe_s0_1e16,2,166,2200,0.73,0.7373,0.0073
s0_TEMPORAL,g3_tmoe_s0_1e16,2,167,7066,0.6012,0.7392,0.138
s0_TEMPORAL,g3_tmoe_s0_1e16,2,169,6306,0.5575,0.6172,0.0597
s0_TEMPORAL,g3_tmoe_s0_1e16,2,170,3098,0.5493,0.6566,0.1073
s0_TEMPORAL,g3_tmoe_s0_1e16,2,171,1597,0.7076,0.8255,0.1179
s0_TEMPORAL,g3_tmoe_s0_1e16,2,172,234,0.5764,0.6865,0.11
s0_TEMPORAL,g3_tmoe_s0_1e16,2,173,5277,0.6244,0.7587,0.1344
s0_TEMPORAL,g3_tmoe_s0_1e16,2,174,7903,0.6874,0.8342,0.1468
s0_TEMPORAL,g3_tmoe_s0_1e16,2,175,496,0.5527,0.6469,0.0942
s0_TEMPORAL,g3_tmoe_s0_1e16,2,176,1821,0.5962,0.7886,0.1924
s0_TEMPORAL,g3_tmoe_s0_1e16,2,177,2695,0.6708,0.7711,0.1003
s0_TEMPORAL,g3_tmoe_s0_1e16,2,178,5122,0.675,0.7761,0.1011
s0_TEMPORAL,g3_tmoe_s0_1e16,2,179,1667,0.6485,0.8067,0.1582
s0_TEMPORAL,g3_tmoe_s0_1e16,2,180,805,0.6073,0.7292,0.1219
s0_TEMPORAL,g3_tmoe_s0_1e16,2,181,2106,0.6397,0.8311,0.1914
s0_TEMPORAL,g3_tmoe_s0_1e16,2,182,2429,0.6116,0.8177,0.2062
s0_TEMPORAL,g3_tmoe_s0_1e16,2,183,230,0.5179,0.1851,-0.3327
s0_TEMPORAL,g3_tmoe_s0_1e16,2,184,80,0.488,0.1734,-0.3146
s0_TEMPORAL,g3_tmoe_s0_1e16,2,185,1660,0.758,0.8532,0.0952
s0_TEMPORAL,g3_tmoe_s0_1e16,2,186,4735,0.5523,0.6214,0.0691
s0_TEMPORAL,g3_tmoe_s0_1e16,2,187,1821,0.6827,0.835,0.1523
s0_TEMPORAL,g3_tmoe_s0_1e16,2,189,1014,0.4894,0.5976,0.1081
