label,run,layer,expert,usage_count,token_AUC,context_AUC,context_minus_token
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,52,2870,0.961,0.6586,-0.3023
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,53,3005,0.9496,0.6409,-0.3088
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,54,3058,0.8909,0.6583,-0.2326
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,55,3255,0.991,0.646,-0.3451
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,56,2394,0.8438,0.6109,-0.2329
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,57,2970,0.9001,0.5977,-0.3025
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,58,3368,0.9505,0.622,-0.3285
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,59,3299,0.9349,0.6352,-0.2998
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,60,3270,0.9474,0.6128,-0.3346
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,61,3191,0.8651,0.6287,-0.2364
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,62,2328,0.8603,0.6281,-0.2322
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,63,2399,0.9245,0.5937,-0.3308
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,64,2984,0.9279,0.5975,-0.3304
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,65,2607,0.8675,0.6545,-0.2131
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,66,2857,0.9444,0.6914,-0.2531
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,67,2762,0.9645,0.6003,-0.3643
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,68,3036,0.935,0.6179,-0.3171
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,69,2566,0.8747,0.6264,-0.2483
