label,run,layer,expert,usage_count,token_AUC,context_AUC,context_minus_token
s0_TEMPORAL,g3_tmoe_s0_1e16,2,67,654,0.7014,0.9562,0.2548
s0_TEMPORAL,g3_tmoe_s0_1e16,2,69,21049,0.5392,0.6072,0.068
s0_TEMPORAL,g3_tmoe_s0_1e16,2,70,3388,0.6569,0.8906,0.2338
s0_TEMPORAL,g3_tmoe_s0_1e16,2,71,2324,0.5969,0.7545,0.1576
s0_TEMPORAL,g3_tmoe_s0_1e16,2,72,13388,0.6743,0.7614,0.0871
s0_TEMPORAL,g3_tmoe_s0_1e16,2,74,3520,0.7282,0.6712,-0.057
s0_TEMPORAL,g3_tmoe_s0_1e16,2,75,2944,0.6152,0.788,0.1728
s0_TEMPORAL,g3_tmoe_s0_1e16,2,76,1697,0.6025,0.7684,0.1659
s0_TEMPORAL,g3_tmoe_s0_1e16,2,77,2352,0.5926,0.786,0.1935
s0_TEMPORAL,g3_tmoe_s0_1e16,2,78,3177,0.6369,0.8175,0.1806
s0_TEMPORAL,g3_tmoe_s0_1e16,2,79,5212,0.6295,0.7225,0.093
s0_TEMPORAL,g3_tmoe_s0_1e16,2,80,6357,0.6575,0.8247,0.1672
s0_TEMPORAL,g3_tmoe_s0_1e16,2,81,96,0.7518,0.7272,-0.0246
s0_TEMPORAL,g3_tmoe_s0_1e16,2,82,4436,0.5955,0.7431,0.1476
s0_TEMPORAL,g3_tmoe_s0_1e16,2,83,3920,0.5741,0.7783,0.2042
s0_TEMPORAL,g3_tmoe_s0_1e16,2,84,2785,0.6618,0.8078,0.146
s0_TEMPORAL,g3_tmoe_s0_1e16,2,86,9224,0.6276,0.8005,0.173
s0_TEMPORAL,g3_tmoe_s0_1e16,2,87,142,0.6344,0.8647,0.2303
s0_TEMPORAL,g3_tmoe_s0_1e16,2,88,5018,0.7096,0.8356,0.126
s0_TEMPORAL,g3_tmoe_s0_1e16,2,89,150,0.7918,0.4264,-0.3653
s0_TEMPORAL,g3_tmoe_s0_1e16,2,90,7687,0.5858,0.7696,0.1838
s0_TEMPORAL,g3_tmoe_s0_1e16,2,91,2998,0.6389,0.7842,0.1453
s0_TEMPORAL,g3_tmoe_s0_1e16,2,93,2501,0.6311,0.898,0.2668
s0_TEMPORAL,g3_tmoe_s0_1e16,2,94,1162,0.7171,0.7121,-0.005
s0_TEMPORAL,g3_tmoe_s0_1e16,2,95,1721,0.5833,0.7467,0.1633
s0_TEMPORAL,g3_tmoe_s0_1e16,2,96,2357,0.6039,0.7066,0.1027
s0_TEMPORAL,g3_tmoe_s0_1e16,2,97,1534,0.7014,0.7265,0.0251
s0_TEMPORAL,g3_tmoe_s0_1e16,2,98,12088,0.5786,0.7498,0.1712
s0_TEMPORAL,g3_tmoe_s0_1e16,2,99,6731,0.6079,0.7741,0.1662
