run,iteration,train_lm_loss,final_val_ce,seed
g1_tmoe_coarse_1e19,10,1.020872E+01,,1234
g1_tmoe_coarse_1e19,20,9.008908E+00,,1234
g1_tmoe_coarse_1e19,30,7.914063E+00,,1234
g1_tmoe_coarse_1e19,40,7.061703E+00,,1234
g1_tmoe_coarse_1e19,50,6.662231E+00,,1234
g1_tmoe_coarse_1e19,60,6.388679E+00,,1234
g1_tmoe_coarse_1e19,70,6.264075E+00,,1234
g1_tmoe_coarse_1e19,80,6.148874E+00,,1234
g1_tmoe_coarse_1e19,90,6.047479E+00,,1234
g1_tmoe_coarse_1e19,100,5.950420E+00,,1234
g1_tmoe_coarse_1e19,110,5.878492E+00,,1234
g1_tmoe_coarse_1e19,120,5.770713E+00,,1234
g1_tmoe_coarse_1e19,130,5.728059E+00,,1234
g1_tmoe_coarse_1e19,140,5.614635E+00,,1234
g1_tmoe_coarse_1e19,150,5.568711E+00,,1234
g1_tmoe_coarse_1e19,160,5.479253E+00,,1234
g1_tmoe_coarse_1e19,170,5.420152E+00,,1234
g1_tmoe_coarse_1e19,180,5.351912E+00,,1234
g1_tmoe_coarse_1e19,190,5.283107E+00,,1234
g1_tmoe_coarse_1e19,200,5.224530E+00,,1234
g1_tmoe_coarse_1e19,210,5.172442E+00,,1234
g1_tmoe_coarse_1e19,220,5.101413E+00,,1234
g1_tmoe_coarse_1e19,230,5.064079E+00,,1234
g1_tmoe_coarse_1e19,240,4.986659E+00,,1234
g1_tmoe_coarse_1e19,250,4.959034E+00,,1234
g1_tmoe_coarse_1e19,260,4.910191E+00,,1234
g1_tmoe_coarse_1e19,270,4.857065E+00,,1234
g1_tmoe_coarse_1e19,280,4.827433E+00,,1234
g1_tmoe_coarse_1e19,290,4.777700E+00,,1234
g1_tmoe_coarse_1e19,300,4.734076E+00,,1234
g1_tmoe_coarse_1e19,310,4.723363E+00,,1234
g1_tmoe_coarse_1e19,320,4.688637E+00,,1234
g1_tmoe_coarse_1e19,330,4.642196E+00,,1234
g1_tmoe_coarse_1e19,340,4.596500E+00,,1234
g1_tmoe_coarse_1e19,350,4.588556E+00,,1234
g1_tmoe_coarse_1e19,360,4.537611E+00,,1234
g1_tmoe_coarse_1e19,370,4.527498E+00,,1234
g1_tmoe_coarse_1e19,380,4.501440E+00,,1234
g1_tmoe_coarse_1e19,390,4.473307E+00,,1234
g1_tmoe_coarse_1e19,400,4.437089E+00,,1234
g1_tmoe_coarse_1e19,410,4.417387E+00,,1234
g1_tmoe_coarse_1e19,420,4.389698E+00,,1234
g1_tmoe_coarse_1e19,430,4.379993E+00,,1234
g1_tmoe_coarse_1e19,440,4.356067E+00,,1234
g1_tmoe_coarse_1e19,450,4.324664E+00,,1234
g1_tmoe_coarse_1e19,460,4.308805E+00,,1234
g1_tmoe_coarse_1e19,470,4.290980E+00,,1234
g1_tmoe_coarse_1e19,480,4.258288E+00,,1234
g1_tmoe_coarse_1e19,490,4.235629E+00,,1234
g1_tmoe_coarse_1e19,500,4.218233E+00,,1234
g1_tmoe_coarse_1e19,510,4.205875E+00,,1234
g1_tmoe_coarse_1e19,520,4.177706E+00,,1234
g1_tmoe_coarse_1e19,530,4.167879E+00,,1234
g1_tmoe_coarse_1e19,540,4.136263E+00,,1234
g1_tmoe_coarse_1e19,550,4.135040E+00,,1234
g1_tmoe_coarse_1e19,560,4.116336E+00,,1234
g1_tmoe_coarse_1e19,570,4.101703E+00,,1234
g1_tmoe_coarse_1e19,580,4.089523E+00,,1234
g1_tmoe_coarse_1e19,590,4.072924E+00,,1234
g1_tmoe_coarse_1e19,600,4.052808E+00,,1234
g1_tmoe_coarse_1e19,610,4.035292E+00,,1234
g1_tmoe_coarse_1e19,620,4.021517E+00,,1234
g1_tmoe_coarse_1e19,630,4.024571E+00,,1234
g1_tmoe_coarse_1e19,640,4.006718E+00,,1234
g1_tmoe_coarse_1e19,650,3.989762E+00,,1234
g1_tmoe_coarse_1e19,660,3.968849E+00,,1234
g1_tmoe_coarse_1e19,670,3.961616E+00,,1234
g1_tmoe_coarse_1e19,680,3.966139E+00,,1234
g1_tmoe_coarse_1e19,690,3.951481E+00,,1234
g1_tmoe_coarse_1e19,700,3.936707E+00,,1234
g1_tmoe_coarse_1e19,710,3.920133E+00,,1234
g1_tmoe_coarse_1e19,720,3.906257E+00,,1234
g1_tmoe_coarse_1e19,730,3.917104E+00,,1234
g1_tmoe_coarse_1e19,740,3.896997E+00,,1234
g1_tmoe_coarse_1e19,750,3.886510E+00,,1234
g1_tmoe_coarse_1e19,760,3.875189E+00,,1234
g1_tmoe_coarse_1e19,770,3.868234E+00,,1234
g1_tmoe_coarse_1e19,780,3.860250E+00,,1234
g1_tmoe_coarse_1e19,790,3.849253E+00,,1234
g1_tmoe_coarse_1e19,800,3.845691E+00,,1234
g1_tmoe_coarse_1e19,810,3.826844E+00,,1234
g1_tmoe_coarse_1e19,820,3.860287E+00,,1234
g1_tmoe_coarse_1e19,830,4.490416E+00,,1234
g1_tmoe_coarse_1e19,840,4.291485E+00,,1234
g1_tmoe_coarse_1e19,850,4.208944E+00,,1234
